No.	prop	genetree
24	0.0146667	((galGal:0.181759,(halLeu:0.0742479,nipNip:0.0722787):0.0367483):0.0290489,(anoDid:0.101453,(((casCas:0.0562979,((aptRow:0.0110889,(aptHaa:0.00413835,aptOwe:0.0043852):0.00728337):0.0376676,(rheAme:0.0173429,rhePen:0.0179828):0.0580332):0.000472528):0.00336099,(cryCin:0.107037,(tinGut:0.0828329,(eudEle:0.0705496,notPer:0.0781074):0.0297162):0.0159676):0.0658505):0.00869801,(droNov:0.0579666,strCam:0.0516533):0.0125774):0.00210318):0.0298194);
24	0.014	((galGal:0.168785,(halLeu:0.0664418,nipNip:0.0644727):0.0315805):0.0420227,(((aptRow:0.0192069,(aptHaa:0.00409532,aptOwe:0.00434217):0.0154445):0.0357561,((casCas:0.0582883,tinGut:0.16328):0.0010655,(strCam:0.0525451,(rheAme:0.00727007,rhePen:0.00790993):0.068952):0.00268249):0.00267816):0.00796819,(droNov:0.0520972,(anoDid:0.0684773,(notPer:0.104275,(cryCin:0.0845508,eudEle:0.0937467):0.00297038):0.0631927):0.0124254):0.02009):0.0302794);
24	0.0133333	((galGal:0.171349,(halLeu:0.0822978,nipNip:0.0803287):0.0182888):0.0394584,((casCas:0.0595609,(aptRow:0.0226003,(aptHaa:0.00285721,aptOwe:0.00310406):0.0200759):0.0298918):0.0313106,(strCam:0.0567741,((droNov:0.0493091,(rheAme:0.0173429,rhePen:0.0179828):0.0493298):0.00862164,(anoDid:0.0542985,(tinGut:0.0886209,(cryCin:0.0837657,(eudEle:0.0783278,notPer:0.0858856):0.0146338):0.0130922):0.0396771):0.0324378):0.00515666):0.0299713):0.00940794);
24	0.0133333	((galGal:0.186439,(halLeu:0.0620516,nipNip:0.0600825):0.0536248):0.0243686,((casCas:0.0595609,(aptRow:0.0226003,(aptHaa:0.00404278,aptOwe:0.00428963):0.0188903):0.0298918):0.0191268,((droNov:0.0579307,(anoDid:0.0542985,(tinGut:0.0886209,(cryCin:0.0837657,(eudEle:0.0783278,notPer:0.0858856):0.0146338):0.0130922):0.0396771):0.0324378):0.00515666,(strCam:0.0543471,(rheAme:0.0173429,rhePen:0.0179828):0.0606811):0.00242699):0.0177874):0.0215918);
24	0.0133333	((galGal:0.18608,(halLeu:0.0666521,nipNip:0.064683):0.0486656):0.0247273,((aptRow:0.0192069,(aptHaa:0.00409532,aptOwe:0.00434217):0.0154445):0.0437243,(((casCas:0.0582883,tinGut:0.16328):0.0010655,(strCam:0.052157,(rheAme:0.00727007,rhePen:0.00790993):0.0685638):0.00307061):0.00402644,(droNov:0.0543932,(anoDid:0.0684773,(notPer:0.104275,(cryCin:0.0691374,eudEle:0.0783333):0.0183837):0.0631927):0.0147214):0.0111741):0.00661991):0.0302794);
24	0.0133333	((galGal:0.176946,(halLeu:0.0954356,nipNip:0.0934665):0.010748):0.0338614,((anoDid:0.09169,((aptHaa:0.00404278,aptOwe:0.00428963):0.044164,((aptRow:0.0349486,droNov:0.0442045):0.0102709,(casCas:0.0508419,(cryCin:0.094569,(tinGut:0.0828329,(eudEle:0.0705496,notPer:0.0781074):0.0297162):0.00349911):0.069502):0.00144643):0.00265452):0.00575454):0.0194979,(strCam:0.0516991,(rheAme:0.0173429,rhePen:0.0179828):0.0580332):0.0243699):0.0200842);
24	0.0133333	((galGal:0.19061,(halLeu:0.111346,nipNip:0.109377):0.0085011):0.0201981,(((strCam:0.0517576,((aptRow:0.0258941,(aptHaa:0.00345326,aptOwe:0.00370011):0.0227737):0.0146931,(droNov:0.0483047,tinGut:0.15111):0.0015385):0.0082277):0.0022008,((casCas:0.0535314,anoDid:0.0845241):0.00360658,(rheAme:0.00727007,rhePen:0.00790993):0.0694187):0.000946558):0.0119155,(notPer:0.18885,(cryCin:0.109426,eudEle:0.118622):0.0626704):0.0111326):0.0302794);
0	0.018	((galGal:0.199645,(halLeu:0.11818,nipNip:0.116211):0.0107021):0.0111625,((strCam:0.0581408,(((aptHaa:0.00290444,aptOwe:0.00315129):0.0432016,(rheAme:0.0701568,(eudEle:0.160361,(tinGut:0.123685,notPer:0.148676):0.0192425):0.0126705):0.00223609):0.00326178,(rhePen:0.0755954,(cryCin:0.134598,anoDid:0.0523615):0.0340359):0.00069908):0.00616311):0.00929843,(aptRow:0.0446816,(casCas:0.0246764,droNov:0.0268635):0.0270742):0.0198149):0.0287141);
0	0.0173333	((galGal:0.172523,(halLeu:0.0576119,nipNip:0.0556427):0.0441482):0.0382849,(aptRow:0.0617933,(strCam:0.0646882,((aptHaa:0.00290444,aptOwe:0.00315129):0.0467272,((((casCas:0.0296538,droNov:0.0318409):0.0135472,(rheAme:0.0611324,rhePen:0.0617723):0.00161931):0.00446884,(tinGut:0.127955,notPer:0.152945):0.0247073):0.00445884,(anoDid:0.0614353,(cryCin:0.0674501,eudEle:0.076646):0.0762218):0.0216859):0.00423904):0.0124467):4.78156e-05):0.0314173);
0	0.0133333	((galGal:0.179808,(halLeu:0.104012,nipNip:0.102043):0.00503266):0.0310001,((((rheAme:0.068414,(aptHaa:0.00428991,aptOwe:0.00453676):0.0378373):0.00800723,(casCas:0.0357796,droNov:0.0379667):0.0210908):0.00346567,(((aptRow:0.0355103,rhePen:0.0627698):0.0159799,(tinGut:0.123685,notPer:0.148676):0.0398661):0.000928635,(eudEle:0.179686,strCam:0.0531347):0.00222677):0.00084849):0.013398,(cryCin:0.14612,anoDid:0.0638837):0.0408431):0.0265453);
0	0.0133333	((galGal:0.167372,(halLeu:0.06906,nipNip:0.0670909):0.0275492):0.0434358,((aptRow:0.0516112,((aptHaa:0.00290444,aptOwe:0.00315129):0.0459807,(anoDid:0.0742785,(cryCin:0.0651841,eudEle:0.07438):0.0913308):0.0123353):0.00305885):0.00507823,(strCam:0.0576875,(((casCas:0.0246764,droNov:0.0268635):0.0211461,(rheAme:0.0483231,rhePen:0.0489629):0.0170501):0.00735433,(tinGut:0.123685,notPer:0.148676):0.0344838):0.00863689):0.00194461):0.0365212);
0	0.0126667	((galGal:0.178991,(halLeu:0.101279,nipNip:0.09931):0.0069494):0.0318164,(((strCam:0.0541936,((rheAme:0.0630792,((aptHaa:0.00428991,aptOwe:0.00453676):0.030005,(casCas:0.0348804,droNov:0.0370675):0.00615054):0.00249745):0.0125762,(cryCin:0.14612,anoDid:0.0638837):0.0232135):0.00221516):0.00447812,(rhePen:0.0771756,(aptRow:0.0378905,eudEle:0.167384):0.0120256):0.00581295):0.0146577,(tinGut:0.123685,notPer:0.148676):0.0587626):0.0228239);
0	0.0126667	((galGal:0.207231,(halLeu:0.0633513,nipNip:0.0613821):0.0731167):0.00357702,(((((aptHaa:0.00463212,aptOwe:0.00487897):0.0394152,(eudEle:0.164284,(tinGut:0.127955,notPer:0.152945):0.0188962):0.00892474):0.00490135,(cryCin:0.165344,anoDid:0.0831075):0.00356982):0.0114232,((casCas:0.0296538,droNov:0.0318409):0.0315268,(rheAme:0.0346193,rhePen:0.0352592):0.0461121):0.00592732):0.00642355,(aptRow:0.0572366,strCam:0.0601793):0.00922602):0.026748);
34	0.0653333	((galGal:0.180516,(halLeu:0.0783656,nipNip:0.0763965):0.0313878):0.0302916,(((casCas:0.0541892,(anoDid:0.0780629,(aptRow:0.0213584,(aptHaa:0.00340533,aptOwe:0.00365218):0.0182859):0.018643):0.00711892):0.00608506,(eudEle:0.149105,(notPer:0.102535,(cryCin:0.0538864,tinGut:0.0456494):0.0318949):0.0541278):0.0335943):0.00166149,(strCam:0.0549133,(droNov:0.0468168,(rheAme:0.0165642,rhePen:0.017204):0.0476163):0.0144097):0.00289626):0.0383437);
34	0.034	((galGal:0.200286,(halLeu:0.0985523,nipNip:0.0965832):0.0309706):0.0105221,((droNov:0.0582829,((casCas:0.0479557,(anoDid:0.0764959,(aptRow:0.0190078,(aptHaa:0.00386391,aptOwe:0.00411076):0.0154767):0.0194266):0.00245247):0.00758333,(eudEle:0.167477,(notPer:0.126955,(cryCin:0.0541506,tinGut:0.0459136):0.0560502):0.0480806):0.0104867):0.000556743):0.0145094,(strCam:0.0581061,(rheAme:0.00570186,rhePen:0.00634172):0.0760812):0.00837293):0.0296743);
