No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
176	176	-418.84572	-412.64904	-413.92893	6.1966826	1.2798904	-409.93336	-398.97983	-399.70508
177	177	-702.63722	-637.2673	-627.44939	65.369917	-9.8179169	-680.28064	-618.33104	-608.62855
178	178	-427.6953	-425.88441	-427.06892	1.8108944	1.1845139	-420.02736	-411.64185	-411.65358
179	179	-801.57931	-762.14072	-756.20707	39.438596	-5.9336429	-786.11687	-742.96488	-736.89963
180	180	-432.77156	-423.23806	-424.74751	9.5335038	1.5094547	-417.9646	-407.73697	-407.75072
181	181	-431.68998	-432.24848	-432.45888	-0.55850362	0.210399	-427.39698	-427.17287	-423.11268
182	182	-573.53138	-551.17805	-545.57731	22.353328	-5.6007389	-558.17038	-533.88709	-528.9192
183	183	-348.27641	-335.92618	-337.71424	12.350228	1.7880641	-338.56805	-323.20642	-323.19621
184	184	-436.45506	-424.71442	-426.24624	11.740633	1.5318123	-423.13341	-409.64865	-409.76926
185	185	-628.67686	-594.02714	-587.38711	34.649722	-6.6400314	-612.75723	-576.76389	-567.26134
186	186	-481.08665	-465.04059	-464.82103	16.046064	-0.21956341	-464.76774	-447.49679	-444.31993
187	187	-628.58129	-624.67011	-612.02596	3.9111795	-12.644151	-613.43216	-608.16861	-594.74782
188	188	-415.2522	-399.0971	-400.71436	16.155101	1.61726	-403.71462	-388.61793	-388.61352
189	189	-284.18011	-283.48698	-284.18668	0.69312624	0.69969879	-281.30847	-275.91289	-275.91814
190	190	-303.39115	-285.24355	-285.98396	18.147601	0.74040712	-293.48053	-274.45704	-274.45701
191	191	-664.31873	-644.50547	-643.70139	19.81326	-0.80408305	-648.4075	-622.83168	-622.84958
192	192	-817.20317	-730.20473	-731.39529	86.998433	1.1905558	-800.09966	-716.11939	-716.13523
193	193	-916.93182	-853.03874	-852.98524	63.893085	-0.053500327	-904.84125	-830.27242	-830.27298
194	194	-434.34011	-429.3336	-431.48656	5.0065094	2.1529595	-431.21627	-419.45976	-414.21885
195	195	-580.4338	-567.62077	-563.02256	12.813033	-4.5982034	-567.91864	-554.51133	-544.98065
196	196	-693.7848	-634.72952	-636.9603	59.05528	2.2307734	-681.3329	-623.10661	-623.10551
197	197	-685.97111	-660.38663	-632.67556	25.584479	-27.711076	-669.46532	-641.63247	-618.34158
198	198	-943.17069	-866.37661	-841.5374	76.79408	-24.839204	-927.63506	-849.58157	-823.70848
199	199	-437.46157	-370.93148	-371.96777	66.530097	1.0362942	-422.64956	-359.75502	-359.75422
