No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut.aptFor_0	taeGut.aptFor_1	taeGut.aptFor_2	taeGut.aptFor_3	taeGut.galGal_0	taeGut.galGal_1	taeGut.galGal_2	taeGut.galGal_3	aptHaa.aptOwe_0	aptHaa.aptOwe_1	aptHaa.aptOwe_2	aptHaa.aptOwe_3	aptHaa.aptRow_0	aptHaa.aptRow_1	aptHaa.aptRow_2	aptHaa.aptRow_3	casCas.droNov_0	casCas.droNov_1	casCas.droNov_2	casCas.droNov_3	aptHaa.casCas_0	aptHaa.casCas_1	aptHaa.casCas_2	aptHaa.casCas_3	rheAme.rhePen_0	rheAme.rhePen_1	rheAme.rhePen_2	rheAme.rhePen_3	aptHaa.rheAme_0	aptHaa.rheAme_1	aptHaa.rheAme_2	aptHaa.rheAme_3	cryCin.tinGut_0	cryCin.tinGut_1	cryCin.tinGut_2	cryCin.tinGut_3	eudEle.notPer_0	eudEle.notPer_1	eudEle.notPer_2	eudEle.notPer_3	cryCin.eudEle_0	cryCin.eudEle_1	cryCin.eudEle_2	cryCin.eudEle_3	cryCin.anoDid_0	cryCin.anoDid_1	cryCin.anoDid_2	cryCin.anoDid_3	aptHaa.cryCin_0	aptHaa.cryCin_1	aptHaa.cryCin_2	aptHaa.cryCin_3	aptHaa.strCam_0	aptHaa.strCam_1	aptHaa.strCam_2	aptHaa.strCam_3	taeGut.aptHaa_0	taeGut.aptHaa_1	taeGut.aptHaa_2	taeGut.aptHaa_3
11	3.89709	0.284425	0.229714	0.275685	0	0	1	0	0	0	0.994667	0.00533333	0	0	0.976	0.024	0	0	0.0113333	0.0553333	0.933333	0	0.014	0.0673333	0.918667	0	0.0193333	0.0106667	0.97	0	0	0	1	0	0	0.0173333	0.982667	0	0.00333333	0.236667	0.76	0	0.00333333	0.918	0.0786667	0	0	0	1	0	0	0.802	0.198	0	0.0166667	0.978667	0.00466667	0	0.0146667	0.985333	0	0	0.0806667	0.918	0.00133333	0	0.270667	0.729333	0	0	1	0	0	0	1	0	0	0	0.0173333	0.102667	0.88	0	0.0193333	0.302667	0.678	0	0	0.592	0.408	0	0.0246667	0.701333	0.274	0	0.004	0.996	0	0	0.068	0.932	0	0	0	0.982	0.018	0	0.0166667	0.983333	0	0	0.0173333	0.982667	0	0	0.0906667	0.909333	0	0	0.165333	0.834667	0	0	0.467333	0.532667	0	0	1	0	0
3	5.5816	0.134713	0.200154	0.735994	0	0	1	0	0	0	0.999333	0.000666667	0	0	0.858667	0.141333	0	0	0	0	1	0	0	0	1	0	0.000666667	0	0.999333	0	0.628	0.37	0.002	0	0.974	0.0226667	0.00333333	0	0.736	0.264	0	0	0.928667	0.0713333	0	0	0.799333	0.200667	0	0	0.911333	0.0886667	0	0	0.0726667	0.927333	0	0	0.166	0.834	0	0	0.423333	0.576667	0	0	0.755333	0.244667	0	0	1	0	0	0	1	0	0	0	0	0.398	0.602	0	0.000666667	0.999333	0	0	0.994	0.004	0.002	0	0.994	0.006	0	0	0.997333	0.00266667	0	0	0.997333	0.00266667	0	0	0.972	0.028	0	0	0.986667	0.0133333	0	0	0.986667	0.0133333	0	0	0.988	0.012	0	0	0.997333	0.00266667	0	0	0.999333	0.000666667	0	0	1	0	0
17	5.41377	0.236689	0.339997	0.396957	0	0	0.599333	0.400667	0	0	0.568	0.432	0	0	0.0393333	0.960667	0	0	0	0.004	0.996	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.002	0.649333	0.348667	0	0.00266667	0.00133333	0.996	0	0.356	0.644	0	0	0.474667	0.515333	0.01	0	0.377333	0.622667	0	0	0.0513333	0.948667	0	0	0.469333	0.530667	0	0	0.242667	0.757333	0	0	0.603333	0.396667	0	0	0.626	0.374	0	0	0	0.407333	0.592667	0	0	0.998667	0.00133333	0	0	1	0	0	0.276	0.724	0	0	0.00266667	0.997333	0	0	0.388	0.612	0	0	0.481333	0.518667	0	0	0.459333	0.540667	0	0	0.481333	0.518667	0	0	0.500667	0.499333	0	0	0.52	0.48	0	0	0.587333	0.412667	0	0	0.788667	0.211333	0
21	1.71081	0.213049	0.60583	0.217644	0	0	0.0346667	0.965333	0	0	0.0393333	0.960667	0	0	0.0186667	0.981333	0	0	0.00266667	0.00533333	0.992	0	0.002	0.124667	0.873333	0	0.00733333	0.116	0.876667	0	0.0113333	0.00933333	0.979333	0	0.0126667	0.006	0.981333	0	0.00133333	0.476667	0.522	0	0.000666667	0.856	0.143333	0	0	0.998667	0.00133333	0	0.000666667	0.256	0.743333	0	0	0.997333	0.00266667	0	0	0.998	0.002	0	0.00266667	0.988	0.00933333	0	0.194	0.796	0.01	0	0.0506667	0.949333	0	0	0.347333	0.652667	0	0	0.00266667	0.175333	0.822	0	0.00733333	0.374	0.618667	0	0.0133333	0.008	0.978667	0	0.014	0.49	0.496	0	0.00133333	0.997333	0.00133333	0	0.0333333	0.966667	0	0	0.000666667	0.999333	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.0113333	0.988667	0	0	0.119333	0.880667	0	0	0.61	0.39	0	0	0.86	0.14	0
12	8.39788	0.145278	0.162164	0.821794	0	0	0.988667	0.0113333	0	0	0.956	0.044	0	0	0.666	0.334	0	0	0	0	1	0	0	0.00733333	0.992667	0	0	0	1	0	0.983333	0.0126667	0.004	0	0.984667	0.0106667	0.00466667	0	0	0	1	0	0	0.234	0.766	0	0.796667	0.203333	0	0	0.906667	0.0933333	0	0	0.816	0.184	0	0	0.837333	0.162667	0	0	0.982667	0.0173333	0	0	0.291333	0.708667	0	0	0.998667	0.00133333	0	0	1	0	0	0	0	0.00933333	0.990667	0	0	1	0	0	0.993333	0.00533333	0.00133333	0	0.996	0.004	0	0	0	1	0	0	0.996	0.004	0	0	0.926667	0.0733333	0	0	0.916667	0.0833333	0	0	0.932667	0.0673333	0	0	0.990667	0.00933333	0	0	0.998	0.002	0	0	1	0	0	0	1	0	0
24	4.02517	0.25466	0.475827	0.401457	0	0	0.0206667	0.979333	0	0	0.0686667	0.931333	0	0	0.940667	0.0593333	0	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.00133333	0.998667	0	0	0	1	0	0.036	0.864	0.1	0	0.0373333	0.883333	0.0793333	0	0	0.516	0.484	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0.07	0	0.93	0	0.632667	0.367333	0	0	0.943333	0.0566667	0	0	0	0.002	0.998	0	0	0.995333	0.00466667	0	0	1	0	0	0.0446667	0.955333	0	0	0.0686667	0.931333	0	0	0.07	0.93	0	0	0	0.988	0.012	0	0	1	0	0	0	1	0	0	0	1	0	0	0.07	0.93	0	0	0.07	0.93	0	0	0.964	0.036	0
4	7.13086	0.256853	0.597263	0.224819	0	0	0.00133333	0.998667	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.651333	0.348667	0	0	0.767333	0.232667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0	0	0.002	0.998	0	0	0.006	0.994	0	0	0	0.455333	0.544667	0	0	0.999333	0.000666667	0	0	1	0	0	0.00133333	0.998667	0	0	0	1	0	0	0.002	0.998	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0.004	0.996	0	0	0.0153333	0.984667	0	0	0.312	0.688	0
22	7.98809	0.158749	0.518456	0.240008	0	0	0.301333	0.698667	0	0	0.196	0.804	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.882667	0.117333	0	0	0.082	0.918	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00933333	0.990667	0	0	0.002	0.998	0	0	0.301333	0.698667	0	0	0.303333	0.696667	0	0	0	0	1	0	0	0.999333	0.000666667	0	0	1	0	0	0.004	0.996	0	0	0	1	0	0	0.0126667	0.987333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.01	0.99	0	0	0.0313333	0.968667	0	0	0.0386667	0.961333	0	0	0.522667	0.477333	0
13	3.48243	0.382428	0.566285	0.264867	0	0	0.120667	0.879333	0	0	0.120667	0.879333	0	0	0.0466667	0.953333	0	0	0	0	1	0	0	0.024	0.976	0	0	0.0186667	0.981333	0	0	0.000666667	0.999333	0	0	0.00133333	0.998667	0	0.00266667	0	0.997333	0	0.00133333	0.00133333	0.997333	0	0.0206667	0.974667	0.00466667	0	0.0226667	0.952	0.0253333	0	0.00666667	0.992667	0.000666667	0	0.0246667	0.96	0.0153333	0	0.004	0.996	0	0	0.126	0.849333	0.0246667	0	0.122	0.878	0	0	0.132	0.868	0	0	0	0.241333	0.758667	0	0	0.727333	0.272667	0	0	0.898667	0.101333	0	0.002	0.911333	0.0866667	0	0.00266667	0	0.997333	0	0.00266667	0.932	0.0653333	0	0.024	0.974667	0.00133333	0	0.0253333	0.974	0.000666667	0	0.0253333	0.974667	0	0	0.0333333	0.966667	0	0	0.0926667	0.907333	0	0	0.154667	0.845333	0	0	0.460667	0.539333	0
25	3.44752	0.128107	0.197759	0.737335	0	0	1	0	0	0	1	0	0	0	0.984667	0.0153333	0	0	0	0.006	0.994	0	0	0	1	0	0.0126667	0	0.987333	0	0.00266667	0.00266667	0.994667	0	0.00266667	0	0.997333	0	0.00266667	0.0466667	0.950667	0	0.00266667	0.002	0.995333	0	0.748667	0.224667	0.0266667	0	0.871333	0.0813333	0.0473333	0	0.480667	0.514	0.00533333	0	0.876	0.00466667	0.119333	0	0.857333	0.124667	0.018	0	0.314667	0.685333	0	0	1	0	0	0	1	0	0	0	0	0.286667	0.713333	0	0.0126667	0.966667	0.0206667	0	0.00266667	0.988667	0.00866667	0	0.512	0.486	0.002	0	0.00266667	0.997333	0	0	0.678	0.322	0	0	0.882	0.0973333	0.0206667	0	0.876	0.12	0.004	0	0.884667	0.115333	0	0	0.902	0.098	0	0	0.914	0.086	0	0	0.931333	0.0686667	0	0	1	0	0
