No.	prop	genetree
7	0.0289333	((galGal:0.182507,(halLeu:0.0752228,nipNip:0.0732537):0.0365213):0.0465927,((((aptOwe:0.0197179,(aptHaa:0.0056967,aptRow:0.00536385):0.0137743):0.0162911,(casCas:0.0320485,droNov:0.0342356):0.0104497):0.0123478,(rheAme:0.01475,rhePen:0.0153898):0.0596468):0.00676889,(strCam:0.0531088,(anoDid:0.0605483,(notPer:0.129226,(eudEle:0.0913688,(cryCin:0.0556276,tinGut:0.0473906):0.0265453):0.0302998):0.030312):0.0276794):0.00437981):0.0569566);
7	0.0288	((galGal:0.179312,(halLeu:0.0830218,nipNip:0.0810526):0.0255272):0.0390382,((strCam:0.0534603,((aptOwe:0.0219495,(aptHaa:0.00721252,aptRow:0.00687967):0.0144901):0.015515,(casCas:0.0341648,droNov:0.0363519):0.00978881):0.0136329):0.00463149,((rheAme:0.0157119,rhePen:0.0163518):0.0580307,(anoDid:0.0597596,((cryCin:0.0539764,tinGut:0.0457394):0.0367686,(eudEle:0.0773283,notPer:0.0848861):0.0226126):0.0512511):0.0254249):0.0080261):0.0456036);
7	0.0286667	((galGal:0.178047,(halLeu:0.0825785,nipNip:0.0806094):0.0247059):0.0483214,(((aptOwe:0.0223377,(aptHaa:0.0058179,aptRow:0.00548505):0.016273):0.0196857,(casCas:0.033033,droNov:0.0352201):0.0154795):0.0150925,(strCam:0.0535532,((rheAme:0.014598,rhePen:0.0152379):0.058149,(anoDid:0.058074,(notPer:0.122395,(eudEle:0.0860355,(cryCin:0.0556891,tinGut:0.0474521):0.0211504):0.0288018):0.0346691):0.0261147):0.00448323):0.00592566):0.0522353);
7	0.0262667	((galGal:0.183243,(halLeu:0.0788959,nipNip:0.0769267):0.033584):0.0410797,(strCam:0.0566929,(((aptOwe:0.0205052,(aptHaa:0.00611248,aptRow:0.00577963):0.0141459):0.01762,(casCas:0.0321685,droNov:0.0343556):0.0124459):0.0120108,((rheAme:0.0132861,rhePen:0.0139259):0.0563433,(anoDid:0.0579829,((cryCin:0.0521389,tinGut:0.0439019):0.0383731,(eudEle:0.0790148,notPer:0.0865726):0.0206931):0.0497074):0.0230882):0.00654661):0.00419396):0.052975);
25	0.00946667	((galGal:0.191691,(halLeu:0.0771114,nipNip:0.0751422):0.0438165):0.0519201,((strCam:0.0565503,((aptRow:0.0325736,(aptHaa:0.00344421,aptOwe:0.00369106):0.0294622):0.0149795,(casCas:0.0202641,droNov:0.0224512):0.0343579):0.00605454):0.00361763,((rheAme:0.024267,rhePen:0.0249069):0.0506444,(anoDid:0.0606963,(notPer:0.119363,(eudEle:0.0973355,(cryCin:0.0581122,tinGut:0.0498752):0.0300274):0.0144693):0.0403239):0.0256569):0.00893352):0.0687884);
25	0.00786667	((galGal:0.176845,(halLeu:0.0736513,nipNip:0.0716822):0.0324312):0.0518584,((strCam:0.0517457,(aptRow:0.0294243,(aptHaa:0.00295332,aptOwe:0.00320017):0.0268039):0.0193787):0.0130329,(((casCas:0.0168333,droNov:0.0190204):0.0351624,(rheAme:0.0216661,rhePen:0.022306):0.0498803):0.00725558,((notPer:0.109381,(cryCin:0.0564247,tinGut:0.0481877):0.0362028):0.0759214,(eudEle:0.157027,anoDid:0.0655945):0.020718):0.00393143):0.00965348):0.0492707);
25	0.00733333	((halLeu:0.0601158,nipNip:0.0581467):0.0799548,(galGal:0.208818,(strCam:0.058192,(((aptRow:0.0301337,(aptHaa:0.0027248,aptOwe:0.00297165):0.0277418):0.015127,(casCas:0.0167679,droNov:0.018955):0.0355617):0.00614059,((rheAme:0.0195451,rhePen:0.0201849):0.0545723,(anoDid:0.0582033,((cryCin:0.0601688,tinGut:0.0519318):0.0189619,(eudEle:0.0734053,notPer:0.0809631):0.0149214):0.061309):0.0273559):0.00390358):0.00384807):0.035971):0.0020159);
25	0.00666667	((galGal:0.176769,(halLeu:0.0711327,nipNip:0.0691636):0.0348738):0.0401629,(((aptRow:0.0334332,(aptHaa:0.00293791,aptOwe:0.00318476):0.0308281):0.0106578,(casCas:0.0166492,droNov:0.0188363):0.0345107):0.00947915,((strCam:0.0524993,(rheAme:0.0268842,rhePen:0.027524):0.0492921):0.00206768,(anoDid:0.0685328,((cryCin:0.0595847,tinGut:0.0513477):0.0242661,(eudEle:0.0737158,notPer:0.0812736):0.0193308):0.0669185):0.021153):0.00194586):0.045765);
25	0.0064	((galGal:0.176303,(halLeu:0.0597497,nipNip:0.0577806):0.0457903):0.0394127,((strCam:0.0547004,(aptRow:0.0385257,(aptHaa:0.00237874,aptOwe:0.00262559):0.0364798):0.0132321):0.0128768,((casCas:0.0184894,droNov:0.0206765):0.039238,((rheAme:0.0183458,rhePen:0.0189857):0.0507558,(anoDid:0.0539908,(cryCin:0.107615,(notPer:0.0977508,(tinGut:0.061378,eudEle:0.0788109):0.011382):0.0266176):0.0286126):0.0265526):0.00817659):0.0139761):0.0334837);
58	0.0129333	((halLeu:0.069354,nipNip:0.0673849):0.10771,(galGal:0.213506,((strCam:0.0527343,((aptHaa:0.0229986,(aptOwe:0.00895744,aptRow:0.00837774):0.014288):0.0195586,(anoDid:0.0625782,(cryCin:0.0922689,(tinGut:0.0644519,(eudEle:0.0734527,notPer:0.0810105):0.00843209):0.01958):0.0525457):0.0177077):0.00756724):0.00469479,((casCas:0.0168463,droNov:0.0190334):0.0375348,(rheAme:0.0135013,rhePen:0.0141411):0.0604305):0.0071742):0.0414228):0.0343203);
58	0.0121333	((halLeu:0.0778887,nipNip:0.0759195):0.1087,(galGal:0.214663,(((aptHaa:0.0238654,(aptOwe:0.0100965,aptRow:0.00951676):0.0140158):0.0260372,((rheAme:0.0138428,rhePen:0.0144827):0.0576138,(anoDid:0.0649045,(cryCin:0.106157,(tinGut:0.0698478,(eudEle:0.0763439,notPer:0.0839017):0.0109368):0.0280718):0.0409844):0.017994):0.00473281):0.0130145,(strCam:0.0534657,(casCas:0.0167794,droNov:0.0189665):0.0408125):0.0120612):0.0344818):0.0426884);
