No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	optM
6	0	-805.20239	-754.84132	-761.16868	50.361066	6.3273542	1
6	1	-628.09317	-601.94558	-604.28111	26.147588	2.3355328	1
6	2	-443.32184	-422.98996	-429.54495	20.331881	6.5549898	1
6	3	-646.02974	-592.40811	-599.04546	53.621634	6.6373461	1
6	4	-630.47271	-589.48404	-595.11463	40.988675	5.6305886	1
6	5	-729.05729	-648.19784	-654.57008	80.859452	6.3722438	1
6	6	-555.33098	-530.83452	-527.24098	24.496453	-3.5935421	2
6	7	-414.90353	-402.83545	-409.4199	12.068079	6.5844465	1
6	8	-785.48541	-714.87472	-721.27894	70.610692	6.4042216	1
6	9	-770.9078	-721.69519	-726.46971	49.212608	4.7745267	1
6	10	-576.08571	-540.78865	-544.18869	35.297057	3.4000408	1
6	11	-627.29637	-580.78774	-587.32857	46.508632	6.5408273	1
6	12	-661.65101	-620.22545	-627.05734	41.425561	6.8318836	1
6	13	-621.83342	-598.18594	-599.30422	23.647482	1.1182821	1
6	14	-553.18448	-533.10609	-538.42462	20.078384	5.3185217	1
6	15	-844.29642	-747.94195	-755.07434	96.354465	7.1323911	1
6	16	-610.60966	-565.88533	-571.06462	44.724326	5.1792884	1
6	17	-509.98091	-493.87076	-499.04099	16.110145	5.1702281	1
6	18	-818.32398	-728.30412	-730.38745	90.019863	2.083337	1
6	19	-798.33548	-716.02418	-721.62678	82.311307	5.6026039	1
6	20	-654.07149	-614.2426	-615.48247	39.828884	1.2398624	1
6	21	-557.53377	-514.57214	-520.80196	42.961621	6.2298163	1
6	22	-669.63108	-629.23839	-632.85364	40.392689	3.6152491	1
6	23	-491.99346	-475.48127	-478.60587	16.512194	3.1246032	1
6	24	-680.61683	-641.16755	-648.23034	39.449275	7.0627937	1
6	25	-716.91559	-663.60661	-670.70552	53.308978	7.0989121	1
6	26	-601.08781	-581.23802	-586.44358	19.849796	5.205569	1
6	27	-631.18878	-621.26963	-620.91812	9.9191425	-0.3515128	2
6	28	-679.52108	-637.06973	-640.92477	42.451358	3.855046	1
6	29	-497.19556	-471.33378	-478.00223	25.861781	6.6684492	1
6	30	-639.94241	-600.69306	-607.6719	39.249355	6.9788455	1
6	31	-434.3776	-426.14994	-431.73809	8.2276566	5.5881492	1
6	32	-592.67534	-546.69607	-551.71182	45.979272	5.0157491	1
6	33	-707.0815	-655.67265	-661.31149	51.408854	5.6388448	1
6	34	-643.90746	-590.91687	-596.13167	52.99059	5.2148005	1
6	35	-765.40067	-728.65852	-733.66864	36.742147	5.0101224	1
6	36	-866.40855	-792.81734	-799.96196	73.591215	7.1446244	1
6	37	-911.14058	-821.76257	-828.98478	89.378013	7.2222093	1
6	38	-642.46712	-585.97834	-591.42152	56.488775	5.4431838	1
6	39	-642.57116	-619.24445	-624.6016	23.326712	5.3571511	1
6	40	-814.61636	-743.94107	-749.05905	70.675292	5.1179838	1
6	41	-744.5575	-702.19083	-707.49451	42.366677	5.3036846	1
6	42	-713.59313	-637.82775	-644.96391	75.765372	7.1361597	1
6	43	-682.25033	-638.87809	-643.98615	43.372242	5.1080661	1
6	44	-798.98393	-702.16843	-708.27034	96.815502	6.1019173	1
6	45	-698.86287	-637.51156	-645.53187	61.35131	8.0203097	1
6	46	-933.75164	-829.97337	-836.49041	103.77828	6.5170482	1
6	47	-779.87175	-691.39597	-699.83771	88.475781	8.4417397	1
6	48	-912.37486	-802.03115	-809.27465	110.34371	7.2434996	1
6	49	-713.34236	-664.34675	-664.61323	48.995606	0.26647475	1
6	50	-503.55852	-488.74442	-493.66626	14.814093	4.9218397	1
6	51	-690.97202	-658.49591	-661.41498	32.476105	2.9190694	1
6	52	-688.50706	-617.72125	-622.28083	70.785804	4.5595776	1
6	53	-717.93211	-663.76293	-670.96925	54.169185	7.2063175	1
6	54	-411.33481	-400.35924	-405.99749	10.975565	5.6382451	1
6	55	-646.27973	-589.50565	-595.67074	56.774077	6.1650815	1
6	56	-584.24309	-547.94514	-554.58728	36.297952	6.6421414	1
6	57	-667.76365	-661.73053	-660.4177	6.0331183	-1.3128359	2
6	58	-820.17629	-744.8487	-749.94848	75.327581	5.0997742	1
6	59	-663.00693	-616.5732	-623.04385	46.433729	6.4706522	1
6	60	-704.61759	-675.10047	-678.9375	29.517129	3.8370311	1
6	61	-674.74487	-635.69905	-639.77981	39.045814	4.0807556	1
6	62	-817.08718	-728.14481	-735.16523	88.942373	7.0204167	1
6	63	-626.13631	-578.35249	-586.29796	47.783821	7.9454715	1
6	64	-769.44083	-706.08255	-703.74963	63.358282	-2.3329164	2
6	65	-726.84672	-687.04148	-693.01161	39.805238	5.9701308	1
6	66	-652.23537	-612.39757	-613.28248	39.837806	0.88491874	1
6	67	-594.35371	-554.03166	-562.63329	40.32205	8.6016294	1
6	68	-635.68813	-597.8652	-601.00177	37.822933	3.1365702	1
6	69	-633.95803	-604.85633	-610.67973	29.101698	5.8234012	1
6	70	-707.28522	-660.19434	-667.53505	47.090876	7.340706	1
6	71	-787.98553	-754.15496	-754.23114	33.830572	0.076179872	1
6	72	-589.45111	-544.396	-549.9599	45.055119	5.5639009	1
6	73	-710.68087	-652.51925	-657.66399	58.161616	5.1447437	1
6	74	-503.48396	-485.16156	-492.03308	18.322392	6.8715114	1
6	75	-634.11772	-591.48055	-592.04643	42.637171	0.56588123	1
