No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	optM
5	0	-621.60275	-592.13239	-595.57078	29.470359	3.4383927	1
5	1	-324.79144	-309.38242	-312.72854	15.409018	3.3461238	1
5	2	-638.07806	-577.22447	-582.31813	60.853588	5.0936663	1
5	3	-448.17739	-416.30194	-421.37071	31.875447	5.0687732	1
5	4	-567.06432	-556.04883	-558.84973	11.015484	2.800894	1
5	5	-581.66847	-550.99323	-556.00481	30.675238	5.0115713	1
5	6	-356.52735	-331.09975	-336.19759	25.427598	5.0978392	1
5	7	-457.37595	-418.10782	-424.46023	39.26813	6.3524086	1
5	8	-464.09803	-444.13765	-449.34464	19.96038	5.2069926	1
5	9	-624.12611	-568.82417	-574.6179	55.301932	5.7937238	1
5	10	-454.32713	-420.28313	-426.29869	34.044001	6.0155602	1
5	11	-466.91216	-442.432	-447.34225	24.480163	4.9102497	1
5	12	-395.14752	-368.84361	-374.92271	26.303907	6.0790958	1
5	13	-523.60069	-490.82568	-496.7434	32.775014	5.9177229	1
5	14	-599.8094	-580.62163	-582.28658	19.187771	1.6649522	1
5	15	-525.82843	-490.61504	-496.24634	35.213385	5.6312983	1
5	16	-401.99915	-395.24927	-399.84685	6.7498853	4.5975819	1
5	17	-444.111	-431.34102	-434.54229	12.769988	3.2012732	1
5	18	-584.03458	-560.20344	-556.12768	23.831141	-4.0757553	2
5	19	-522.11289	-505.47403	-510.92341	16.638862	5.4493763	1
5	20	-516.4286	-482.53706	-487.30945	33.891548	4.7723975	1
5	21	-787.57564	-700.80546	-702.66229	86.770174	1.856828	1
5	22	-554.96224	-508.49246	-514.73806	46.469778	6.2456012	1
5	23	-449.97249	-412.6305	-417.98661	37.341989	5.3561052	1
5	24	-369.90165	-350.54894	-356.1095	19.35271	5.5605535	1
5	25	-588.13935	-531.62351	-539.03037	56.51584	7.4068595	1
5	26	-599.69775	-575.33642	-579.5605	24.361326	4.2240848	1
5	27	-467.1323	-448.52749	-452.03693	18.604815	3.5094404	1
5	28	-583.11987	-548.42626	-551.17438	34.693605	2.7481114	1
5	29	-697.62274	-656.756	-648.79373	40.866738	-7.9622684	2
5	30	-448.83149	-410.57521	-416.51232	38.256279	5.9371104	1
5	31	-600.75456	-584.50098	-575.84747	16.253578	-8.6535077	2
5	32	-581.19661	-540.43352	-542.94008	40.763086	2.5065629	1
5	33	-575.72286	-526.47134	-532.62866	49.251516	6.1573191	1
5	34	-438.22908	-420.89659	-425.99392	17.332486	5.0973307	1
5	35	-485.1316	-447.81527	-455.60658	37.316336	7.7913167	1
5	36	-647.76433	-615.45895	-621.0696	32.305372	5.6106434	1
5	37	-724.72101	-673.53242	-674.26967	51.18859	0.73724591	1
5	38	-444.47518	-426.50653	-432.9836	17.968651	6.4770712	1
5	39	-660.89084	-635.56965	-640.9777	25.321187	5.40805	1
5	40	-666.46484	-611.40034	-618.02035	55.064509	6.6200164	1
5	41	-549.35741	-512.99116	-518.66689	36.366252	5.6757305	1
5	42	-736.90117	-712.93521	-695.9335	23.965969	-17.001707	2
5	43	-403.18812	-381.17039	-387.52673	22.017733	6.3563364	1
5	44	-746.3451	-673.82368	-681.25137	72.521421	7.4276877	1
5	45	-452.76497	-432.84189	-431.30125	19.923075	-1.5406464	2
5	46	-410.3645	-388.90007	-395.22632	21.46443	6.3262479	1
5	47	-535.00301	-516.54787	-513.39199	18.455141	-3.1558844	2
5	48	-523.04375	-473.13322	-478.79565	49.910528	5.6624318	1
5	49	-774.49757	-743.88066	-740.83281	30.616911	-3.047841	2
5	50	-438.71734	-422.80947	-428.83361	15.907862	6.0241328	1
5	51	-478.1722	-461.21535	-467.59165	16.956856	6.3763039	1
5	52	-563.89694	-537.69771	-536.50957	26.199232	-1.1881393	2
5	53	-631.06104	-591.12107	-591.46995	39.939961	0.34887421	1
5	54	-494.26008	-469.52079	-475.30702	24.739292	5.7862281	1
5	55	-417.41708	-404.93395	-409.35946	12.483124	4.4255118	1
5	56	-395.51048	-379.60518	-384.46118	15.905303	4.8559955	1
