No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
6	216	-491.72089	-482.98471	-484.54739	8.7361871	1.5626842	-478.22888	-471.30659	-467.32642
6	217	-292.55193	-289.5401	-290.72602	3.0118311	1.185923	-289.8332	-279.64215	-279.6436
6	218	-263.48011	-261.84224	-262.65278	1.6378663	0.81053551	-260.26192	-255.35645	-255.3143
6	219	-370.86314	-370.70918	-369.72835	0.15396518	-0.98083058	-368.39403	-364.68302	-358.81832
6	220	-448.15462	-447.23939	-449.33896	0.91522838	2.0995632	-444.83599	-439.357	-434.64713
6	221	-538.54506	-537.68213	-537.66384	0.86293847	-0.01828975	-525.38937	-523.64566	-523.42456
6	222	-157.88616	-158.73991	-159.21659	-0.85375479	0.47667125	-154.37247	-154.79013	-154.79153
6	223	-306.79206	-304.03	-304.9537	2.762058	0.92370105	-304.04987	-294.4901	-293.3847
6	224	-305.5987	-304.83713	-305.34537	0.76156335	0.50823485	-298.89304	-291.93349	-290.66839
6	225	-391.26427	-389.48375	-390.57758	1.7805266	1.0938345	-388.06314	-378.74826	-377.85129
6	226	-447.78208	-438.2622	-438.84032	9.5198788	0.5781226	-440.47198	-426.87579	-423.88716
6	227	-335.47489	-335.82848	-336.17008	-0.35358566	0.34159735	-330.47486	-328.4906	-328.26
6	228	-273.30516	-271.53261	-271.75026	1.7725508	0.21765318	-270.22478	-264.75383	-263.17129
6	229	-422.17103	-421.97655	-421.62532	0.19447837	-0.35123448	-418.64155	-414.96138	-410.3718
6	230	-274.898	-275.60173	-275.94613	-0.70372582	0.34439959	-272.04594	-272.46414	-272.44051
6	231	-237.38169	-237.43422	-237.75539	-0.052532923	0.32117227	-233.97875	-230.92939	-230.97487
6	232	-445.32922	-444.19975	-438.83153	1.129471	-5.3682163	-433.83614	-431.03785	-421.96997
6	233	-334.0736	-334.49043	-333.13847	-0.4168347	-1.3519641	-328.13539	-325.21128	-318.7625
6	234	-221.14137	-221.75863	-222.0542	-0.61725917	0.29557676	-217.97594	-217.85276	-217.87667
6	235	-480.43646	-478.96332	-478.36321	1.4731411	-0.60010804	-476.12538	-470.8015	-463.82682
6	236	-321.42619	-312.91627	-313.91858	8.5099123	1.0023068	-311.93853	-305.73491	-305.80277
6	237	-428.83566	-427.69287	-428.98203	1.1427979	1.2891665	-416.95445	-417.94102	-416.79324
6	238	-388.43205	-387.58742	-388.37439	0.84462518	0.78696956	-386.03157	-379.79031	-379.70899
6	239	-515.87717	-511.85536	-513.17298	4.0218144	1.3176185	-513.04708	-501.95857	-500.45492
6	240	-271.87934	-271.85341	-272.57047	0.025928049	0.71705443	-268.33053	-263.18683	-263.43994
