No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa
27	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
28	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
29	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0
30	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
31	1	1	1	2	2	2	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
32	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
33	1	1	1	2	2	2	2	1	2	2	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
34	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
35	1	1	1	2	2	2	1	1	2	2	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1
36	1	1	1	2	2	2	1	1	2	2	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0
37	1	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	0	0	2	2	1	1	2	1	1	1	1	1	1	1	0
38	1	1	1	2	2	2	1	1	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
39	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	0
40	1	1	1	2	2	2	1	1	2	2	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
41	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
42	1	1	1	1	1	2	1	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
43	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
44	1	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	0	0	1	1	1	1	0	0	0
45	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	0	2	2	1	1	1	1	1	1	1	1	1	1	0
46	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
47	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0
48	1	1	1	2	2	2	1	1	2	2	1	1	0	1	0	1	1	1	2	2	1	1	2	1	1	0	0	0	0	0	0
49	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0
50	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0
51	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	0
52	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
53	1	1	1	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1
54	1	1	1	2	2	2	2	1	2	2	0	1	2	1	1	1	1	1	2	2	1	1	2	1	0	1	0	0	0	0	0
55	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
56	0	0	0	2	2	2	2	2	2	2	1	1	0	1	0	0	0	0	2	1	1	1	2	1	1	0	0	0	0	0	0
57	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
58	1	1	1	2	2	0	0	1	2	2	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0
59	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	0	0
60	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	0	0	0
61	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
62	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0
63	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	0	2	2	1	1	2	1	1	1	1	1	1	1	0
64	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
65	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	0
66	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
67	1	1	1	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
68	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	1	0	0	2	2	1	1	2	1	1	1	1	1	1	1	0
69	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
70	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	0	0	0
71	1	1	1	2	2	2	0	1	2	2	1	0	1	1	1	1	1	1	2	1	0	0	1	0	0	1	0	0	0	0	0
72	0	0	1	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	2	2	1	1	2	1	1	1	1	1	1	1	0
73	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
74	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	1	2	2	1	1	1	1	0
75	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
76	1	1	1	2	2	2	1	1	2	2	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1
77	1	1	1	2	2	2	1	1	2	2	2	2	1	1	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1	1	1
78	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
79	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0
80	0	0	1	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	2	1	1	1	2	1	1	1	1	1	1	1	0
81	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0
82	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	0	1	1	2	1	1	1	2	1	1	1	1	1	1	0	0
83	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
84	1	1	0	2	2	2	1	2	2	2	2	2	2	1	1	1	1	0	2	2	1	1	2	1	2	1	1	1	1	1	0
85	1	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
86	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	0	0
87	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0
88	1	1	1	2	2	2	1	2	2	2	1	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
89	1	1	1	2	2	2	2	1	2	2	2	1	1	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
90	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
91	0	1	1	2	2	2	2	2	2	2	2	1	2	2	1	1	0	0	2	2	2	1	2	1	1	1	1	0	0	0	0
92	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
93	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
94	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
95	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1
96	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0
97	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
98	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
99	1	1	1	1	2	0	1	1	2	2	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0
