No.	prop	genetree
51	0.038	(((halLeu:0.0726258,nipNip:0.0706567):0.0647936,(strCam:0.0669171,(casCas:0.0536614,((aptRow:0.0229018,(aptHaa:0.00464613,aptOwe:0.00489298):0.0185885):0.0201762,(cryCin:0.0832999,tinGut:0.0750629):0.0800761):0.00351452):0.0173819):0.0266106):0.00262566,(galGal:0.207873,((droNov:0.0549393,rhePen:0.0729429):0.0085605,(rheAme:0.0736921,(anoDid:0.078116,(eudEle:0.0969397,notPer:0.104497):0.0726087):0.00701792):0.00717145):0.0360322):0.00293457);
51	0.0326667	(((halLeu:0.0904874,nipNip:0.0885183):0.0468861,((aptHaa:0.00536155,aptOwe:0.0056084):0.0564185,(casCas:0.0630084,(strCam:0.0561592,(aptRow:0.0424734,(cryCin:0.0950479,tinGut:0.0868109):0.0677235):0.0107431):0.00272298):0.00550769):0.029092):0.00267145,(galGal:0.207744,((droNov:0.0595065,rhePen:0.07751):0.00911528,(rheAme:0.0723132,(anoDid:0.0723537,(eudEle:0.109531,notPer:0.117088):0.0542554):0.0114014):0.0136722):0.0307815):0.00306332);
51	0.0306667	(((halLeu:0.0789435,nipNip:0.0769743):0.0575028,(strCam:0.0790606,(aptRow:0.0444844,((aptHaa:0.00603932,aptOwe:0.00628617):0.0346811,(casCas:0.0452258,(cryCin:0.0948575,tinGut:0.0866205):0.0635974):0.00223068):0.00409684):0.0316335):0.0134939):0.00359877,(galGal:0.207072,((droNov:0.059343,rhePen:0.0773465):0.00985501,(rheAme:0.0792624,(anoDid:0.0851469,(eudEle:0.0906039,notPer:0.0981617):0.0859755):0.00555734):0.00729923):0.0295325):0.00373607);
51	0.0293333	((halLeu:0.0674148,nipNip:0.0654457):0.0726302,((galGal:0.207107,((droNov:0.0666103,rhePen:0.0846138):0.0058049,(rheAme:0.080332,(anoDid:0.0792322,(eudEle:0.111823,notPer:0.119381):0.0588416):0.0125416):0.00944687):0.0263508):0.00338178,(strCam:0.0525992,((casCas:0.050406,(aptRow:0.0200006,(aptHaa:0.00287065,aptOwe:0.0031175):0.0174628):0.0233365):0.00574303,(cryCin:0.0587022,tinGut:0.0504652):0.110676):0.000576334):0.0432352):0.000318892);
0	0.0186667	((nipNip:0.109968,(halLeu:0.102031,galGal:0.172793):0.00990669):0.0281078,(strCam:0.0632694,(cryCin:0.176413,((eudEle:0.182502,(((aptHaa:0.00566731,aptOwe:0.00591416):0.0434751,(aptRow:0.043506,(casCas:0.0290546,droNov:0.0312417):0.0215203):0.00530356):0.000242935,(tinGut:0.0795896,notPer:0.10458):0.0815239):0.00395573):0.00245208,(anoDid:0.087581,(rheAme:0.054606,rhePen:0.0552458):0.0215332):0.00594085):0.000655099):0.00421129):0.0328839);
0	0.0173333	((galGal:0.172146,(halLeu:0.0924925,nipNip:0.0905233):0.00889111):0.0386614,(strCam:0.0628651,(((aptHaa:0.00566731,aptOwe:0.00591416):0.0472437,(((aptRow:0.0430861,eudEle:0.17258):0.000419958,(casCas:0.0170623,droNov:0.0192494):0.0335126):0.00554649,(tinGut:0.0795896,notPer:0.10458):0.0815239):0.00352564):0.0065853,(cryCin:0.177869,(anoDid:0.0884034,(rheAme:0.0606297,rhePen:0.0612696):0.0163318):0.00722888):0.00159269):0.00075891):0.0332883);
0	0.016	((galGal:0.197364,(halLeu:0.106451,nipNip:0.104481):0.0201504):0.013444,(((aptHaa:0.00714852,aptOwe:0.00739537):0.0495986,(aptRow:0.0453897,(casCas:0.0205155,droNov:0.0227026):0.031943):0.0110245):0.0039125,((rhePen:0.076779,(rheAme:0.0672846,anoDid:0.0787265):0.00885451):0.00706908,(strCam:0.0555228,((cryCin:0.117427,eudEle:0.126623):0.0264625,(tinGut:0.108224,notPer:0.133215):0.0274279):0.0289889):0.00400842):0.00373815):0.0328839);
0	0.016	(nipNip:0.138076,((halLeu:0.10971,galGal:0.180473):0.029737,((((aptHaa:0.0085484,aptOwe:0.00879525):0.0424868,((casCas:0.0326392,droNov:0.0348263):0.0231308,(cryCin:0.121489,eudEle:0.130685):0.0475103):0.00200124):0.00468997,((aptRow:0.0491403,strCam:0.052083):0.00559685,(rheAme:0.0683118,(rhePen:0.0660045,anoDid:0.0768065):0.00294718):0.0130449):0.000655155):0.0081991,(tinGut:0.110356,notPer:0.135347):0.0652963):0.029021):0.000598237);
0	0.0146667	((nipNip:0.12716,(halLeu:0.113154,galGal:0.183917):0.0159752):0.0109159,((eudEle:0.185931,(aptHaa:0.00714852,aptOwe:0.00739537):0.0496211):0.00388993,((strCam:0.0519545,((aptRow:0.035057,(casCas:0.0166953,droNov:0.0188824):0.0254305):0.0118406,(tinGut:0.111905,(cryCin:0.11555,notPer:0.132304):0.00459171):0.0470534):0.00211433):0.00642922,(rheAme:0.0761391,(rhePen:0.0688254,anoDid:0.0796274):0.00795361):0.0059216):0.00488563):0.0328839);
58	0.042	((galGal:0.201497,(halLeu:0.0579655,nipNip:0.0559963):0.0727688):0.00931072,((strCam:0.0728359,(((aptHaa:0.0447053,(rheAme:0.0477262,rhePen:0.0483661):0.0232659):0.0119443,(casCas:0.05575,droNov:0.0579371):0.00763562):0.000623963,(anoDid:0.0730929,(eudEle:0.156851,(tinGut:0.105642,(cryCin:0.0851726,notPer:0.101926):0.0287065):0.0337758):0.00767441):0.0219094):0.0129525):0.0136273,(aptOwe:0.0509618,aptRow:0.0503821):0.0331385):0.00969007);
