No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
70	70	-320.08065	-320.16638	-320.72254	-0.085730276	0.55615063	-314.45477	-311.25807	-311.32753
71	71	-300.45693	-300.95478	-301.37415	-0.49784682	0.41936742	-296.36107	-296.9673	-296.82216
72	72	-385.53285	-385.91595	-383.77936	-0.38309999	-2.1365864	-382.81296	-380.66333	-373.94522
73	73	-299.4472	-298.15704	-298.66854	1.290162	0.51150626	-296.71269	-292.20779	-292.20568
74	74	-236.79724	-237.51822	-237.93187	-0.72097895	0.41365172	-233.79323	-234.21097	-234.21211
75	75	-352.24025	-350.49859	-351.22745	1.7416609	0.72885746	-349.79663	-343.64933	-343.71961
76	76	-258.15837	-258.61526	-259.07984	-0.4568835	0.46458603	-255.31676	-252.6443	-252.63389
77	77	-306.02942	-305.8721	-306.43123	0.15732049	0.5591255	-301.96394	-298.1798	-297.53496
78	78	-223.36585	-223.25995	-223.78462	0.10589617	0.52466644	-218.69278	-219.11214	-219.11046
79	79	-280.63438	-280.9274	-281.04625	-0.29301882	0.11884968	-277.91851	-276.12641	-273.92862
80	80	-327.2255	-327.88788	-328.28673	-0.66237731	0.39885535	-324.51363	-323.91257	-323.94197
81	81	-416.61741	-412.32032	-413.21139	4.2970942	0.89106758	-404.59411	-403.8121	-401.12872
82	82	-311.62677	-311.5551	-312.19294	0.071668326	0.63783671	-308.93046	-305.08602	-305.07606
83	83	-421.27668	-416.87718	-417.6706	4.3994988	0.79341818	-415.08105	-405.55705	-402.88155
84	84	-309.77747	-309.81919	-310.46658	-0.041725839	0.64739078	-305.7085	-303.17239	-303.44378
85	85	-261.35243	-261.63631	-262.09059	-0.28388636	0.45427881	-258.53319	-255.86513	-254.96646
86	86	-402.17341	-402.67925	-401.44202	-0.50584461	-1.2372275	-396.93909	-396.70273	-390.18286
87	87	-203.73565	-204.35207	-204.7721	-0.61641911	0.4200287	-200.59509	-198.82075	-198.81474
88	88	-240.92663	-241.32243	-241.92662	-0.39580784	0.60418123	-236.1507	-235.31507	-235.8404
89	89	-289.74283	-290.39632	-290.8697	-0.65348709	0.47337955	-287.13497	-286.22036	-286.22341
90	90	-421.11339	-421.56719	-422.02413	-0.45380949	0.45693057	-418.97402	-417.14861	-417.28194
91	91	-295.60685	-296.30097	-296.6787	-0.6941193	0.37772361	-292.97361	-293.39341	-293.39104
92	92	-287.0299	-287.42547	-287.6862	-0.39556625	0.26073705	-284.37593	-282.92452	-281.67309
93	93	-244.64798	-245.54794	-245.78625	-0.89995647	0.23830489	-241.84601	-242.26409	-242.26386
94	94	-212.9584	-212.67167	-213.25479	0.28673222	0.58312	-209.55776	-206.4561	-206.44735
95	95	-262.23908	-259.78907	-260.58551	2.4500087	0.79643969	-259.26975	-250.5875	-250.08143
96	96	-201.33945	-201.75005	-202.15464	-0.41060047	0.40458956	-197.94156	-197.4647	-197.4863
97	97	-318.93288	-319.60271	-319.38114	-0.66982972	-0.22156533	-316.6004	-316.00602	-311.75727
98	98	-218.47671	-219.30664	-219.5645	-0.82992505	0.25786226	-215.34257	-215.76003	-215.7612
99	99	-394.64851	-392.96877	-385.96941	1.6797408	-6.999358	-382.42461	-377.71945	-373.6354
