No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut.aptFor_0	taeGut.aptFor_1	taeGut.aptFor_2	taeGut.aptFor_3	taeGut.galGal_0	taeGut.galGal_1	taeGut.galGal_2	taeGut.galGal_3	aptHaa.aptOwe_0	aptHaa.aptOwe_1	aptHaa.aptOwe_2	aptHaa.aptOwe_3	aptHaa.aptRow_0	aptHaa.aptRow_1	aptHaa.aptRow_2	aptHaa.aptRow_3	casCas.droNov_0	casCas.droNov_1	casCas.droNov_2	casCas.droNov_3	aptHaa.casCas_0	aptHaa.casCas_1	aptHaa.casCas_2	aptHaa.casCas_3	rheAme.rhePen_0	rheAme.rhePen_1	rheAme.rhePen_2	rheAme.rhePen_3	aptHaa.rheAme_0	aptHaa.rheAme_1	aptHaa.rheAme_2	aptHaa.rheAme_3	cryCin.tinGut_0	cryCin.tinGut_1	cryCin.tinGut_2	cryCin.tinGut_3	eudEle.notPer_0	eudEle.notPer_1	eudEle.notPer_2	eudEle.notPer_3	cryCin.eudEle_0	cryCin.eudEle_1	cryCin.eudEle_2	cryCin.eudEle_3	cryCin.anoDid_0	cryCin.anoDid_1	cryCin.anoDid_2	cryCin.anoDid_3	aptHaa.cryCin_0	aptHaa.cryCin_1	aptHaa.cryCin_2	aptHaa.cryCin_3	aptHaa.strCam_0	aptHaa.strCam_1	aptHaa.strCam_2	aptHaa.strCam_3	taeGut.aptHaa_0	taeGut.aptHaa_1	taeGut.aptHaa_2	taeGut.aptHaa_3
44	3.5649	0.295293	0.496691	0.279646	0	0	0.092	0.908	0	0	0.241333	0.758667	0	0	0.000666667	0.999333	0	0	0	0.00333333	0.996667	0	0	0.245333	0.754667	0	0	0.004	0.996	0	0	0.760667	0.239333	0	0	0.134667	0.865333	0	0	0	1	0	0	0	1	0	0.163333	0.835333	0.00133333	0	0.121333	0.878667	0	0	0.349333	0.557333	0.0933333	0	0.145333	0.854667	0	0	0.03	0.97	0	0	0.096	0.904	0	0	0.244667	0.755333	0	0	0.306667	0.693333	0	0	0	0.426667	0.573333	0	0	0.756	0.244	0	0	0.99	0.01	0	0	0.992	0.008	0	0	0	1	0	0	0.994667	0.00533333	0	0.26	0.74	0	0	0.354	0.646	0	0	0.37	0.63	0	0	0.372667	0.627333	0	0	0.393333	0.606667	0	0	0.480667	0.519333	0	0	0.663333	0.336667	0
92	5.83856	0.20916	0.626566	0.204412	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.00133333	0.996667	0.002	0	0.00466667	0.933333	0.062	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0266667	0.973333	0	0	0.004	0.996	0	0	0.130667	0.869333	0	0	0	0.000666667	0.999333	0	0	0.999333	0.000666667	0	0.00466667	0.995333	0	0	0.00733333	0.992667	0	0	0	1	0	0	0.0133333	0.986667	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0	0	0.0493333	0.950667	0	0	0.255333	0.744667	0	0	0.535333	0.464667	0
90	2.97779	0.18338	0.454015	0.339749	0	0	0.567333	0.432667	0	0	0.024	0.976	0	0	0.00266667	0.997333	0	0	0	0.008	0.992	0	0	0	1	0	0	0	1	0	0.00466667	0.200667	0.794667	0	0.004	0.974	0.022	0	0.000666667	0	0.999333	0	0.000666667	0	0.999333	0	0	0.840667	0.159333	0	0	0	1	0	0.00666667	0.989333	0.004	0	0.103333	0.178	0.718667	0	0.004	0.996	0	0	0.710667	0.287333	0.002	0	0.588	0.412	0	0	0.798667	0.201333	0	0	0	0.0226667	0.977333	0	0	0.062	0.938	0	0.006	0.990667	0.00333333	0	0.012	0.984667	0.00333333	0	0.000666667	0.273333	0.726	0	0.0533333	0.944667	0.002	0	0	0.966667	0.0333333	0	0.103333	0.893333	0.00333333	0	0.125333	0.874667	0	0	0.14	0.86	0	0	0.282667	0.717333	0	0	0.919333	0.0806667	0	0	0.984	0.016	0
94	8.5293	0.203242	0.608568	0.22051	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0.000666667	0.999333	0	0	0	1	0	0.006	0.884	0.11	0	0.002	0.998	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00266667	0.997333	0	0	0	1	0	0	0.00666667	0.993333	0	0	0	0.630667	0.369333	0	0	1	0	0	0.006	0.994	0	0	0.0106667	0.989333	0	0	0	1	0	0	0.0253333	0.974667	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.00333333	0.996667	0	0	0.0606667	0.939333	0	0	0.0706667	0.929333	0	0	0.349333	0.650667	0
45	2.46745	0.215432	0.530667	0.199192	0	0	0.398667	0.601333	0	0	0.336	0.664	0	0	0.0106667	0.989333	0	0	0.00466667	0.006	0.989333	0	0.00466667	0.00533333	0.99	0	0.00733333	0.004	0.988667	0	0.002	0.577333	0.420667	0	0.00333333	0.290667	0.706	0	0.002	0	0.998	0	0.002	0.0893333	0.908667	0	0	0.998667	0.00133333	0	0	0.988	0.012	0	0.000666667	0.982667	0.0166667	0	0	1	0	0	0.00133333	0.995333	0.00333333	0	0.036	0.964	0	0	0.420667	0.579333	0	0	0.62	0.38	0	0	0.006	0.00533333	0.988667	0	0.01	0.00133333	0.988667	0	0.004	0.786	0.21	0	0.01	0.792	0.198	0	0.002	0.485333	0.512667	0	0.0233333	0.811333	0.165333	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0.008	0.992	0	0	0.0933333	0.906667	0	0	0.480667	0.519333	0	0	0.887333	0.112667	0
93	6.47204	0.0609807	0.62748	0.197126	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0.983333	0.0166667	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00533333	0.994667	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00333333	0.996667	0	0	0.0353333	0.964667	0	0	0.33	0.67	0
91	7.31214	0.304549	0.476559	0.22936	0	0	0.00866667	0.991333	0	0	0.00466667	0.995333	0	0	0.000666667	0.999333	0	0	0	0	1	0	0	0	1	0	0	0.052	0.948	0	0.036	0.952	0.012	0	0.0233333	0.976667	0	0	0	0	1	0	0	0	1	0	0.00466667	0.995333	0	0	0.02	0.98	0	0	0.00866667	0.991333	0	0	0.0113333	0.988667	0	0	0.416667	0.572	0.0113333	0	0.348667	0.651333	0	0	0.014	0.986	0	0	0.022	0.978	0	0	0	0	1	0	0	1	0	0	0.052	0.948	0	0	0.101333	0.898667	0	0	0	1	0	0	0.198667	0.801333	0	0	0.032	0.968	0	0	0.0353333	0.964667	0	0	0.0706667	0.929333	0	0	0.418	0.582	0	0	0.424667	0.575333	0	0	0.437333	0.562667	0	0	0.58	0.42	0
95	4.58464	0.274419	0.60172	0.212249	0	0	0	1	0	0	0	1	0	0	0.00533333	0.994667	0	0	0	0	1	0	0	0.014	0.986	0	0	0.00533333	0.994667	0	0.00266667	0.927333	0.07	0	0.00266667	0.704667	0.292667	0	0	0	1	0	0	0	1	0	0.000666667	0.981333	0.018	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0386667	0.958667	0.00266667	0	0	1	0	0	0.0126667	0.987333	0	0	0	0.0486667	0.951333	0	0	0.998	0.002	0	0.00266667	0.996667	0.000666667	0	0.00333333	0.996667	0	0	0	1	0	0	0.00666667	0.993333	0	0	0.000666667	0.999333	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.002	0.998	0	0	0.0166667	0.983333	0	0	0.0593333	0.940667	0	0	0.329333	0.670667	0
46	4.98113	0.246968	0.493169	0.257779	0	0	0.00133333	0.998667	0	0	0.00133333	0.998667	0	0	0.00266667	0.997333	0	0	0	0.002	0.998	0	0	0	1	0	0.100667	0.45	0.449333	0	0.072	0.924	0.004	0	0.138667	0.826667	0.0346667	0	0	0	1	0	0	0	1	0	0.144	0.856	0	0	0.212667	0.783333	0.004	0	0.226667	0.773333	0	0	0.0426667	0.957333	0	0	0.376	0.624	0	0	0.358	0.642	0	0	0.0126667	0.987333	0	0	0.751333	0.248667	0	0	0	0.47	0.53	0	0.152667	0.844667	0.00266667	0	0.17	0.83	0	0	0.259333	0.740667	0	0	0	1	0	0	0.341333	0.658667	0	0	0.226667	0.773333	0	0	0.230667	0.769333	0	0	0.234667	0.765333	0	0	0.417333	0.582667	0	0	0.531333	0.468667	0	0	0.929333	0.0706667	0	0	0.996667	0.00333333	0
96	3.88067	0.330703	0.56686	0.170855	0	0	0.0633333	0.936667	0	0	0.0793333	0.920667	0	0	0.028	0.972	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.0113333	0.61	0.378667	0	0.008	0.979333	0.0126667	0	0.048	0.006	0.946	0	0.044	0.188	0.768	0	0	1	0	0	0	1	0	0	0	0.998667	0.00133333	0	0	1	0	0	0.00266667	0.997333	0	0	0.106667	0.892	0.00133333	0	0.084	0.916	0	0	0.114667	0.885333	0	0	0	0.064	0.936	0	0	0.16	0.84	0	0.012	0.979333	0.00866667	0	0.012	0.979333	0.00866667	0	0.0493333	0.550667	0.4	0	0.054	0.94	0.006	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00466667	0.995333	0	0	0.074	0.926	0	0	0.162667	0.837333	0	0	0.442667	0.557333	0
97	4.69508	0.254868	0.453745	0.206125	0	0	0.308	0.692	0	0	0.446	0.554	0	0	0.615333	0.384667	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.997333	0.00266667	0	0	0.394	0.606	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0.0286667	0.971333	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.998	0.002	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0.00266667	0.997333	0	0	0.0286667	0.971333	0	0	0.15	0.85	0	0	1	0	0
98	4.58697	0.284763	0.610395	0.246062	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.0126667	0.987333	0	0	0.492667	0.507333	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0.772	0.228	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.00133333	0.998667	0	0	0.000666667	0.999333	0	0	0.00466667	0.995333	0	0	0	0	1	0	0	0.00133333	0.998667	0	0	0.999333	0.000666667	0	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.00466667	0.995333	0	0	0.0206667	0.979333	0	0	0.328667	0.671333	0
47	3.6296	0.316474	0.47282	0.200196	0	0	0.534	0.466	0	0	0.224	0.776	0	0	0.302	0.698	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.964667	0.0353333	0	0	0.973333	0.0266667	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0.0766667	0.922667	0.000666667	0	0.852	0.148	0	0	0.876667	0.123333	0	0	0	0	1	0	0	0	1	0	0	0.975333	0.0246667	0	0	0.979333	0.0206667	0	0	0	1	0	0	0.983333	0.0166667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.078	0.922	0	0	0.346	0.654	0	0	0.939333	0.0606667	0
99	5.07868	0.205793	0.643135	0.249481	0	0	0.00266667	0.997333	0	0	0.000666667	0.999333	0	0	0.002	0.998	0	0	0	0.0186667	0.981333	0	0	0.0246667	0.975333	0	0	0	1	0	0	0.995333	0.00466667	0	0	0.999333	0.000666667	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0.992	0.008	0	0	1	0	0	0	1	0	0	0	0	1	0	0.00266667	0.997333	0	0	0.004	0.996	0	0	0.140667	0.859333	0	0	0	0.0266667	0.973333	0	0	0.999333	0.000666667	0	0.002	0.998	0	0	0.01	0.99	0	0	0	1	0	0	0.024	0.976	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0626667	0.937333	0	0	0.330667	0.669333	0	0	0.628667	0.371333	0
