No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
82	82	-647.20749	-639.50618	-625.28082	7.701309	-14.225368	-632.34413	-633.65639	-616.78162
83	83	-556.30978	-556.30648	-541.47033	0.0033009844	-14.836153	-542.74698	-543.18187	-525.88053
84	84	-552.0104	-546.07578	-523.19209	5.9346147	-22.883689	-533.61919	-526.69039	-508.20336
85	85	-338.53634	-337.53242	-338.11215	1.0039186	0.57973353	-329.24726	-330.85896	-328.95571
86	86	-546.87617	-546.83172	-522.58791	0.044453051	-24.243806	-533.97721	-534.40083	-515.13558
87	87	-369.51069	-368.86754	-364.21687	0.64315499	-4.6506684	-361.98171	-362.68744	-353.58568
88	88	-411.9554	-404.90882	-399.4829	7.046577	-5.4259222	-398.08079	-397.75228	-391.57214
89	89	-484.56343	-473.35229	-466.97066	11.211145	-6.38163	-470.9704	-467.05961	-456.77494
90	90	-533.62534	-527.3328	-508.87904	6.2925368	-18.453762	-519.32007	-519.78095	-500.66985
91	91	-713.22322	-692.01689	-645.1225	21.206336	-46.894385	-698.39573	-674.28992	-638.0259
92	92	-484.76632	-484.1797	-455.33402	0.58662391	-28.845684	-469.74859	-467.10668	-438.09725
93	93	-540.41382	-540.33998	-514.80034	0.073844939	-25.539642	-527.09631	-527.53409	-502.03431
94	94	-580.24196	-573.9176	-569.16379	6.3243588	-4.7538133	-564.56614	-561.52987	-552.54134
95	95	-438.94284	-438.8547	-419.45326	0.088146424	-19.401436	-425.22107	-425.67489	-407.36855
96	96	-639.70376	-626.75148	-589.60853	12.952281	-37.14295	-625.41383	-609.32118	-581.50925
97	97	-416.64023	-399.40417	-397.87156	17.236062	-1.5326103	-402.89242	-387.82916	-385.92158
98	98	-403.4434	-402.44127	-383.76522	1.0021255	-18.676049	-388.51832	-386.88372	-370.93674
99	99	-585.78356	-568.95161	-537.28612	16.831947	-31.665495	-570.97409	-552.34503	-528.86537
