No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-337.14151	-338.429	-339.93196	-1.2874934	1.502951	-332.85056	-331.45027	-331.45236
1	1	-301.57139	-302.48383	-304.3778	-0.91244039	1.8939701	-298.44265	-296.84734	-296.94663
2	2	-331.58483	-333.08533	-334.74553	-1.5005012	1.6601998	-327.36666	-326.31235	-325.44873
3	3	-249.226	-251.2635	-252.57858	-2.0375067	1.3150825	-245.33848	-245.75977	-245.77201
4	4	-285.26381	-286.69546	-288.4183	-1.4316518	1.7228447	-281.8832	-282.30449	-281.965
5	5	-361.33381	-363.02986	-363.41029	-1.69605	0.38043017	-357.72875	-356.98664	-352.71767
6	6	-222.49669	-222.40204	-224.79577	0.094650838	2.3937313	-219.82055	-216.77317	-216.77369
7	7	-284.87187	-287.15694	-288.12465	-2.2850678	0.9677102	-281.71911	-282.13714	-282.13676
8	8	-269.62916	-271.82773	-273.36954	-2.198577	1.5418046	-266.85209	-267.2698	-267.27184
9	9	-318.66279	-312.61547	-310.99809	6.0473245	-1.6173808	-314.65473	-305.06326	-296.19583
10	10	-345.91711	-347.60562	-348.73291	-1.6885108	1.1272963	-342.0056	-342.43369	-338.90637
11	11	-302.74646	-304.38508	-302.11486	-1.638618	-2.2702111	-295.21126	-295.63039	-291.95868
12	12	-372.86392	-372.88009	-374.81682	-0.016176358	1.9367297	-369.3436	-366.34383	-366.3418
13	13	-357.82216	-359.5509	-360.28642	-1.7287421	0.73551236	-354.20972	-354.62763	-352.98223
14	14	-374.93393	-376.44348	-377.1633	-1.5095506	0.7198197	-368.84558	-367.63134	-362.70383
15	15	-246.94143	-247.81851	-249.84527	-0.87707703	2.0267587	-243.12263	-240.43838	-240.46204
16	16	-366.01078	-368.08707	-367.33718	-2.0762912	-0.74988512	-362.38646	-362.80763	-356.9671
17	17	-274.43809	-275.31405	-277.26668	-0.87596335	1.9526262	-270.68223	-267.61969	-267.9122
