No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
89	89	-374.0773	-370.02794	-369.80395	4.0493572	-0.22399052	-363.79678	-357.15835	-357.58344
90	90	-432.20735	-432.95951	-423.45263	-0.75216124	-9.5068834	-420.1427	-419.5457	-408.95693
91	91	-337.56863	-338.49159	-329.66267	-0.92295622	-8.8289177	-324.86444	-325.28234	-320.46218
92	92	-431.28413	-432.20837	-425.46975	-0.92423866	-6.738623	-419.39694	-419.8317	-411.90442
93	93	-417.65266	-417.76249	-416.08451	-0.10982213	-1.6779801	-405.76453	-406.36535	-404.38642
94	94	-359.24472	-360.04982	-352.44192	-0.80510337	-7.6079006	-348.01476	-348.44427	-338.78951
95	95	-444.77704	-445.238	-432.43846	-0.46095634	-12.799539	-431.58703	-432.0097	-419.90085
96	96	-706.26006	-702.55338	-633.74152	3.7066781	-68.811853	-692.25391	-687.83325	-620.71365
97	97	-368.41905	-369.62577	-360.21873	-1.2067235	-9.4070357	-356.81046	-357.26248	-351.15179
98	98	-521.71664	-522.75987	-500.72392	-1.0432238	-22.035943	-509.11277	-508.30892	-485.43808
99	99	-372.88222	-373.9617	-364.91683	-1.0794726	-9.0448688	-361.00187	-361.3848	-355.20908
