No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2
4	0	-350.95819	-350.25548	-350.97295	0.70271289	0.71746632
4	1	-293.26843	-293.47085	-293.98889	-0.20242563	0.51803828
4	2	-321.30181	-321.64974	-322.1312	-0.34793268	0.48145451
4	3	-269.38219	-270.07416	-270.43305	-0.69196044	0.35889015
4	4	-326.92553	-324.41527	-325.6963	2.5102553	1.2810326
4	5	-160.55899	-161.27901	-161.85291	-0.72002121	0.57389515
4	6	-235.22445	-235.69188	-235.78631	-0.46743034	0.09442946
4	7	-270.4461	-271.31356	-271.56492	-0.86745946	0.25136548
4	8	-289.44822	-288.92283	-289.48327	0.52539098	0.56043853
4	9	-376.96108	-377.40726	-377.87921	-0.44617182	0.47195348
4	10	-364.22329	-364.54469	-365.0767	-0.32140489	0.53200352
4	11	-287.46057	-287.7936	-288.29003	-0.33303465	0.49642171
4	12	-275.21963	-275.94527	-276.21816	-0.725646	0.27289002
4	13	-370.14807	-370.77375	-371.01935	-0.6256774	0.24560807
4	14	-265.19066	-265.73859	-266.32904	-0.54793846	0.59044591
4	15	-245.57574	-246.22644	-246.7499	-0.65069266	0.52345966
4	16	-332.07129	-332.63063	-332.81281	-0.559339	0.18218515
4	17	-213.96144	-215.14856	-215.16529	-1.1871235	0.016727835
4	18	-222.16966	-221.72636	-221.90288	0.44330064	0.17652406
4	19	-353.2139	-352.57311	-353.40308	0.64078903	0.82997774
4	20	-332.22941	-332.98679	-333.39977	-0.75738067	0.41297612
4	21	-303.54197	-303.86032	-302.37517	-0.31834974	-1.4851452
4	22	-490.71582	-488.45083	-487.1698	2.2649865	-1.281032
4	23	-329.39766	-329.95156	-330.41073	-0.55390247	0.45917227
4	24	-335.12424	-331.96447	-332.94691	3.1597678	0.98244032
4	25	-381.7906	-382.34389	-381.98268	-0.55329463	-0.36120607
4	26	-259.14507	-260.04006	-260.39285	-0.89499258	0.35278562
4	27	-345.3844	-345.2088	-345.7666	0.17560314	0.55780442
4	28	-202.04457	-202.74453	-202.92328	-0.69996857	0.17874312
4	29	-301.1554	-300.06124	-300.54058	1.0941662	0.47934692
4	30	-256.72418	-257.36223	-257.92538	-0.63805337	0.56315139
4	31	-543.08873	-541.86794	-541.65365	1.2207903	-0.21428683
4	32	-375.66417	-375.05659	-375.71739	0.60758865	0.66080396
4	33	-314.95433	-315.53339	-315.93688	-0.57906176	0.40348801
4	34	-377.17691	-377.68776	-372.8038	-0.51085014	-4.883963
4	35	-230.33853	-230.88138	-231.24289	-0.54285778	0.36150272
4	36	-270.0455	-270.64173	-271.15147	-0.5962302	0.50973857
4	37	-291.58111	-291.78451	-292.26892	-0.20340771	0.48440489
4	38	-186.26395	-187.64704	-187.56941	-1.3830867	-0.077629569
4	39	-190.76425	-191.87104	-191.93278	-1.1067888	0.061743847
4	40	-455.20551	-454.30481	-455.97126	0.90069474	1.6664475
4	41	-210.7899	-211.12631	-211.78957	-0.33641173	0.66326525
4	42	-411.72164	-409.72767	-408.36249	1.9939659	-1.3651778
4	43	-401.6636	-401.97694	-402.47324	-0.31334113	0.49629962
4	44	-263.70855	-263.14854	-263.91863	0.56000739	0.77008351
4	45	-307.68655	-308.28896	-308.43481	-0.6024026	0.14585724
4	46	-257.64466	-258.51918	-258.99175	-0.87451633	0.47257832
4	47	-380.2341	-380.55694	-380.3726	-0.32283833	-0.18433549
4	48	-490.69384	-490.57858	-489.33766	0.11525774	-1.2409196
4	49	-357.72348	-357.46385	-358.24076	0.25963325	0.77691454
4	50	-234.75179	-235.03526	-235.66716	-0.2834694	0.63190104
4	51	-184.04851	-184.5487	-184.86883	-0.5001903	0.32012993
4	52	-263.66563	-264.04438	-264.20907	-0.37875519	0.16468542
4	53	-256.61253	-256.69741	-257.24	-0.084885931	0.54259059
4	54	-239.09276	-239.67544	-240.06658	-0.58268759	0.39113756
4	55	-280.11693	-279.13862	-280.39329	0.97831215	1.2546774
4	56	-240.86402	-241.50461	-242.21466	-0.64059134	0.71005778
4	57	-294.46725	-294.86497	-295.4153	-0.39771527	0.55033306
4	58	-288.1186	-284.80773	-285.42389	3.3108643	0.61615328
4	59	-336.36693	-336.13863	-336.76511	0.2283013	0.62647447
4	60	-349.5176	-349.78527	-350.36231	-0.26767051	0.57703414
4	61	-306.95759	-306.77415	-307.33798	0.18343934	0.5638327
4	62	-330.99198	-331.75003	-332.15675	-0.75804734	0.40672655
4	63	-369.67957	-370.01491	-370.41334	-0.33533883	0.39842366
4	64	-327.28726	-327.93512	-328.34981	-0.64786198	0.41468803
4	65	-340.28563	-340.60975	-340.20099	-0.32412164	-0.40876552
4	66	-269.41197	-269.06742	-269.67202	0.34455416	0.60460133
4	67	-397.77417	-397.13455	-396.82065	0.63961461	-0.31390139
4	68	-288.02762	-287.91368	-288.59858	0.1139482	0.68489929
4	69	-268.58207	-269.21517	-269.48788	-0.63309566	0.27271447
4	70	-308.63327	-306.68411	-307.73022	1.9491614	1.0461096
4	71	-234.02337	-234.57412	-235.23743	-0.55074654	0.66331004
4	72	-235.52087	-236.26076	-236.58833	-0.73989623	0.32756899
4	73	-239.53102	-240.35397	-240.51382	-0.82295515	0.15985062
4	74	-326.74018	-327.39713	-327.73754	-0.65694985	0.34040456
4	75	-375.35435	-374.80566	-375.51916	0.54869848	0.71350808
4	76	-250.32787	-249.97638	-251.87354	0.35149126	1.897159
4	77	-256.27821	-256.96328	-257.18433	-0.68506744	0.22105125
4	78	-399.20564	-395.57766	-396.68778	3.627979	1.1101184
4	79	-199.97118	-200.04186	-200.5815	-0.07068146	0.53963627
4	80	-346.48628	-340.09899	-341.47857	6.3872934	1.3795797
4	81	-285.84674	-285.85535	-285.68655	-0.0086091052	-0.16879736
4	82	-320.06458	-320.94912	-321.1688	-0.88453915	0.21968718
4	83	-237.65475	-237.84045	-237.95593	-0.1857005	0.1154787
4	84	-321.84442	-321.44838	-321.88783	0.39604387	0.43945682
4	85	-343.262	-343.53362	-344.15266	-0.27161614	0.61903976
4	86	-219.18279	-219.90559	-220.311	-0.7227951	0.40541194
4	87	-425.69918	-424.50661	-425.06319	1.1925783	0.55658822
4	88	-301.20534	-301.60839	-302.25476	-0.40305081	0.64636889
4	89	-338.2471	-338.92229	-339.17802	-0.67519322	0.25573047
4	90	-236.21343	-236.50942	-236.68004	-0.29598818	0.17061949
4	91	-258.38352	-259.02044	-259.41259	-0.63691322	0.39215329
4	92	-300.6996	-301.51789	-298.58289	-0.81829662	-2.9350014
4	93	-376.99817	-377.40304	-365.70722	-0.40487196	-11.695817
4	94	-347.13288	-347.371	-346.32153	-0.23812021	-1.0494772
4	95	-205.06413	-205.32858	-205.88583	-0.26444575	0.55724872
4	96	-444.88911	-445.39063	-442.32544	-0.50151923	-3.0651908
4	97	-273.36087	-273.70398	-274.00092	-0.34310988	0.29693756
4	98	-337.3315	-335.4454	-336.06745	1.8860972	0.62204385
4	99	-219.13996	-216.84785	-217.65412	2.2921114	0.80626959
4	100	-236.00995	-236.94541	-236.84183	-0.93545139	-0.10357394
4	101	-229.40131	-230.29495	-230.66372	-0.89364021	0.36876435
4	102	-410.98979	-411.74022	-411.72779	-0.75042464	-0.012424905
4	103	-296.2572	-295.67206	-296.37277	0.58514299	0.70070863
4	104	-273.80295	-274.52516	-274.52702	-0.7222057	0.0018596534
4	105	-293.06988	-293.79639	-293.42247	-0.72650369	-0.37391396
4	106	-310.17479	-309.55703	-309.79353	0.61775388	0.23649118
4	107	-474.52395	-475.0241	-476.1955	-0.50015483	1.1713999
4	108	-337.67126	-337.80691	-338.26119	-0.1356494	0.45427981
4	109	-372.62157	-373.12931	-373.5118	-0.50773762	0.38249123
4	110	-344.05634	-344.12247	-344.63237	-0.066133348	0.50989914
4	111	-289.66	-290.19198	-290.69479	-0.5319796	0.50280598
4	112	-338.7133	-339.41993	-339.79939	-0.70662885	0.37946506
4	113	-231.35261	-232.34432	-232.98975	-0.99171177	0.64542472
4	114	-414.11352	-414.03418	-414.56976	0.079337475	0.53557336
4	115	-278.41648	-279.08557	-279.42777	-0.6690969	0.34220185
4	116	-404.27066	-400.35852	-401.59681	3.9121405	1.2382924
4	117	-296.77144	-297.45767	-297.93417	-0.68623375	0.47649863
4	118	-229.75215	-230.11928	-230.44185	-0.36712857	0.32256892
4	119	-199.50755	-200.16589	-200.90006	-0.65833815	0.73417155
4	120	-332.34758	-331.98762	-332.58634	0.35996746	0.59872221
4	121	-224.76251	-225.47709	-226.05957	-0.71458627	0.58247802
4	122	-499.24032	-499.63901	-499.72133	-0.39868273	0.082328305
4	123	-338.76999	-339.14554	-339.69087	-0.37555055	0.54533217
4	124	-282.93414	-283.47651	-283.96589	-0.54236378	0.48937955
4	125	-318.66446	-319.22492	-319.72761	-0.56045118	0.50269084
