No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2
2	200	-241.37708	-241.9827	-242.69456	-0.60562749	0.71185754
2	201	-436.68848	-436.08916	-436.57607	0.59931167	0.48690876
2	202	-266.24888	-266.29092	-267.3284	-0.042043911	1.0374756
2	203	-323.14137	-322.3145	-323.57132	0.82687225	1.2568249
2	204	-261.9227	-261.92956	-262.6968	-0.0068559514	0.76724594
2	205	-413.46862	-413.14414	-413.88874	0.32447721	0.74460532
2	206	-463.27235	-461.4869	-462.98273	1.7854475	1.4958337
2	207	-286.95053	-287.1682	-287.8051	-0.21767341	0.63689842
2	208	-283.66428	-282.89364	-284.22351	0.77063765	1.3298668
2	209	-354.71241	-354.97264	-355.79638	-0.2602202	0.82374066
2	210	-383.0318	-381.2924	-382.6082	1.7393931	1.3157961
2	211	-432.46679	-432.65154	-433.10289	-0.18474987	0.45134125
2	212	-263.26691	-259.29746	-261.52252	3.9694552	2.2250626
2	213	-276.58829	-276.51613	-277.33682	0.072161874	0.82069033
2	214	-267.46746	-267.25692	-268.41403	0.21054085	1.1571051
2	215	-318.90604	-319.21227	-319.5737	-0.30622868	0.36142997
2	216	-392.34572	-392.7637	-392.96995	-0.41798228	0.20624478
2	217	-232.04823	-231.62378	-232.63612	0.42445067	1.0123403
2	218	-279.87341	-280.22514	-280.80121	-0.35172694	0.57607021
2	219	-348.00497	-348.22147	-348.63625	-0.21650141	0.41477857
2	220	-266.37757	-261.26088	-262.88493	5.1166877	1.6240457
2	221	-330.50057	-329.83402	-329.93471	0.66655938	0.10069193
2	222	-268.9939	-268.971	-269.91682	0.022901212	0.94582122
2	223	-261.97769	-262.1405	-262.72332	-0.16280522	0.58282453
2	224	-290.78961	-291.22195	-291.63365	-0.43233931	0.4116989
2	225	-426.45012	-426.8187	-421.71025	-0.36857406	-5.1084494
2	226	-237.28403	-237.73985	-238.24456	-0.45582767	0.50470345
2	227	-276.56426	-276.87735	-277.70754	-0.31309351	0.83018821
2	228	-339.79493	-339.87468	-340.7734	-0.07974643	0.89871686
2	229	-310.31212	-310.75473	-311.08027	-0.44261443	0.32554209
2	230	-235.91771	-236.4341	-237.07601	-0.51638756	0.64190885
2	231	-321.59779	-316.015	-315.17231	5.5827934	-0.84268762
2	232	-306.32778	-306.68715	-307.49781	-0.35936793	0.81066421
2	233	-266.58411	-266.95322	-267.15279	-0.36911238	0.19957342
2	234	-379.95285	-379.85543	-378.946	0.097412161	-0.90943386
2	235	-259.56358	-259.54541	-260.50366	0.018173981	0.95825332
2	236	-233.91011	-233.83974	-234.56562	0.070367764	0.72588378
2	237	-288.72044	-288.7454	-289.49008	-0.024964718	0.74468188
2	238	-422.76579	-422.85766	-422.96522	-0.091869971	0.10756067
2	239	-209.2695	-210.14091	-210.47353	-0.87141178	0.33262411
2	240	-413.44082	-412.87042	-413.08334	0.57039718	0.21292397
2	241	-275.75531	-276.19592	-276.85818	-0.44061852	0.66225254
2	242	-328.7844	-328.37272	-330.37716	0.41168518	2.0044431
2	243	-373.70519	-373.52503	-374.31142	0.18015948	0.78638579
2	244	-485.43277	-484.00238	-485.16667	1.430396	1.1642981
2	245	-435.92037	-434.84426	-431.96626	1.0761171	-2.8779981
2	246	-320.33325	-320.69396	-319.34161	-0.36070951	-1.3523514
2	247	-536.75815	-534.25621	-537.38922	2.5019465	3.13301
2	248	-220.35179	-220.40645	-221.41759	-0.054661389	1.0111359
2	249	-239.66068	-239.7516	-240.81106	-0.090925477	1.0594564
2	250	-307.48898	-307.80775	-307.95298	-0.31877293	0.14522529
2	251	-294.72835	-294.69539	-295.51594	0.032956752	0.8205442
2	252	-236.31175	-236.58051	-237.22064	-0.2687612	0.64013257
2	253	-277.15275	-277.61167	-278.37319	-0.45892332	0.76151783
2	254	-198.67576	-198.68061	-199.6777	-0.0048420182	0.99709014
2	255	-293.70781	-292.59794	-293.7903	1.1098727	1.1923638
2	256	-311.83238	-311.66631	-312.61098	0.16606737	0.94466705
2	257	-239.92912	-239.86522	-240.88363	0.063900549	1.0184146
2	258	-351.63464	-350.27002	-351.3788	1.3646228	1.1087833
2	259	-287.9298	-288.01631	-288.86642	-0.086507204	0.85011409
2	260	-240.76464	-238.60823	-240.25744	2.1564067	1.6492091
2	261	-229.7327	-229.83141	-231.2234	-0.098713701	1.3919883
2	262	-410.34413	-410.43716	-408.59606	-0.093036135	-1.8411028
2	263	-309.92099	-310.07297	-310.84909	-0.15197365	0.77612136
2	264	-511.26885	-510.88957	-512.40769	0.37927926	1.5181133
2	265	-273.48612	-273.65805	-274.41903	-0.17192701	0.76098387
2	266	-402.3507	-401.63058	-401.87269	0.72012602	0.24210932
2	267	-423.88382	-421.01558	-422.77838	2.8682469	1.7628019
2	268	-305.35049	-305.46387	-306.17592	-0.11337311	0.71205705
2	269	-291.46857	-290.45112	-291.68938	1.0174596	1.2382639
2	270	-250.55608	-249.90884	-251.31174	0.64723901	1.4029007
2	271	-400.71214	-400.94487	-401.39394	-0.23273455	0.44906713
2	272	-331.68236	-331.59043	-332.22296	0.091928287	0.63253135
2	273	-355.92701	-355.59645	-356.29825	0.33056779	0.70180818
2	274	-414.29319	-414.67403	-414.96262	-0.38084659	0.28858609
2	275	-238.15993	-238.19762	-239.32992	-0.037688421	1.1323053
2	276	-245.65085	-245.89905	-246.70923	-0.24820187	0.81017624
2	277	-379.8887	-379.28259	-380.48798	0.6061148	1.2053908
