genus,species,species.name,s.name,common.name,common.short,label,genome
Elephantulus,edwardii,Elephantulus edwardii,E. edwardii,Cape elephant shrew,Cape elephant shrew,eleEdw1,EleEdw1.0/eleEdw1
Trichechus,manatus latirostris,Trichechus manatus latirostris,T. manatus latirostris,Manatee,Manatee,triMan1,Broad v1.0/triMan1
Chrysochloris,asiatica,Chrysochloris asiatica,C. asiatica,Cape golden mole,Cape golden mole,chrAsi1,ChrAsi1.0/chrAsi1
Echinops,telfairi,Echinops telfairi,E. telfairi,Tenrec,Tenrec,echTel2,Broad/echTel2
Orycteropus,afer,Orycteropus afer afer,O. afer,Aardvark,Aardvark,oryAfe1,OryAfe1.0/oryAfe1
Dasypus,novemcinctus,Dasypus novemcinctus,D. novemcinctus,Armadillo,Armadillo,dasNov3,Baylor/dasNov3
Monodelphis,domestica,Monodelphis domestica,M. domestica,Opossum,Opossum,monDom5,Broad/monDom5
Sarcophilus,harrisii,Sarcophilus harrisii,S. harrisii,Tasmanian devil,Tasmanian devil,sarHar1,WTSI Devil_ref v7.0/sarHar1
Macropus,eugenii,Macropus eugenii,M. eugenii,Wallaby,Wallaby,macEug2,TWGS Meug_1.1/macEug2
Ornithorhynchus,anatinus,Ornithorhynchus anatinus,O. anatinus,Platypus,Platypus,ornAna1,WUGSC 5.0.1/ornAna1
