"label","genus","species","s.name","common.name","common.short","node","clade","node.type","branch.length"
"aptFor-nanAur",NA,NA,NA,NA,NA,61,"aptFor;fulGla;nipNip;pygAde","internal",0.00744618
"aptFor-fulGla",NA,NA,NA,NA,NA,62,"aptFor;fulGla;pygAde","internal",0.00341323
"aptFor-pygAde",NA,NA,NA,NA,NA,63,"aptFor;pygAde","internal",0.0217911
"balReg-chaVoc",NA,NA,NA,NA,NA,64,"balReg;chaVoc","internal",0.00489432
"calAnn-cucCan",NA,NA,NA,NA,NA,65,"calAnn;chaPel;cucCan","internal",0.00795828
"calAnn-chaPel",NA,NA,NA,NA,NA,66,"calAnn;chaPel","internal",0.0305222
"colLiv-mesUni",NA,NA,NA,NA,NA,67,"colLiv;mesUni","internal",0.0128079
"galGal-anaPla",NA,NA,NA,NA,NA,68,"anaPla;galGal;melGal","internal",0.0363849
"galGal-melGal",NA,NA,NA,NA,NA,69,"galGal;melGal","internal",0.0921402
"aptHaa-strCam",NA,NA,NA,NA,NA,70,"anoDid;aptHaa;aptOwe;aptRow;casCas;cryCin;droNov;eudEle;notPer;rheAme;rhePen;strCam;tinGut","internal",0.0406969
"aptHaa-cryCin",NA,NA,NA,NA,NA,71,"anoDid;aptHaa;aptOwe;aptRow;casCas;cryCin;droNov;eudEle;notPer;rheAme;rhePen;tinGut","internal",0.0118742
"aptHaa-rheAme",NA,NA,NA,NA,NA,72,"aptHaa;aptOwe;aptRow;casCas;droNov;rheAme;rhePen","internal",0.00185668
"aptHaa-casCas",NA,NA,NA,NA,NA,73,"aptHaa;aptOwe;aptRow;casCas;droNov","internal",0.0028599
"aptHaa-aptRow",NA,NA,NA,NA,NA,74,"aptHaa;aptOwe;aptRow","internal",0.0277496
"aptHaa-aptOwe",NA,NA,NA,NA,NA,75,"aptHaa;aptOwe","internal",0.00305054
"casCas-droNov",NA,NA,NA,NA,NA,76,"casCas;droNov","internal",0.0273773
"rheAme-rhePen",NA,NA,NA,NA,NA,77,"rheAme;rhePen","internal",0.0566382
"cryCin-anoDid",NA,NA,NA,NA,NA,78,"anoDid;cryCin;eudEle;notPer;tinGut","internal",0.0253604
"cryCin-eudEle",NA,NA,NA,NA,NA,79,"cryCin;eudEle;notPer;tinGut","internal",0.0672093
"cryCin-tinGut",NA,NA,NA,NA,NA,80,"cryCin;tinGut","internal",0.0172068
"eudEle-notPer",NA,NA,NA,NA,NA,81,"eudEle;notPer","internal",0.0079941
"allMis-croPor",NA,NA,NA,NA,NA,82,"allMis;allSin;croPor;gavGan","internal",0.147416
"allMis-allSin",NA,NA,NA,NA,NA,83,"allMis;allSin","internal",0.0142516
"croPor-gavGan",NA,NA,NA,NA,NA,84,"croPor;gavGan","internal",0.0116889
"chrPic-cheMyd",NA,NA,NA,NA,NA,85,"cheMyd;chrPic","internal",0.0843051
