"label","genus","species","species.name","s.name","common.name","common.short","genome","node","clade","node.type","branch.length"
"ailMel1","Ailuropoda","melanoleuca","Ailuropoda melanoleuca","A. melanoleuca","Panda","Panda","BGI-Shenzhen 1.0/ailMel1",41,"ailMel1","tip",0.0607956
"odoRosDiv1","Odobenus","rosmarus divergens","Odobenus rosmarus divergens","O. rosmarus divergens","Pacific walrus","Walrus","Oros_1.0/odoRosDiv1",42,"odoRosDiv1","tip",0.0259317
"lepWed1","Leptonychotes","weddellii","Leptonychotes weddellii","L. weddellii","Weddell seal","Seal","LepWed1.0/lepWed1",43,"lepWed1","tip",0.0233111
"pteAle1","Pteropus","alecto","Pteropus alecto","P. alecto","Black flying-fox","Flying-fox","ASM32557v1/pteAle1",44,"pteAle1","tip",0.00745471
"pteVam1","Pteropus","vampyrus","Pteropus vampyrus","P. vampyrus","Megabat","Megabat","Broad/pteVam1",45,"pteVam1","tip",0.00849452
"eptFus1","Eptesicus","fuscus","Eptesicus fuscus","E. fuscus","Big brown bat","Big brown bat","EptFus1.0/eptFus1",46,"eptFus1","tip",0.0398389
"myoDav1","Myotis","davidii","Myotis davidii","M. davidii","Davids myotis bat","Myotis bat","ASM32734v1/myoDav1",47,"myoDav1","tip",0.0277149
"myoLuc2","Myotis","lucifugus","Myotis lucifugus","M. lucifugus","Microbat","Microbat","Broad Institute Myoluc2.0/myoLuc2",48,"myoLuc2","tip",0.0160484
"eriEur2","Erinaceus","europaeus","Erinaceus europaeus","E. europaeus","Hedgehog","Hedgehog","EriEur2.0/eriEur2",49,"eriEur2","tip",0.245692
"sorAra2","Sorex","araneus","Sorex araneus","S. araneus","Shrew","Shrew","Broad/sorAra2",50,"sorAra2","tip",0.288669
"conCri1","Condylura","cristata","Condylura cristata","C. cristata","Star-nosed mole","Star-nosed mole","ConCri1.0/conCri1",51,"conCri1","tip",0.163421
"loxAfr3","Loxodonta","africana","Loxodonta africana","L. africana","Elephant","Elephant","Broad/loxAfr3",52,"loxAfr3","tip",0.0902075
"eleEdw1","Elephantulus","edwardii","Elephantulus edwardii","E. edwardii","Cape elephant shrew","Cape elephant shrew","EleEdw1.0/eleEdw1",53,"eleEdw1","tip",0.225293
"triMan1","Trichechus","manatus latirostris","Trichechus manatus latirostris","T. manatus latirostris","Manatee","Manatee","Broad v1.0/triMan1",54,"triMan1","tip",0.0759834
"chrAsi1","Chrysochloris","asiatica","Chrysochloris asiatica","C. asiatica","Cape golden mole","Cape golden mole","ChrAsi1.0/chrAsi1",55,"chrAsi1","tip",0.145989
"echTel2","Echinops","telfairi","Echinops telfairi","E. telfairi","Tenrec","Tenrec","Broad/echTel2",56,"echTel2","tip",0.232419
"oryAfe1","Orycteropus","afer","Orycteropus afer afer","O. afer","Aardvark","Aardvark","OryAfe1.0/oryAfe1",57,"oryAfe1","tip",0.117489
"dasNov3","Dasypus","novemcinctus","Dasypus novemcinctus","D. novemcinctus","Armadillo","Armadillo","Baylor/dasNov3",58,"dasNov3","tip",0.160081
"monDom5","Monodelphis","domestica","Monodelphis domestica","M. domestica","Opossum","Opossum","Broad/monDom5",59,"monDom5","tip",0.135945
"sarHar1","Sarcophilus","harrisii","Sarcophilus harrisii","S. harrisii","Tasmanian devil","Tasmanian devil","WTSI Devil_ref v7.0/sarHar1",60,"sarHar1","tip",0.12595
"macEug2","Macropus","eugenii","Macropus eugenii","M. eugenii","Wallaby","Wallaby","TWGS Meug_1.1/macEug2",61,"macEug2","tip",0.17055
