No.	ID	n_rate	c_rate	aptHaa_3	aptOwe_3	aptRow_3	casCas_3	droNov_3	rheAme_3	rhePen_3	anoDid_3	strCam_3	aptHaa.aptOwe_3	casCas.droNov_3	rheAme.rhePen_3	aptHaa.aptRow_3	aptHaa.casCas_3	aptHaa.rheAme_3
4	1498	2.83458	0.266661	0.5538	0.5476	0.4385	0.71095	0.94285	0.52735	0.2601	0.99985	1	0.3898	0.63525	0.07955	0.31335	0.24985	0.06375
4	2637	1.93979	0.121067	0.08305	0.0748	0.0218	0.00485	0.02175	0.15495	0.13365	1	0	0.0043	0	0	0	0	0
4	3648	1.99352	0.150048	1	1	1	0.11925	0.00325	0.04395	0.0359	0.002	0.00095	1	0.00025	0.00245	1	0.00025	1e-04
4	3721	1.94694	0.0823195	0.0424	0.03515	0.2153	0.00585	5e-04	0.0095	0.00615	0.00045	5e-05	0.0029	0	0	0.00015	0	0
5	1101	2.78764	0.329287	0.25525	0.2505	0.33165	0.07035	0.36345	0.9666	0.9669	0.0029	0.01545	0.1066	0.0179	0.96385	0.02425	0.01155	0.00965
5	1247	4.63835	0.176934	0.32515	0.3135	0.1785	1	1	0.1257	0.1165	0.2122	0.00505	0.22	1	0.05715	0.05785	0.05435	0.03495
5	2323	1.21826	0.0797957	0.0854	0.07545	0.02705	0.0014	0.00605	0.02325	0.0899	1	0.00015	0.0063	0	0	0	0	0
5	2797	3.4611	0.140844	0.0173	0.0129	1	0	5e-05	0.00035	1e-04	0	0	1e-04	0	0	0	0	0
5	3229	4.38407	0.190231	1	1	1	0.071	0.08665	0.0455	0.03795	0	0	1	0.00095	1e-04	1	0.00085	1e-04
5	3741	3.71698	0.194997	0.08515	0.0766	0.0228	0.0304	0.0027	1	1	0	0	0.0042	0	1	0	0	0
5	3874	2.52403	0.128779	0.09485	0.08375	0.03025	0.0019	0.001	1	1	0	0	0.00605	0	1	0	0	0
5	4190	1.32113	0.0973524	0.1787	0.1685	0.0513	0.00345	0.0655	1	1	0	2e-04	0.08575	0	1	0.00655	0	0
5	4719	2.18387	0.294286	0.99985	0.99995	0.99915	0.13245	0.11175	0.0862	0.072	0.072	0.00415	0.99985	0.0628	0.00655	0.9991	0.0564	0.0055
6	46	2.57138	0.126742	0.0896	0.0844	0.031	0.161	0.04185	0.02455	0.02085	0	1	0.0081	1e-04	0	0	0	0
6	1462	1.01673	0.0915617	1	1	1	0.5228	0.05915	0.0217	0.01375	0.00345	0	1	0.0179	0	1	0.0159	0
6	1913	3.84448	0.21022	0.40905	0.6276	0.15205	0.85035	0.9255	0.12165	0.11395	0.2272	0.0053	0.2916	0.8347	0.0011	0.02285	0.01665	0.00055
6	1914	1.69954	0.189102	0.49655	0.4978	0.42315	0.29705	0.51245	0.28255	0.27295	0.092	0.0369	0.4119	0.2021	0.18055	0.36075	0.1637	0.0996
6	2537	1.60392	0.265721	0.9305	0.9455	0.89305	0.919	0.9344	0.9419	0.9457	0.1174	0.0515	0.9116	0.90975	0.9264	0.86215	0.8159	0.6675
6	2907	1.44305	0.121539	0.0733	0.06355	0.01595	0.02095	3e-04	1	1	0	0	0.00335	0	1	0	0	0
6	3313	1.98727	0.116172	0.01925	0.01455	0.00755	0.00095	5e-04	0.0017	0.0033	0.0047	0	0.00075	0	0	0	0	0
6	3821	1.4834	0.212053	0.7714	0.78	0.6886	0.6832	0.61355	0.7578	0.6294	0.8076	0.9892	0.70425	0.4262	0.3859	0.6063	0.38595	0.28225
6	4778	3.14998	0.270385	0.18425	0.18345	0.2672	0.0275	0.01975	1	1	0.00115	0.00055	0.0587	0.00025	1	0.00065	2e-04	0.00015
7	742	0.860645	0.0861697	0.98765	0.98725	1	0.5046	0.0377	0.05975	0.1531	0.68145	0	0.9869	0	0	0.9868	0	0
7	783	0.701898	0.101938	0.98035	0.98125	0.99905	0.94905	0.9991	0.9809	0.9999	0.07945	0.9577	0.9765	0.94195	0.97365	0.97485	0.9043	0.7368
7	801	0.642843	0.128098	0.9529	0.95275	0.95235	0.71285	0.91855	0.4034	0.6849	0.7149	0	0.95185	0.36015	3e-04	0.95135	0.28625	0.00015
7	989	0.635223	0.105119	0.99995	0.99995	0.9999	0.79735	0.78015	0.9971	0.99735	1	0	0.9998	0.55695	0.9969	0.9998	0.53235	0.42555
7	1055	0.693329	0.122528	0.9999	0.99985	0.99985	0.9756	0.97	1	1	0.90885	0.2393	0.99985	0.8776	1	0.9997	0.84165	0.6884
7	1087	0.710577	0.0978815	0.1766	0.1617	0.1897	0.9902	0.86855	0.29075	0.0848	0.99985	1e-04	0.01815	0.21605	0	0.0025	0.0011	0
7	1169	0.681987	0.146376	1	1	1	0.9389	0.9987	1	0.9999	0.9652	0.09115	1	0.933	0.99985	1	0.909	0.7707
7	1173	1.07652	0.187916	0.95725	0.9575	0.9517	0.88775	0.8528	0.9451	0.94155	0.59725	0.78855	0.95055	0.80595	0.93345	0.94355	0.7835	0.67605
7	1193	0.650697	0.0719581	0.7554	0.80805	0.6429	0.07865	0.9993	0.13945	0.10505	1	0	0.724	5e-05	0	0.6248	0	0
7	1201	1.42203	0.0777268	1	1	1	0.00175	9e-04	0.0088	0.0079	0.04565	0	1	0	0	1	0	0
7	1207	0.64963	0.0557015	0.9999	1	0.998	0.0122	0.05355	0.38125	0.0151	1	0	0.99985	0	0	0.99265	0	0
7	1247	0.646601	0.143679	0.99395	0.98955	0.9912	0.99885	0.9986	1	1	0.9997	0.05135	0.9841	0.99405	0.99985	0.9721	0.9141	0.72245
7	1400	0.637819	0.078784	1	1	1	0.97465	1	0.9959	0.99685	2e-04	0.0124	1	0.9069	0.9957	1	0.87595	0.71415
7	1425	0.65823	0.167315	0.99995	1	1	0.9963	0.99875	0.9981	0.99845	0.99995	0.0918	0.99995	0.9551	0.99595	0.9999	0.9216	0.7714
7	1503	1.53875	0.143514	0.1205	0.10875	0.0414	0.009	0.05525	0.1375	0.3348	1	0.00655	0.02975	0	0.1201	0	0	0
7	1531	4.76855	0.178809	0.23045	0.2234	0.2768	0.19925	0.02945	0.0993	0.08995	0.9797	0.02495	0.10965	0.0049	0.00035	0.05885	0.00335	2e-04
7	1534	0.847548	0.131296	0.26395	0.25565	0.13575	0.1731	0.2757	0.3542	0.3627	0.9992	1	0.081	0.03115	0.21415	0.02165	0.01455	0.0117
7	1549	0.669361	0.146054	0.99985	0.9999	0.99975	0.99975	0.99965	1	1	0.98925	0.98715	0.99975	0.9974	1	0.99945	0.97365	0.8628
7	1557	0.812786	0.121108	0.98995	0.9904	0.99285	0.25485	0.0802	0.99985	0.9997	0.9773	0.0156	0.9873	0.02985	0.99955	0.98165	0.0281	0.02245
7	1566	0.683686	0.158801	0.998	0.99865	0.99845	0.5149	0.9429	1	0.99995	0.0161	0.9841	0.9974	0.35855	0.99995	0.99645	0.3429	0.28395
7	1580	1.51357	0.234652	0.23265	0.2265	0.10575	0.01665	0.13735	1	1	0.00355	0	0.14795	0.0053	1	0.06825	0.0049	0.00425
7	1636	0.612916	0.14543	0.9994	0.99995	0.9988	0.99855	0.9999	1	1	0.995	0.35515	0.9991	0.99555	1	0.9896	0.91925	0.73165
7	1638	1.013	0.203243	0.9721	0.97165	0.97925	0.8822	0.72935	1	1	0.6747	0.8094	0.9683	0.67555	1	0.96245	0.6574	0.5774
7	1643	0.893117	0.16822	0.6007	0.5948	0.59485	0.99985	0.99985	1	1	0.9979	0.1274	0.40765	0.99975	0.99995	0.2988	0.29115	0.2554
7	1669	0.635785	0.139761	0.9899	0.9955	0.98535	0.59695	0.97555	1	1	0.9903	0.00625	0.98715	0.53945	1	0.98375	0.50315	0.40995
7	2036	1.64752	0.0913115	0.2695	0.26785	0.26325	0.2281	0.24085	0.1498	0.01595	0.01515	0	0.26445	0.22805	0.0086	0.26245	0.17125	0.0047
7	2113	4.98139	0.182075	0.09185	0.08585	0.03735	0.0042	0.0229	0.0286	0.0243	0.9995	0	0.0105	0.00025	5e-05	0	0	0
7	2383	0.89797	0.202646	0.5538	0.3996	0.3582	0.3944	0.66845	0.9999	1	0.99945	0.00475	0.2249	0.0138	0.99975	0.00365	7e-04	0.00055
7	2776	0.992355	0.210037	0.567	0.65045	0.4189	0.4327	0.74625	1	1	0.9988	0.13585	0.43535	0.1932	1	0.3245	0.17575	0.1461
7	4297	3.06334	0.288089	0.1892	0.1857	0.08575	0.1627	0.03115	0.18455	0.0604	0.98945	1	0.0378	0	0	5e-05	0	0
8	119	2.48812	0.0748866	0.33955	0.3329	0.2397	0.2396	0.38405	0.9916	0.9916	0.0254	0.02505	0.20895	0.1864	0.99075	0.1186	0.10745	0.08935
8	474	2.01305	0.161651	0.0989	0.1602	0.0261	0.0015	0.00065	0.02665	0.0192	0.1214	1	0.01905	0	0	0	0	0
8	769	3.00324	0.0547881	0.08525	0.07165	0.00935	1e-04	0.00025	0.99765	0.99875	0	0	0.01925	0	0	0	0	0
8	783	0.714561	0.13802	0.9937	0.99605	0.9928	0.96485	0.9994	0.99975	0.99925	0.99925	0.99935	0.9878	0.93985	0.9984	0.9761	0.9034	0.7776
8	2721	1.41935	0.218719	0.30525	0.2969	0.2941	0.2296	0.2192	0.46425	0.4979	0.4023	1	0.2336	0.2067	0.297	0.22575	0.19705	0.1657
8	3480	0.815448	0.10269	0.9996	0.99975	1	0.087	0.16575	0.0571	0.1469	1	0	0.9996	0.0011	0	0.9995	0.00095	0
