No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	optM
6	0	-926.42648	-835.16108	-838.30626	91.265404	3.1451834	1
6	1	-796.82171	-766.60364	-767.42543	30.218068	0.82179048	1
6	2	-689.85914	-634.096	-639.78407	55.763146	5.6880698	1
6	3	-436.54208	-415.20995	-418.76453	21.332135	3.5545816	1
6	4	-830.34897	-741.4274	-749.31418	88.921576	7.8867877	1
6	5	-907.48031	-842.12043	-842.02777	65.359873	-0.092658945	2
6	6	-517.26636	-500.31609	-504.00268	16.95027	3.6865887	1
6	7	-746.72662	-691.87367	-692.88161	54.85295	1.0079421	1
6	8	-603.79659	-574.15233	-575.15563	29.644256	1.0032906	1
6	9	-1066.5796	-957.4339	-958.10298	109.14574	0.66908404	1
6	10	-762.39422	-698.89408	-706.43927	63.500142	7.5451917	1
6	11	-731.73302	-655.63883	-662.60918	76.094192	6.9703565	1
6	12	-928.67753	-784.35265	-784.27903	144.32488	-0.073624892	2
6	13	-883.77378	-791.30326	-799.20215	92.470525	7.8988955	1
6	14	-751.27098	-703.45539	-705.6164	47.815582	2.1610065	1
6	15	-939.37026	-855.88775	-857.13689	83.482507	1.2491365	1
6	16	-538.01468	-509.73428	-515.75271	28.280399	6.0184318	1
6	17	-826.76963	-745.60052	-753.18533	81.169111	7.5848137	1
6	18	-787.40843	-741.85924	-744.60978	45.549194	2.7505423	1
6	19	-900.39568	-814.46348	-821.22879	85.932199	6.7653149	1
6	20	-786.5775	-702.78061	-702.51079	83.796895	-0.26981475	2
6	21	-887.43401	-789.36696	-794.96808	98.067048	5.6011198	1
6	22	-735.84711	-677.33263	-683.73412	58.514482	6.4014844	1
6	23	-616.30073	-566.06688	-571.55081	50.233843	5.4839286	1
6	24	-686.22516	-616.60797	-623.19329	69.617189	6.5853225	1
6	25	-647.82274	-613.70121	-619.10343	34.121535	5.4022246	1
6	26	-668.73833	-647.17188	-647.09782	21.566452	-0.074065476	2
6	27	-616.80722	-579.71562	-585.42322	37.0916	5.7075965	1
6	28	-868.86839	-814.55814	-815.25548	54.310245	0.6973358	1
6	29	-852.16266	-775.55273	-782.57649	76.609931	7.0237618	1
6	30	-761.20925	-729.56468	-726.87263	31.644574	-2.6920439	2
6	31	-716.02961	-685.54004	-686.42249	30.489567	0.88244815	1
6	32	-934.66163	-844.16569	-835.43938	90.495936	-8.7263157	2
6	33	-846.15537	-751.56775	-757.72004	94.587618	6.1522822	1
6	34	-751.97254	-706.07773	-710.56951	45.894806	4.491779	1
6	35	-828.39582	-724.18258	-730.01516	104.21323	5.8325752	1
6	36	-778.88159	-743.71056	-744.4336	35.171026	0.72304264	1
6	37	-708.95357	-663.44953	-669.91364	45.504037	6.4641102	1
6	38	-773.89319	-710.81964	-717.64865	63.073554	6.8290101	1
6	39	-573.1386	-543.71519	-548.28215	29.423408	4.5669549	1
6	40	-665.91401	-631.26615	-635.92058	34.647859	4.6544317	1
6	41	-1520.5185	-1349.9705	-1330.6801	170.54802	-19.29043	2
6	42	-743.16326	-698.95476	-704.03033	44.208498	5.0755635	1
6	43	-983.445	-865.06497	-867.47584	118.38003	2.410874	1
6	44	-692.85081	-669.56383	-669.6895	23.286981	0.12566922	1
6	45	-961.11268	-833.54212	-832.92707	127.57056	-0.61505079	2
6	46	-801.50828	-775.74075	-775.89241	25.767527	0.15165157	1
6	47	-882.66911	-800.42699	-802.75655	82.242122	2.3295654	1
6	48	-884.52522	-834.34276	-830.24246	50.182459	-4.1003012	2
6	49	-608.71789	-566.10476	-570.33589	42.613129	4.2311249	1
6	50	-514.50518	-495.86332	-499.90061	18.641854	4.0372882	1
6	51	-1020.5405	-866.20208	-873.17321	154.3384	6.9711297	1
6	52	-763.9236	-723.57068	-723.11916	40.352922	-0.45151422	2
6	53	-778.39325	-709.93673	-715.09034	68.456523	5.153618	1
6	54	-918.18201	-831.49829	-830.55185	86.683719	-0.94644586	2
6	55	-651.90991	-614.22683	-615.28257	37.683079	1.0557455	1
6	56	-995.16751	-915.51077	-922.45684	79.656739	6.9460697	1
6	57	-707.87943	-641.81227	-648.28451	66.067162	6.472235	1
6	58	-772.65867	-705.99609	-712.65858	66.662579	6.6624917	1
6	59	-713.46413	-694.92113	-695.67982	18.543	0.75869216	1
6	60	-604.17635	-567.26193	-571.81597	36.914421	4.5540456	1
6	61	-872.52098	-794.8228	-800.47661	77.698184	5.6538139	1
6	62	-774.43803	-741.61412	-741.50654	32.823904	-0.10758009	2
6	63	-888.21415	-810.12514	-816.57452	78.089009	6.449374	1
6	64	-1047.7345	-953.37711	-953.53211	94.357399	0.15499664	1
6	65	-810.23068	-729.91624	-736.51379	80.314441	6.5975459	1
6	66	-613.47945	-586.14097	-590.85984	27.338479	4.7188706	1
6	67	-723.32277	-653.13495	-653.76471	70.187818	0.62976327	1
6	68	-875.6144	-787.69581	-795.53746	87.918596	7.8416558	1
6	69	-760.01257	-722.84307	-721.78342	37.169494	-1.0596527	2
6	70	-672.70465	-617.59879	-619.23838	55.105851	1.6395872	1
6	71	-492.78804	-466.53327	-473.77925	26.254763	7.2459805	1
6	72	-738.48439	-695.90969	-700.24749	42.574707	4.3378072	1
6	73	-857.25712	-756.53169	-762.0975	100.72544	5.5658132	1
6	74	-870.43163	-756.7429	-763.50904	113.68873	6.7661419	1
6	75	-789.0028	-719.59788	-719.81114	69.404928	0.21326026	1
6	76	-807.858	-772.03506	-778.26039	35.822946	6.2253308	1
6	77	-568.1942	-554.65146	-558.48181	13.542738	3.8303496	1
6	78	-764.88043	-700.72078	-706.20687	64.159653	5.4860913	1
6	79	-870.47243	-815.19579	-816.02759	55.276639	0.83180511	1
6	80	-609.09888	-593.37639	-595.38694	15.72249	2.0105528	1
6	81	-929.28033	-872.46833	-862.39538	56.812004	-10.072951	2
6	82	-875.0418	-776.75132	-775.64567	98.290473	-1.1056559	2
6	83	-787.1905	-727.67407	-735.07094	59.516427	7.3968692	1
6	84	-814.50155	-766.032	-766.66433	48.469547	0.63232981	1
6	85	-865.77168	-739.42483	-745.75063	126.34685	6.3257964	1
6	86	-868.23963	-837.14594	-835.8615	31.093695	-1.2844409	2
6	87	-898.45938	-808.17393	-813.27704	90.285456	5.1031099	1
6	88	-852.71461	-760.13184	-766.56144	92.582764	6.429598	1
6	89	-667.56781	-641.46067	-641.42977	26.107143	-0.030893043	2
6	90	-493.32788	-469.15309	-476.10059	24.174788	6.9474997	1
6	91	-997.99038	-879.68973	-883.83147	118.30065	4.1417373	1
6	92	-707.45983	-681.70567	-679.2848	25.754157	-2.4208652	2
6	93	-735.31988	-664.62658	-669.47017	70.693303	4.8435872	1
6	94	-808.44531	-753.61738	-753.72762	54.827928	0.11023879	1
6	95	-896.71032	-848.88989	-851.16212	47.820432	2.2722323	1
6	96	-651.94187	-590.02632	-596.78188	61.915554	6.7555667	1
6	97	-900.5042	-844.66863	-845.64826	55.835568	0.97962796	1
6	98	-580.66691	-549.42215	-553.58821	31.244765	4.1660558	1
6	99	-869.00791	-796.80496	-797.14721	72.202955	0.34225159	1
