No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	optM
5	0	-636.54523	-618.093	-623.61802	18.45223	5.5250215	1
5	1	-478.61785	-467.06626	-470.95081	11.551592	3.8845475	1
5	2	-564.58752	-542.88268	-548.74167	21.704838	5.858987	1
5	3	-516.54745	-493.63218	-495.95084	22.915274	2.3186571	1
5	4	-441.51263	-416.72255	-422.94581	24.790082	6.2232643	1
5	5	-526.65313	-511.42812	-516.28712	15.225012	4.859001	1
5	6	-496.96326	-479.24117	-481.93014	17.722097	2.6889776	1
5	7	-693.53917	-665.94442	-663.26407	27.59475	-2.6803478	2
5	8	-866.56711	-853.67267	-857.20598	12.894447	3.5333163	1
5	9	-487.34357	-466.13897	-470.80885	21.204605	4.6698795	1
5	10	-497.57719	-489.10938	-492.2135	8.4678162	3.104123	1
5	11	-494.32193	-481.96446	-484.3667	12.35747	2.4022402	1
5	12	-686.55901	-659.5094	-665.39886	27.04962	5.8894646	1
5	13	-518.8553	-501.64554	-508.12557	17.209759	6.480032	1
5	14	-695.4583	-681.89918	-685.32579	13.559116	3.4266096	1
5	15	-714.3895	-711.21494	-711.33301	3.1745622	0.11806734	1
5	16	-487.6744	-470.5426	-474.7467	17.131807	4.2040997	1
5	17	-434.6117	-416.20154	-421.56201	18.410162	5.3604692	1
5	18	-522.30697	-516.51506	-521.42693	5.7919061	4.9118728	1
5	19	-611.08452	-583.08189	-590.10597	28.002627	7.0240735	1
5	20	-542.62817	-507.76813	-511.99472	34.860038	4.2265887	1
5	21	-501.84546	-490.31525	-492.24142	11.53021	1.9261633	1
5	22	-668.4423	-650.98746	-655.2273	17.454847	4.2398441	1
5	23	-685.13939	-671.32498	-667.8238	13.814403	-3.5011805	2
5	24	-631.16641	-619.42038	-621.59958	11.746027	2.1791974	1
5	25	-374.84655	-361.86828	-367.73441	12.978278	5.8661307	1
5	26	-538.09554	-515.71417	-520.51674	22.381368	4.802575	1
5	27	-482.39607	-464.12974	-470.90114	18.266333	6.7714075	1
5	28	-590.16814	-568.71396	-573.61926	21.454176	4.9052915	1
5	29	-664.88038	-640.35854	-641.35561	24.521841	0.99706878	1
5	30	-702.55958	-690.82211	-692.67214	11.737471	1.850036	1
5	31	-554.4749	-531.78921	-539.46796	22.685691	7.6787516	1
5	32	-682.11708	-661.73374	-665.92525	20.383344	4.1915095	1
5	33	-603.07632	-577.08494	-580.23289	25.991382	3.1479502	1
5	34	-614.58416	-597.45932	-599.15812	17.124843	1.6987996	1
