No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa	genetree
10	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	(((nipNip:0.0894676,halLeu:0.0914368):0.00833631,galGal:0.170536):0.0490167,((((((droNov:0.0141606,casCas:0.0119735):0.0276252,(aptRow:0.0199462,(aptHaa:0.00151164,aptOwe:0.00175849):0.0187674):0.0125836):0.0166203,(rheAme:0.0179266,rhePen:0.0185665):0.0578431):0.00137199,anoDid:0.0885835):0.000608206,strCam:0.054073):0.00520823,((eudEle:0.0706019,notPer:0.0781597):0.00589009,(tinGut:0.0422528,cryCin:0.0504898):0.0168063):0.10934):0.0456169);
11	1	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((galGal:0.174205,(nipNip:0.0824224,halLeu:0.0843915):0.0190506):0.0561796,(((casCas:0.0120121,droNov:0.0141992):0.0439734,(strCam:0.0516401,(anoDid:0.0866311,(aptRow:0.0154024,(aptHaa:0.00784611,aptOwe:0.00809296):0.00788915):0.0331672):0.000127836):0.000219177):0.000865643,(((eudEle:0.0682841,notPer:0.0758419):0.00843996,(tinGut:0.0415402,cryCin:0.0497772):0.0177509):0.0933227,(rheAme:0.0355536,rhePen:0.0361935):0.0316189):0.00922942):0.0630051);
12	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	(((halLeu:0.059289,nipNip:0.0573198):0.0401603,galGal:0.170212):0.0382674,((strCam:0.05288,(((((eudEle:0.0672948,notPer:0.0748526):0.0159434,(tinGut:0.0474193,cryCin:0.0556563):0.018386):0.0646127,anoDid:0.0564185):0.0196892,(casCas:0.0173846,droNov:0.0195717):0.0277305):0.00720183,(rheAme:0.00607957,rhePen:0.00671943):0.0657881):0.00468926):6.46567e-05,((aptHaa:0.00149575,aptOwe:0.0017426):0.0176685,aptRow:0.0188314):0.0311705):0.0408803);
13	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	(((nipNip:0.0730143,halLeu:0.0749834):0.0206869,galGal:0.166433):0.0453524,(anoDid:0.0889668,((((((rheAme:0.00771023,rhePen:0.00835009):0.0544169,droNov:0.0447635):0.00392789,(aptRow:0.0142751,(aptHaa:0.00261147,aptOwe:0.00285832):0.0119964):0.0251603):0.00921417,casCas:0.0557184):0.000289512,((eudEle:0.0790758,tinGut:0.0616429):0.0516002,(cryCin:0.0664073,notPer:0.083161):0.0550729):0.0477569):0.000622143,strCam:0.0525039):0.00134408):0.0432831);
14	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0	(((((aptRow:0.00416795,(aptHaa:0.00211742,aptOwe:0.00236427):0.00238338):0.0443188,(rheAme:0.0132492,rhePen:0.013889):0.0618572):0.00150592,strCam:0.0529353):0.00414991,((anoDid:0.0525686,((eudEle:0.0764512,notPer:0.084009):0.00927987,(tinGut:0.0448559,cryCin:0.0530929):0.0234423):0.0582699):0.0342291,(droNov:0.0153668,casCas:0.0131797):0.0426254):0.00540631):0.0452702,((nipNip:0.0741692,halLeu:0.0761384):0.0272119,galGal:0.174113):0.0428969);
15	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((((((aptRow:0.0263093,(aptHaa:0.00269755,aptOwe:0.0029444):0.0239446):0.0223693,strCam:0.0516213):0.000271014,((((cryCin:0.0497696,tinGut:0.0415326):0.0182115,notPer:0.0847348):0.0647519,anoDid:0.0504965):0.0131385,eudEle:0.155067):0.0233761):0.00340773,((rheAme:0.0189109,rhePen:0.0195507):0.0574477,(casCas:0.0141105,droNov:0.0162976):0.0426973):0.00261839):0.0389213,galGal:0.208876):0.0162325,(halLeu:0.0578732,nipNip:0.055904):0.0964723);
16	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	(((nipNip:0.0770285,halLeu:0.0789976):0.0217615,galGal:0.171522):0.0465869,((((casCas:0.0131985,droNov:0.0153856):0.0313705,(aptRow:0.00837058,(aptHaa:0.00199565,aptOwe:0.0022425):0.00670778):0.0291295):0.011731,(strCam:0.0520998,(anoDid:0.0541174,((eudEle:0.0680253,notPer:0.0755831):0.0733709,(cryCin:0.0539799,tinGut:0.0457429):0.0782204):0.00415359):0.0331012):7.40002e-05):0.00117707,(rheAme:0.0171378,rhePen:0.0177777):0.05989):0.0501035);
17	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	(((strCam:0.0519413,(((rheAme:0.00888747,rhePen:0.00952733):0.0541626,(aptRow:0.0255772,(aptHaa:0.00159879,aptOwe:0.00184564):0.0243113):0.0108532):0.0120357,(droNov:0.0152388,casCas:0.0130517):0.0424834):0.000532421):0.000753549,(((eudEle:0.0894241,notPer:0.0969819):0.00911894,(cryCin:0.0502044,tinGut:0.0419674):0.0391427):0.0520433,anoDid:0.0591539):0.0286597):0.0511403,(galGal:0.178379,(halLeu:0.0708935,nipNip:0.0689243):0.0367228):0.0401105);
18	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	((galGal:0.18122,(halLeu:0.0711368,nipNip:0.0691676):0.0393202):0.0387306,(strCam:0.0525269,(((aptRow:0.0204182,(aptHaa:0.0196954,aptOwe:0.0199423):0.00105567):0.028754,(anoDid:0.053656,(eudEle:0.0778917,((tinGut:0.041516,cryCin:0.049753):0.0165557,notPer:0.0830624):0.00238718):0.0671966):0.0335777):0.000291568,((rheAme:0.0194132,rhePen:0.0200531):0.0426017,(casCas:0.0151064,droNov:0.0172935):0.0273578):0.0140685):0.000120462):0.052769);
19	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	((galGal:0.18161,(halLeu:0.0566036,nipNip:0.0546344):0.0542435):0.0261661,((((eudEle:0.145451,(cryCin:0.057903,tinGut:0.049666):0.0783521):0.00238019,anoDid:0.0563988):0.0223983,((aptRow:0.0265079,(aptOwe:0.0126689,aptHaa:0.0124221):0.0144186):0.00904484,(rheAme:0.00569035,rhePen:0.00633021):0.056482):0.00518298):0.0141851,((droNov:0.0169884,casCas:0.0148013):0.0414354,(strCam:0.0515543,notPer:0.185663):0.000556223):0.00575295):0.035258);
