No.	prop	genetree
52	0.00946667	(galGal:0.229494,((halLeu:0.06226,nipNip:0.0602909):0.0780601,(((aptHaa:0.011869,(aptOwe:0.00885347,aptRow:0.00827377):0.00326236):0.0404059,((casCas:0.0173156,droNov:0.0195027):0.0305094,(rheAme:0.0129752,rhePen:0.0136151):0.0544005):0.0111858):0.00654455,(strCam:0.0532488,(anoDid:0.0542267,(eudEle:0.129078,(notPer:0.0891323,(cryCin:0.0560191,tinGut:0.0477821):0.0163594):0.0475036):0.0165811):0.0341409):0.00818043):0.0349992):0.018411);
52	0.00853333	(galGal:0.234327,((halLeu:0.0614622,nipNip:0.0594931):0.0788104,(strCam:0.0602374,(((aptOwe:0.0082688,(aptHaa:0.00599568,aptRow:0.00566283):0.00202628):0.036089,(rheAme:0.00879706,rhePen:0.00943692):0.0616007):0.00680773,((casCas:0.0173675,droNov:0.0195546):0.0343408,(eudEle:0.155786,(anoDid:0.0566924,(notPer:0.0912703,(cryCin:0.0524042,tinGut:0.0441672):0.0221124):0.0644123):0.00766152):0.018347):0.00594635):0.00670888):0.0361435):0.0232919);
52	0.00826667	(galGal:0.27366,((halLeu:0.0648981,nipNip:0.062929):0.0809477,((strCam:0.0530628,(((aptOwe:0.00786713,(aptHaa:0.00563213,aptRow:0.00529928):0.00198815):0.0311529,(casCas:0.018036,droNov:0.0202231):0.0274732):0.0092192,(anoDid:0.0634292,(eudEle:0.143397,(notPer:0.0876891,(cryCin:0.052518,tinGut:0.044281):0.0184173):0.0632654):0.011465):0.0222918):0.00246055):0.00484197,(rheAme:0.010267,rhePen:0.0109069):0.0713147):0.0440493):0.0570517);
52	0.00813333	((galGal:0.201542,(halLeu:0.0622573,nipNip:0.0602882):0.0685217):0.0260495,(strCam:0.060662,(((aptRow:0.00630519,(aptHaa:0.00543922,aptOwe:0.00568607):0.00119882):0.0377486,(casCas:0.0213923,droNov:0.0235794):0.0297304):0.00732202,((rheAme:0.00745283,rhePen:0.00809269):0.0645676,(anoDid:0.0593793,(eudEle:0.134508,(notPer:0.0885954,(cryCin:0.0557059,tinGut:0.0474689):0.0161359):0.0534708):0.0163033):0.024083):0.00597504):0.0063435):0.0522748);
52	0.00773333	((galGal:0.198797,(halLeu:0.0678698,nipNip:0.0659007):0.0601644):0.0323917,(((aptOwe:0.00900941,(aptHaa:0.00699907,aptRow:0.00666622):0.00176349):0.0426765,((rheAme:0.00806417,rhePen:0.00870403):0.0669527,((notPer:0.0870894,(cryCin:0.053874,tinGut:0.045637):0.0164618):0.0757245,(eudEle:0.144065,anoDid:0.0526321):0.0111916):0.0226349):0.00270901):0.00481088,(strCam:0.0535744,(casCas:0.0211012,droNov:0.0232883):0.0365994):0.00528535):0.0576745);
64	0.0156	((galGal:0.181428,(halLeu:0.0661718,nipNip:0.0642027):0.044493):0.0372444,(strCam:0.0594862,(((aptRow:0.0157361,(aptHaa:0.00258894,aptOwe:0.00283579):0.0134801):0.0247777,(casCas:0.0170995,droNov:0.0192866):0.0304832):0.00900927,((rheAme:0.0266563,rhePen:0.0272961):0.0443601,(anoDid:0.0627658,(notPer:0.107476,(eudEle:0.0836114,(cryCin:0.0546147,tinGut:0.0463777):0.0198008):0.0163068):0.05428):0.0196925):0.00512637):0.00702039):0.0445314);
64	0.014	((galGal:0.185957,(halLeu:0.0707168,nipNip:0.0687476):0.0444772):0.0306454,((strCam:0.0531967,((aptRow:0.012872,(aptHaa:0.00269895,aptOwe:0.0029458):0.0105059):0.0330399,(rheAme:0.0279394,rhePen:0.0285792):0.0445921):0.00434219):0.00820762,((casCas:0.0179015,droNov:0.0200886):0.0343389,(anoDid:0.0613241,(notPer:0.108553,(eudEle:0.0811724,(cryCin:0.0559047,tinGut:0.0476677):0.0160719):0.0198233):0.0517608):0.0219089):0.0132901):0.0405433);
64	0.0133333	((galGal:0.188023,(halLeu:0.0724373,nipNip:0.0704681):0.0448228):0.0264475,(((aptRow:0.0114837,(aptHaa:0.00312173,aptOwe:0.00336858):0.00869481):0.0366621,(anoDid:0.0621737,((cryCin:0.0532032,tinGut:0.0449662):0.0264763,(eudEle:0.0780257,notPer:0.0855835):0.0108498):0.0647307):0.0240335):0.00676849,(strCam:0.0535183,((casCas:0.0225152,droNov:0.0247023):0.0247516,(rheAme:0.0283577,rhePen:0.0289975):0.03846):0.0103776):0.00433865):0.0419589);
64	0.0126667	((galGal:0.182841,(halLeu:0.0637041,nipNip:0.061735):0.0483743):0.0355093,(strCam:0.0574539,(((aptRow:0.0118239,(aptHaa:0.00410956,aptOwe:0.00435641):0.00804723):0.0301408,(anoDid:0.0560617,((cryCin:0.0549902,tinGut:0.0467532):0.0137878,(eudEle:0.0708363,notPer:0.0783941):0.00713763):0.0695202):0.0239646):0.00625149,((casCas:0.0234127,droNov:0.0255998):0.0224854,(rheAme:0.0275654,rhePen:0.0282053):0.0378834):0.00938704):0.00629497):0.0462422);
64	0.0117333	((galGal:0.181892,(halLeu:0.068394,nipNip:0.0664248):0.0427353):0.0356211,((strCam:0.0529716,((aptRow:0.013773,(aptHaa:0.0025028,aptOwe:0.00274965):0.011603):0.0287374,(casCas:0.0266584,droNov:0.0288455):0.0229209):0.00751855):0.00336781,((rheAme:0.0315884,rhePen:0.0322282):0.0427387,(anoDid:0.0575011,((cryCin:0.0562773,tinGut:0.0480403):0.0207543,(eudEle:0.075177,notPer:0.0827348):0.0110505):0.062706):0.0282678):0.00568928):0.0465193);
55	0.022	((galGal:0.186427,(halLeu:0.0660734,nipNip:0.0641043):0.0495904):0.037771,(((aptHaa:0.0192931,(aptOwe:0.00743736,aptRow:0.00685766):0.0121026):0.0298611,(anoDid:0.0777888,(casCas:0.019197,droNov:0.0213841):0.0275992):0.009094):0.00588663,(strCam:0.0532805,((rheAme:0.0429326,rhePen:0.0435725):0.0263006,(tinGut:0.106158,(cryCin:0.0818798,(eudEle:0.0734604,notPer:0.0810182):0.0176153):0.0325157):0.0485161):0.00772426):0.00437013):0.0518924);
55	0.0188	((galGal:0.193386,(halLeu:0.0691922,nipNip:0.0672231):0.0534305):0.024747,(strCam:0.0607857,((aptHaa:0.0192122,(aptOwe:0.00753048,aptRow:0.00695078):0.0119285):0.0331818,((anoDid:0.0775956,(casCas:0.0206336,droNov:0.0228207):0.0259694):0.00901289,((rheAme:0.0387925,rhePen:0.0394324):0.0287188,(tinGut:0.109641,(cryCin:0.0813588,(eudEle:0.0733456,notPer:0.0809034):0.0172091):0.0365187):0.0433122):0.00765527):0.0035142):0.00578186):0.0426924);
55	0.0172	((galGal:0.183225,(halLeu:0.060553,nipNip:0.0585839):0.0519095):0.0452098,(((aptHaa:0.0186521,(aptOwe:0.00924604,aptRow:0.00866634):0.00965289):0.0330504,(strCam:0.0522591,((rheAme:0.0379466,rhePen:0.0385864):0.0340387,(tinGut:0.099712,(eudEle:0.0877039,(cryCin:0.0709373,notPer:0.087691):0.00757064):0.0294411):0.0577145):0.00395088):0.00205319):0.00262134,(anoDid:0.0805566,(casCas:0.018685,droNov:0.0208721):0.030879):0.0114958):0.0568469);
55	0.0172	((galGal:0.192016,(halLeu:0.0668225,nipNip:0.0648534):0.0544307):0.0296666,(((aptHaa:0.0181764,(aptOwe:0.00682749,aptRow:0.00624779):0.0115958):0.0341447,(strCam:0.0527239,((rheAme:0.0399003,rhePen:0.0405402):0.0281994,(tinGut:0.107708,(cryCin:0.0751533,(eudEle:0.0728967,notPer:0.0804545):0.0114525):0.0407916):0.0458332):0.00830111):0.00220708):0.0034594,(anoDid:0.0846972,(casCas:0.0224531,droNov:0.0246402):0.0312515):0.008812):0.0486378);
55	0.0149333	((galGal:0.190835,(halLeu:0.0632709,nipNip:0.0613017):0.0568018):0.0292419,(strCam:0.0609782,(((aptHaa:0.0197343,(aptOwe:0.00665865,aptRow:0.00607895):0.0133225):0.0287898,((rheAme:0.0336203,rhePen:0.0342601):0.0327061,(tinGut:0.116439,(cryCin:0.0800675,(eudEle:0.072143,notPer:0.0797008):0.0171204):0.0446085):0.0353287):0.00848465):0.00317658,(anoDid:0.0791164,(casCas:0.0175226,droNov:0.0197097):0.0306012):0.010313):0.00666759):0.0444447);
40	0.0792	((galGal:0.191813,(halLeu:0.0601218,nipNip:0.0581526):0.060928):0.0241473,((((aptRow:0.00930693,(aptHaa:0.00340207,aptOwe:0.00364892):0.00623771):0.0349007,(rheAme:0.016198,rhePen:0.0168378):0.0546293):0.0105288,(strCam:0.0524258,(casCas:0.0173731,droNov:0.0195602):0.0391789):0.00525331):0.012194,(anoDid:0.0651035,(notPer:0.147716,(eudEle:0.0885232,(cryCin:0.0526053,tinGut:0.0443683):0.026722):0.0516352):0.0163775):0.0398885):0.0314323);
40	0.0737333	((galGal:0.192302,(halLeu:0.0647944,nipNip:0.0628253):0.056745):0.025461,(((aptRow:0.0115318,(aptHaa:0.003396,aptOwe:0.00364285):0.00846867):0.041852,(strCam:0.0526672,((casCas:0.0163279,droNov:0.018515):0.0339887,(rheAme:0.0169895,rhePen:0.0176294):0.0528778):0.00647684):0.00365922):0.0120889,(anoDid:0.0625252,(notPer:0.141415,(eudEle:0.0855145,(cryCin:0.0550216,tinGut:0.0467846):0.021297):0.0483429):0.0201002):0.0410089):0.0346934);
40	0.0449333	((galGal:0.190521,(halLeu:0.0631037,nipNip:0.0611346):0.0566542):0.0266324,(((aptRow:0.00901468,(aptHaa:0.00317208,aptOwe:0.00341893):0.00617545):0.0452408,((strCam:0.0519265,(casCas:0.0171636,droNov:0.0193507):0.038889):0.00168868,(rheAme:0.0166012,rhePen:0.0172411):0.0606909):0.00358305):0.0158038,(anoDid:0.0650011,(notPer:0.13985,(eudEle:0.084175,(cryCin:0.0547158,tinGut:0.0464788):0.0202632):0.0481177):0.0241408):0.0431197):0.0294967);
40	0.0433333	((galGal:0.196236,(halLeu:0.0638846,nipNip:0.0619154):0.0615891):0.0252534,((((aptRow:0.00799396,(aptHaa:0.00335376,aptOwe:0.00360061):0.00497305):0.035693,(rheAme:0.0165047,rhePen:0.0171445):0.053802):0.00844937,(strCam:0.0521787,(casCas:0.0177022,droNov:0.0198893):0.0386027):0.00290034):0.0189407,(notPer:0.169336,(anoDid:0.0581084,(eudEle:0.0917952,(cryCin:0.0529962,tinGut:0.0447592):0.0296031):0.0577455):0.0122376):0.0387926):0.0328155);
40	0.038	((galGal:0.191019,(halLeu:0.0646828,nipNip:0.0627137):0.0555733):0.0277497,(((aptRow:0.00902563,(aptHaa:0.00344475,aptOwe:0.0036916):0.00591373):0.0434036,(strCam:0.0523637,((casCas:0.0159057,droNov:0.0180928):0.0346386,(rheAme:0.0205128,rhePen:0.0211526):0.0495823):0.00594558):0.00300825):0.0103525,(notPer:0.168195,(anoDid:0.0566358,(eudEle:0.0882021,(cryCin:0.0543377,tinGut:0.0461007):0.0246685):0.0598661):0.0125686):0.0316388):0.0383897);
0	0.012	((galGal:0.177257,(halLeu:0.0704684,nipNip:0.0684992):0.036026):0.0443905,((strCam:0.0531904,(((aptRow:0.00698487,(aptHaa:0.00473498,aptOwe:0.00498183):0.00258274):0.0317301,(casCas:0.0220623,droNov:0.0242494):0.0237215):0.00825377,(anoDid:0.0591145,((cryCin:0.0549942,tinGut:0.0467572):0.0331481,(eudEle:0.078013,notPer:0.0855708):0.0193252):0.0532087):0.0259157):0.00327899):0.005608,(rheAme:0.0187367,rhePen:0.0193765):0.0637387):0.0481948);
0	0.0102667	((galGal:0.175158,(halLeu:0.0718245,nipNip:0.0698554):0.0325705):0.0533696,((strCam:0.0542434,(((aptRow:0.00699441,(aptHaa:0.00583395,aptOwe:0.0060808):0.00149331):0.0300194,(casCas:0.0246829,droNov:0.02687):0.0193998):0.00807172,(rheAme:0.010826,rhePen:0.0114659):0.0608792):0.00621517):0.00607657,(anoDid:0.0676049,((cryCin:0.0577093,tinGut:0.0494723):0.0374602,(eudEle:0.0775563,notPer:0.0851141):0.0268091):0.0546719):0.0278339):0.053553);
0	0.01	((galGal:0.182465,(halLeu:0.0731314,nipNip:0.0711623):0.0385705):0.0350256,((((aptHaa:0.0115384,(aptOwe:0.00906056,aptRow:0.00848086):0.00272466):0.0385589,(droNov:0.0502839,(anoDid:0.0589299,((cryCin:0.0577345,tinGut:0.0494975):0.0290315,(eudEle:0.0718474,notPer:0.0794052):0.0241145):0.0544004):0.0201595):0.00873647):0.00426699,(casCas:0.0565006,strCam:0.0523744):0.0045997):0.00491853,(rheAme:0.0091908,rhePen:0.00983066):0.0763788):0.0409432);
0	0.00986667	((galGal:0.179599,(halLeu:0.0754497,nipNip:0.0734805):0.0333863):0.0458599,((strCam:0.054907,((aptOwe:0.0103855,(aptHaa:0.00795602,aptRow:0.00762317):0.00218267):0.0390835,((casCas:0.0201244,droNov:0.0223115):0.0303572,(anoDid:0.0530764,((cryCin:0.059181,tinGut:0.050944):0.0344558,(eudEle:0.0753449,notPer:0.0829027):0.0274879):0.041676):0.0283978):0.00547656):0.00307505):0.0129726,(rheAme:0.0115887,rhePen:0.0122285):0.0799679):0.0429246);
