No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
5	21	-482.35554	-467.75348	-472.72955	14.602063	4.9760735	-467.3627	-459.19431	-459.16034
5	22	-390.0182	-380.87654	-386.08307	9.1416612	5.2065272	-379.64648	-376.55986	-376.57899
5	23	-511.93272	-487.22142	-488.7604	24.711297	1.5389832	-499.3472	-483.3186	-475.97475
5	24	-428.5015	-403.16671	-408.05085	25.33479	4.884136	-415.40752	-399.22634	-399.23312
5	25	-562.04877	-508.09299	-512.77854	53.955771	4.6855451	-549.55133	-501.42925	-499.46303
5	26	-481.59165	-462.14668	-466.82207	19.444963	4.675386	-469.04986	-457.74899	-457.73924
5	27	-429.19949	-417.8983	-421.48808	11.301197	3.5897814	-416.30106	-413.91001	-410.65277
5	28	-405.99874	-391.44466	-396.91434	14.55408	5.4696776	-392.45018	-387.41094	-387.41268
5	29	-495.48951	-472.23688	-474.97397	23.252623	2.7370834	-482.04268	-465.93405	-460.9992
5	30	-583.53383	-568.93809	-574.16004	14.59574	5.2219496	-569.93715	-560.45181	-559.73984
5	31	-435.46322	-435.53214	-437.68857	-0.068916273	2.1564321	-427.62156	-427.86717	-426.8893
5	32	-474.33824	-449.18106	-452.74931	25.157187	3.5682524	-462.56122	-442.20857	-437.43063
5	33	-517.70869	-497.34278	-503.48171	20.365904	6.1389297	-504.50499	-488.86597	-489.22797
5	34	-431.87318	-417.23507	-419.44861	14.638107	2.2135369	-419.73338	-412.70861	-408.30269
5	35	-450.67442	-422.51087	-427.80393	28.163549	5.2930687	-437.50439	-418.67245	-417.09606
5	36	-439.58331	-405.61857	-411.95902	33.964747	6.3404531	-426.42914	-398.7715	-398.77324
5	37	-402.61572	-389.60398	-391.64448	13.011742	2.0405017	-389.17506	-385.05998	-379.13666
5	38	-506.91383	-491.07125	-493.21474	15.842582	2.1434902	-494.34942	-483.90595	-478.06077
5	39	-478.9544	-465.18106	-467.04893	13.773344	1.8678734	-466.21874	-460.99769	-455.10771
5	40	-507.82735	-492.44309	-489.31531	15.38426	-3.1277767	-495.58954	-487.80952	-475.33878
5	41	-493.167	-485.01038	-483.67286	8.1566175	-1.3375224	-479.98744	-470.86157	-465.51279
5	42	-439.74646	-429.37486	-428.01365	10.371591	-1.3612147	-428.33586	-423.27338	-413.16181
5	43	-387.29914	-368.04351	-373.23332	19.255636	5.1898116	-375.17221	-361.54152	-361.77317
5	44	-426.21834	-414.31084	-418.71232	11.907504	4.4014782	-415.17963	-406.26406	-406.22517
5	45	-332.74767	-321.68609	-326.25563	11.061574	4.569539	-321.87513	-315.10007	-315.09522
5	46	-605.49287	-588.11787	-591.85986	17.375003	3.7419957	-593.67049	-577.29694	-577.24195
5	47	-431.99729	-421.03553	-421.31215	10.961758	0.27662401	-418.56868	-416.71949	-408.64846
5	48	-391.341	-381.9122	-386.81954	9.4287985	4.9073384	-380.34292	-376.20111	-376.23563
5	49	-459.02854	-439.62234	-445.29186	19.406201	5.6695234	-448.57455	-431.44844	-431.46198
5	50	-400.53672	-379.90718	-384.8992	20.629543	4.9920222	-387.26303	-376.21614	-376.21691
5	51	-277.01171	-267.9191	-272.27559	9.0926097	4.3564864	-265.90894	-264.31432	-262.22833
5	52	-482.74857	-449.8503	-455.10766	32.898275	5.2573667	-469.44656	-445.85103	-444.743
5	53	-364.58012	-346.79988	-351.93163	17.780234	5.1317434	-351.23865	-342.61127	-342.62116
5	54	-576.36442	-538.68106	-543.66897	37.683358	4.9879014	-562.29862	-528.57402	-527.94892
5	55	-339.67366	-325.03518	-330.27653	14.638479	5.241353	-327.00664	-321.34192	-321.34259
5	56	-384.33395	-368.55313	-373.90425	15.780823	5.3511283	-371.6048	-361.6533	-360.16314
5	57	-443.98977	-417.86766	-423.85871	26.122108	5.9910543	-430.44733	-411.51984	-411.51881
5	58	-473.22764	-449.77531	-455.55204	23.452327	5.7767323	-460.38046	-444.91023	-444.87743
5	59	-399.50622	-386.56978	-391.97394	12.936445	5.4041654	-386.93775	-379.86169	-379.90577
5	60	-456.93697	-431.41266	-436.85247	25.524311	5.4398165	-443.74235	-427.41146	-427.40713
5	61	-615.31267	-605.69036	-601.45899	9.6223101	-4.2313722	-606.72197	-595.73892	-587.39315
5	62	-404.16499	-390.51323	-395.90961	13.651762	5.3963871	-391.46771	-386.52012	-386.51694
5	63	-262.27474	-253.08917	-258.10699	9.185565	5.0178192	-251.05047	-248.87645	-248.87291
5	64	-506.26029	-498.61584	-502.46273	7.6444531	3.8468886	-498.27295	-491.18428	-490.75052
5	65	-346.9461	-336.20795	-340.08798	10.73815	3.880023	-335.24344	-332.04848	-330.321
5	66	-313.99688	-303.65639	-308.77704	10.340497	5.1206545	-301.77429	-299.59933	-299.59674
5	67	-342.11001	-325.06417	-330.10872	17.045842	5.0445577	-329.92845	-321.28564	-321.29055
5	68	-443.77135	-414.7997	-420.10112	28.971649	5.3014235	-431.01473	-411.23453	-411.23508
5	69	-390.49686	-372.11804	-377.05015	18.378822	4.932109	-378.04528	-365.37372	-363.82954
5	70	-433.79762	-417.57482	-422.56555	16.222799	4.9907329	-421.27314	-411.70475	-410.27238
5	71	-547.26624	-503.96941	-510.37092	43.29683	6.4015096	-534.14934	-494.68729	-494.68358
5	72	-404.53905	-392.31578	-395.09584	12.223271	2.7800626	-390.90523	-383.84293	-381.42195
5	73	-467.78772	-448.69645	-453.65957	19.091269	4.96312	-454.1471	-444.42788	-443.37282
5	74	-415.68034	-399.5533	-403.56021	16.127038	4.0069036	-404.8204	-395.05896	-392.99173
5	75	-555.65651	-525.37199	-531.13763	30.284519	5.7656472	-542.8699	-517.49702	-516.42556
5	76	-416.98081	-398.41329	-403.5911	18.567524	5.1778139	-404.98993	-394.95775	-394.96471
5	77	-339.85026	-328.06589	-332.75844	11.784366	4.6925531	-327.597	-321.93997	-321.92784
5	78	-688.20914	-664.61627	-666.53146	23.592869	1.9151877	-677.09144	-653.40882	-654.46507
5	79	-363.855	-346.16292	-351.30038	17.692083	5.1374606	-351.76642	-339.51876	-337.4787
5	80	-319.76982	-305.12332	-309.16147	14.646497	4.0381509	-306.76959	-300.61265	-300.61386
5	81	-463.6916	-427.40867	-429.96697	36.282937	2.558309	-450.63188	-420.2624	-415.63985
5	82	-487.91233	-467.34113	-473.16117	20.571201	5.8200485	-475.28959	-458.72304	-458.72345
5	83	-456.75826	-423.28985	-430.11684	33.468415	6.8269919	-444.21255	-415.31423	-415.31441
5	84	-433.21164	-413.72404	-419.03363	19.487597	5.3095845	-417.54358	-409.42985	-409.41839
5	85	-514.12052	-510.55261	-509.60682	3.567904	-0.94578928	-502.20779	-500.48535	-498.27903
5	86	-394.96951	-384.9332	-389.3417	10.036303	4.4084935	-382.93654	-380.75305	-378.48001
5	87	-329.34377	-311.21455	-316.7834	18.129218	5.568851	-316.3708	-308.01901	-308.02007
5	88	-319.68111	-313.02024	-316.73916	6.6608756	3.7189174	-312.07037	-306.09889	-306.09686
5	89	-374.22204	-370.78446	-369.95424	3.4375801	-0.83022543	-363.79609	-364.56649	-357.71008
5	90	-432.17571	-420.0792	-423.40183	12.096507	3.3226274	-420.14274	-413.70414	-409.01862
5	91	-337.40144	-324.61722	-329.64655	12.784216	5.0293228	-324.86444	-320.44847	-320.45205
5	92	-431.11099	-421.79221	-425.11049	9.3187795	3.3182801	-419.40391	-415.42624	-412.37466
5	93	-417.40774	-413.13917	-415.45239	4.2685751	2.3132201	-405.76355	-405.15345	-404.74369
5	94	-359.54643	-346.75476	-352.55304	12.791675	5.7982856	-348.01425	-338.77432	-338.78297
5	95	-444.17695	-427.34373	-432.78861	16.83322	5.4448785	-431.58701	-420.7912	-419.90856
5	96	-703.76361	-632.44247	-633.14552	71.321137	0.70304712	-692.25391	-627.78608	-620.71561
5	97	-369.02573	-355.38055	-360.94249	13.645175	5.5619384	-356.81031	-351.14322	-351.17263
5	98	-522.03632	-495.31477	-501.11639	26.721553	5.8016244	-509.11278	-486.1332	-485.3325
5	99	-372.4773	-361.04052	-365.26101	11.436786	4.2204923	-360.96067	-356.1862	-355.16716
6	0	-590.21816	-567.51434	-574.04226	22.703816	6.5279204	-578.17376	-559.67133	-559.57185
6	1	-395.86719	-388.5211	-392.46037	7.3460903	3.9392651	-385.51235	-380.64776	-380.54527
6	2	-798.51677	-715.29545	-721.45363	83.22132	6.1581844	-787.03328	-700.88538	-700.88927
6	3	-533.5069	-509.79036	-515.19251	23.716539	5.402152	-522.40266	-499.18482	-499.17831
6	4	-416.37554	-401.02808	-407.56253	15.347463	6.5344469	-405.42372	-392.2811	-392.28585
6	5	-568.31744	-530.55284	-537.48897	37.764603	6.9361252	-557.41349	-525.13407	-525.12855
6	6	-530.53228	-503.20153	-509.2098	27.330753	6.0082756	-519.22236	-497.84003	-497.2752
6	7	-382.37634	-369.37076	-374.38079	13.005586	5.0100287	-371.36482	-357.64644	-357.57933
6	8	-415.91224	-402.09756	-404.93702	13.814681	2.8394679	-403.7809	-394.09262	-389.90392
6	9	-510.68654	-494.70721	-501.29565	15.979327	6.5884335	-499.78395	-485.53512	-485.55082
6	10	-651.24809	-616.92716	-621.49282	34.320928	4.5656623	-639.15071	-607.34955	-607.43698
6	11	-647.50769	-625.28519	-631.63883	22.222495	6.3536391	-635.39241	-616.88877	-617.01034
6	12	-446.65245	-435.8321	-442.44002	10.820348	6.6079138	-434.94209	-425.22374	-425.22112
6	13	-415.77419	-396.01692	-402.52018	19.757277	6.5032615	-405.16218	-391.34372	-391.33011
6	14	-562.43454	-528.44132	-535.93863	33.993213	7.4973037	-548.77855	-519.35106	-519.35157
6	15	-457.99639	-443.98151	-448.4279	14.014878	4.4463865	-446.25131	-437.90367	-436.91419
6	16	-516.27338	-494.85865	-499.47713	21.41473	4.6184832	-504.49686	-486.48866	-486.02543
6	17	-555.26218	-546.08039	-551.62417	9.1817904	5.543783	-543.81358	-534.9947	-535.05525
6	18	-605.45458	-547.45066	-555.32999	58.003919	7.8793315	-594.41902	-542.23115	-542.21356
6	19	-682.85623	-647.49309	-653.32866	35.36314	5.8355662	-671.0536	-637.06598	-637.00801
6	20	-352.43348	-343.61697	-348.96282	8.816511	5.345852	-343.12026	-335.43505	-335.30546
6	21	-604.36703	-584.51975	-588.66829	19.847276	4.1485386	-593.00274	-577.39724	-576.50727
