No.	prop	genetree
64	0.05	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,(((cryCin:0.177039,(notPer:0.18409,(((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0121385):0.00970246):0.00946728,(tinGut:0.164124,strCam:0.0550058):0.0141452):0.0128221,(eudEle:0.145395,anoDid:0.0539629):0.0631289):0.0141802);
64	0.0471429	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,(((notPer:0.191066,(cryCin:0.165563,(((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0103648):0.00874966):0.0113029,(tinGut:0.166849,strCam:0.0577304):0.0105297):0.0121434,(eudEle:0.146662,anoDid:0.05523):0.0602923):0.0157498);
64	0.0307143	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,((notPer:0.203106,((cryCin:0.163719,(((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0085205):0.0153684,(tinGut:0.16326,strCam:0.0541415):0.0075901):0.00726498):0.0176473,(eudEle:0.148047,anoDid:0.0566144):0.0651483):0.00950941);
64	0.0285714	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,((notPer:0.192224,(strCam:0.0535635,((((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0098913,(cryCin:0.118813,tinGut:0.110576):0.0462766):0.00582946):0.00455189):0.0182982,(eudEle:0.148571,anoDid:0.0571387):0.0543937):0.0197397);
13	0.180857	(((halLeu:0.144036,nipNip:0.142067):0.0291866,(galGal:0.228519,(strCam:0.0668949,(((casCas:0.0233311,droNov:0.0255182):0.0238842,(eudEle:0.127223,notPer:0.134781):0.0424172):0.0137857,(anoDid:0.0647749,(cryCin:0.0781185,tinGut:0.0698815):0.068893):0.0272187):0.01002):0.0469697):0.0154666):0.0838958,((aptRow:0.0303209,(aptHaa:0.0277702,aptOwe:0.028017):0.00288361):0.145073,(rheAme:0.18013,rhePen:0.18077):0.0218829):0.0348908);
13	0.168714	((galGal:0.244046,((halLeu:0.134933,nipNip:0.132964):0.02571,(strCam:0.0662583,(((casCas:0.022904,droNov:0.0250911):0.0249631,(eudEle:0.128725,notPer:0.136283):0.0415673):0.013914,(anoDid:0.0659519,(cryCin:0.0746839,tinGut:0.0664469):0.0735045):0.0268218):0.00860341):0.0504932):0.01264):0.0878031,((aptRow:0.0331677,(aptHaa:0.0311719,aptOwe:0.0314187):0.00232867):0.143223,(rheAme:0.181147,rhePen:0.181786):0.0218636):0.0378614);
13	0.133143	((galGal:0.198967,(halLeu:0.111072,nipNip:0.109103):0.017132):0.141682,((aptRow:0.0661435,(aptHaa:0.055182,aptOwe:0.0554289):0.0112944):0.131983,(rhePen:0.213936,((((casCas:0.0231058,droNov:0.0252929):0.0241292,(eudEle:0.121878,notPer:0.129436):0.0477819):0.0169296,(anoDid:0.0657263,(cryCin:0.0760859,tinGut:0.0678489):0.0718769):0.0294309):0.0207566,(rheAme:0.0830679,strCam:0.0593909):0.0214041):0.108824):0.0114502):0.0249247);
13	0.0872857	((galGal:0.205182,(halLeu:0.11938,nipNip:0.117411):0.0150387):0.129719,((aptRow:0.0617458,(aptHaa:0.0533359,aptOwe:0.0535828):0.00874271):0.143268,(rhePen:0.220989,(rheAme:0.114869,(strCam:0.0643316,(((casCas:0.0239487,droNov:0.0261358):0.0230183,(eudEle:0.133677,notPer:0.141235):0.0357146):0.0108745,(anoDid:0.0647977,(cryCin:0.074375,tinGut:0.066138):0.0726592):0.0240364):0.0106163):0.0268609):0.10548):0.0112834):0.01229);
13	0.0555714	((galGal:0.291121,(halLeu:0.204582,(nipNip:0.170968,(((casCas:0.023914,droNov:0.0261011):0.0253933,(eudEle:0.133499,notPer:0.141057):0.0382328):0.0190316,(strCam:0.0581056,(anoDid:0.0679139,(cryCin:0.0768526,tinGut:0.0686156):0.0732978):0.0253105):0.00610711):0.0648328):0.031645):0.015776):0.0639838,((aptRow:0.0297225,(aptHaa:0.0281886,aptOwe:0.0284355):0.00186675):0.1387,(rheAme:0.170604,rhePen:0.171243):0.0244383):0.0690853);
0	0.112143	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,(strCam:0.060194,((((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.01169,(anoDid:0.0667241,((cryCin:0.0592952,tinGut:0.0510582):0.0583631,(eudEle:0.102114,notPer:0.109672):0.02474):0.0313023):0.0179274):0.0106612):0.0359593);
