No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-712.71118	-711.6194	-710.80167	1.0917837	-0.81772812	-701.63392	-696.87184	-688.88144
1	1	-424.94406	-425.29668	-422.92406	-0.35261326	-2.3726116	-416.58794	-417.03098	-408.85119
2	2	-361.37248	-357.02429	-358.25034	4.3481896	1.2260508	-352.2006	-348.03246	-346.85249
3	3	-276.82246	-276.99069	-277.52001	-0.16823105	0.52932145	-271.25927	-269.91216	-269.05262
4	4	-425.81575	-417.71961	-419.03301	8.0961405	1.3134002	-416.50025	-409.2855	-405.74784
5	5	-357.72903	-357.73358	-357.56505	-0.004553117	-0.16853549	-355.2012	-354.00073	-348.10031
6	6	-233.48567	-234.03726	-234.48304	-0.5515882	0.44577971	-230.39532	-230.81378	-225.71875
7	7	-404.66474	-402.26342	-400.90165	2.4013275	-1.3617646	-402.14979	-393.36738	-385.75605
8	8	-285.94866	-285.5288	-286.24502	0.41986308	0.71621811	-281.25305	-280.05234	-280.07207
9	9	-404.47439	-395.34347	-397.28875	9.1309187	1.9452833	-398.15063	-382.64218	-380.82572
10	10	-259.34469	-252.87499	-254.50177	6.4697022	1.6267752	-256.25442	-244.39118	-244.39376
11	11	-263.61583	-263.73219	-264.70596	-0.11636274	0.97376399	-260.63728	-259.42252	-258.9048
12	12	-386.00291	-378.9242	-381.58018	7.0787131	2.6559836	-382.53798	-368.01648	-368.20104
13	13	-412.33797	-410.91194	-411.90076	1.4260221	0.9888174	-404.98621	-399.15171	-396.84145
14	14	-472.00413	-467.48178	-468.27263	4.5223549	0.79084959	-457.33293	-453.68387	-451.84114
15	15	-380.34515	-379.74294	-371.50483	0.60220926	-8.2381103	-373.16217	-372.7721	-358.31192
16	16	-414.96961	-408.80356	-410.01218	6.166055	1.2086229	-406.7706	-404.24752	-401.45863
17	17	-341.46761	-341.00546	-342.14164	0.46214877	1.1361835	-337.02727	-334.65978	-334.65129
18	18	-448.35048	-447.63687	-446.33657	0.71360602	-1.3002998	-446.18873	-443.0347	-435.56692
19	19	-252.17478	-252.34151	-253.13301	-0.16673077	0.79149906	-248.99895	-249.41633	-249.22726
20	20	-268.16397	-268.31205	-269.23412	-0.14808346	0.92206102	-265.15523	-263.83909	-262.52071
21	21	-306.90759	-305.56253	-308.21419	1.3450581	2.6516587	-304.31392	-298.78092	-292.48155
22	22	-411.4036	-411.30945	-389.16967	0.094149699	-22.139772	-395.19507	-393.96039	-373.72124
23	23	-520.53592	-518.78099	-516.48929	1.7549344	-2.2916945	-517.46943	-513.99372	-502.99218
24	24	-251.11786	-244.93469	-246.85151	6.1831675	1.9168238	-247.83773	-236.14422	-236.14194
25	25	-453.90471	-442.61508	-443.46154	11.289629	0.84646027	-443.7828	-435.23721	-433.00576
26	26	-356.61804	-353.64178	-355.70884	2.9762588	2.0670614	-353.89757	-345.37325	-345.37812
27	27	-202.91249	-203.41731	-203.91255	-0.50481882	0.49523596	-199.42831	-199.85074	-197.95685
28	28	-342.96456	-339.57579	-340.69189	3.3887682	1.1160984	-340.30548	-333.63284	-331.81915
29	29	-537.01483	-537.09431	-537.16642	-0.079486739	0.0721051	-520.32468	-520.83324	-520.83104
30	30	-430.14535	-429.05341	-429.90552	1.0919331	0.85210088	-422.88037	-417.33349	-415.05995
31	31	-659.89201	-659.56467	-649.84205	0.32734431	-9.7226156	-646.46265	-645.35897	-630.25405
32	32	-502.69363	-501.95193	-489.45321	0.74170366	-12.498716	-490.81613	-489.3396	-473.8552
33	33	-491.60847	-487.73116	-484.68709	3.8773117	-3.0440679	-483.49319	-477.37009	-469.04609
34	34	-306.47995	-305.4488	-306.45121	1.0311488	1.0024177	-301.52361	-298.15284	-297.04051
35	35	-286.92534	-282.93757	-284.80418	3.9877706	1.8666033	-283.94737	-276.09021	-276.09206
36	36	-439.68402	-434.63515	-429.70834	5.048867	-4.926809	-429.78662	-419.17773	-411.21926
