No.	prop	genetree
30	0.0336	((galGal:0.180052,(halLeu:0.0732538,nipNip:0.0712846):0.0360356):0.0389041,(((anoDid:0.0817719,(aptRow:0.0147348,(aptHaa:0.00321308,aptOwe:0.00345993):0.0118546):0.0289756):0.00640078,(rheAme:0.0160805,rhePen:0.0167204):0.0606503):0.0071781,(strCam:0.0536589,((casCas:0.020507,droNov:0.0226941):0.0322442,((cryCin:0.0560751,tinGut:0.0478381):0.0456056,(eudEle:0.0826702,notPer:0.090228):0.0282063):0.0642997):0.00503391):0.00657306):0.0440698);
30	0.0209333	((galGal:0.179357,(halLeu:0.0718093,nipNip:0.0698401):0.0367852):0.0414225,(((anoDid:0.0776866,(aptRow:0.0121563,(aptHaa:0.00382387,aptOwe:0.00407072):0.00866529):0.0274688):0.0122985,(strCam:0.0525808,((casCas:0.0239663,droNov:0.0261534):0.025879,(rheAme:0.0140707,rhePen:0.0147105):0.0553253):0.0068617):0.00228555):0.00310689,(eudEle:0.142805,(notPer:0.104143,(cryCin:0.0591801,tinGut:0.0509431):0.0282095):0.0462194):0.0417195):0.0481521);
30	0.0198667	((galGal:0.180598,(halLeu:0.0656175,nipNip:0.0636483):0.0442182):0.0372788,(((anoDid:0.0791223,(aptRow:0.0144833,(aptHaa:0.00258621,aptOwe:0.00283306):0.0122299):0.0265776):0.00800721,(rheAme:0.0160029,rhePen:0.0166428):0.0596848):0.00893095,(strCam:0.054325,((casCas:0.0212687,droNov:0.0234558):0.030769,(eudEle:0.125242,(notPer:0.100256,(cryCin:0.0554707,tinGut:0.0472337):0.0280317):0.0325433):0.0492211):0.00641353):0.00661666):0.042281);
30	0.0172	((galGal:0.176645,(halLeu:0.068563,nipNip:0.0665938):0.0373188):0.0410924,(strCam:0.0587561,(((anoDid:0.0780451,(aptRow:0.0121801,(aptHaa:0.00301781,aptOwe:0.00326466):0.00949515):0.0278036):0.00637173,(rheAme:0.0154102,rhePen:0.01605):0.0575649):0.0049517,((casCas:0.0232648,droNov:0.0254519):0.0316925,(notPer:0.12158,(eudEle:0.0887583,(cryCin:0.0555013,tinGut:0.0472643):0.0240611):0.0252636):0.0633605):0.00341859):0.00450632):0.0443264);
25	0.0124	((galGal:0.188782,(halLeu:0.080953,nipNip:0.0789839):0.0370665):0.0228108,(((casCas:0.0451891,(aptRow:0.0226453,(aptHaa:0.00290367,aptOwe:0.00315052):0.0200745):0.015475):0.00875154,(rheAme:0.0173607,rhePen:0.0180006):0.0561307):0.0123637,(strCam:0.0538522,(droNov:0.0553899,((eudEle:0.113623,(cryCin:0.0541147,tinGut:0.0458777):0.0503126):0.0460372,(notPer:0.155992,anoDid:0.0570015):0.0112265):0.0159674):0.00477554):0.00832596):0.0347605);
25	0.0113333	((galGal:0.194797,(halLeu:0.0763517,nipNip:0.0743826):0.0476827):0.0218632,(strCam:0.0565527,(((casCas:0.0435489,(aptRow:0.020133,(aptHaa:0.00359432,aptOwe:0.00384117):0.0168715):0.0163471):0.00660966,(rheAme:0.0112282,rhePen:0.0118681):0.0584811):0.00712081,(droNov:0.0517872,((eudEle:0.114959,(cryCin:0.0518441,tinGut:0.0436071):0.0539192):0.0403961,(notPer:0.15285,anoDid:0.0538602):0.0100626):0.0166698):0.00767927):0.00339951):0.0454533);
25	0.00826667	((galGal:0.177077,(halLeu:0.0630599,nipNip:0.0610908):0.0432546):0.0360148,((casCas:0.0441351,(aptRow:0.0217945,(aptHaa:0.00346877,aptOwe:0.00371562):0.0186586):0.0152718):0.0201932,((anoDid:0.0845203,(droNov:0.0478875,(rheAme:0.0146981,rhePen:0.015338):0.0505531):0.00782721):0.00583436,(strCam:0.052955,((cryCin:0.0538225,tinGut:0.0455855):0.054011,(eudEle:0.0861465,notPer:0.0937043):0.0308829):0.0624768):0.00228086):0.00496628):0.0382355);
25	0.00786667	((galGal:0.186172,(halLeu:0.0788661,nipNip:0.076897):0.0365428):0.0268114,((strCam:0.0546476,((casCas:0.0423091,(aptRow:0.0232088,(aptHaa:0.00309391,aptOwe:0.00334076):0.0204477):0.0120314):0.00642495,((cryCin:0.0600103,tinGut:0.0517733):0.0536521,(eudEle:0.0890909,notPer:0.0966487):0.0337674):0.0483008):0.0100397):0.00527363,(droNov:0.0594775,(anoDid:0.0855423,(rheAme:0.0172432,rhePen:0.017883):0.0568573):0.00274073):0.00675703):0.0384074);
25	0.00693333	((galGal:0.189355,(halLeu:0.0782485,nipNip:0.0762793):0.0403438):0.0213557,((strCam:0.0534416,(((aptRow:0.0244244,(aptHaa:0.00292547,aptOwe:0.00317232):0.0218318):0.0153709,(casCas:0.0437623,(rheAme:0.0129159,rhePen:0.0135558):0.0503972):0.00310182):0.00637184,(notPer:0.142261,(eudEle:0.101337,(cryCin:0.050875,tinGut:0.042638):0.0412661):0.0333661):0.0409579):0.0043318):0.00298247,(droNov:0.0534228,anoDid:0.0822284):0.00931451):0.0396323);
25	0.00693333	((galGal:0.185852,(halLeu:0.0631392,nipNip:0.06117):0.0519497):0.0233316,((casCas:0.0579493,(((aptRow:0.0255667,(aptHaa:0.00335182,aptOwe:0.00359867):0.0225477):0.0182416,((cryCin:0.0516633,tinGut:0.0434263):0.0674937,(eudEle:0.0886292,notPer:0.096187):0.0397236):0.0449493):0.0041315,(rheAme:0.0161133,rhePen:0.0167532):0.058446):0.00294073):0.00702222,(strCam:0.0547992,(droNov:0.054493,anoDid:0.0832985):0.00661953):0.00604612):0.0336835);
