No.	prop	genetree
34	0.0306667	((galGal:0.182087,(halLeu:0.0612235,nipNip:0.0592543):0.0501004):0.0287211,((((strCam:0.0520398,(aptRow:0.0231211,(aptHaa:0.012251,aptOwe:0.0124979):0.0112029):0.025976):0.00316507,(casCas:0.044208,droNov:0.0463951):0.015123):0.00955583,(tinGut:0.163428,(anoDid:0.0739786,(cryCin:0.140342,(eudEle:0.119057,notPer:0.126615):0.0304807):0.0158729):0.0154496):0.0104513):0.01416,(rheAme:0.050813,rhePen:0.0514529):0.0517846):0.0172326);
34	0.0293333	((halLeu:0.103543,(nipNip:0.0957041,galGal:0.168436):0.00586986):0.0365019,(((aptRow:0.023664,(aptHaa:0.00538248,aptOwe:0.00562933):0.0186143):0.0469202,((strCam:0.0536273,(tinGut:0.155203,(casCas:0.0410075,droNov:0.0431946):0.00920383):0.00754216):0.002846,(anoDid:0.0739786,(cryCin:0.124956,(eudEle:0.0732916,notPer:0.0808494):0.06086):0.0312595):0.0176136):0.0170535):0.011925,(rheAme:0.043764,rhePen:0.0444038):0.0653648):0.0107015);
34	0.026	((galGal:0.193524,(halLeu:0.0795227,nipNip:0.0775536):0.0432388):0.0172835,(((((aptRow:0.019906,(aptHaa:0.00541813,aptOwe:0.00566498):0.0148207):0.0213362,(casCas:0.0302235,droNov:0.0324106):0.0180875):0.0111346,(tinGut:0.161012,strCam:0.0518933):0.00342611):0.0053218,(anoDid:0.0686116,(cryCin:0.127501,(eudEle:0.0856809,notPer:0.0932387):0.0510161):0.023347):0.0271484):0.0255298,(rheAme:0.0520741,rhePen:0.0527139):0.0577739):0.00998226);
34	0.0226667	(((galGal:0.189953,(halLeu:0.0597595,nipNip:0.0577904):0.0594309):0.0192631,(((aptRow:0.0231211,(aptHaa:0.00387392,aptOwe:0.00412077):0.01958):0.0410772,(strCam:0.0560639,(tinGut:0.157695,(cryCin:0.156215,(anoDid:0.0559191,(eudEle:0.092016,notPer:0.0995738):0.0553355):0.0180595):0.0097171):0.00748701):0.0110771):0.000290567,(casCas:0.016022,droNov:0.0182091):0.0555357):0.0271302):0.00159157,(rheAme:0.0554421,rhePen:0.056082):0.0643882);
34	0.0206667	((galGal:0.200298,(halLeu:0.0837229,nipNip:0.0817538):0.0458119):0.0105102,(((aptRow:0.019906,(aptHaa:0.00824294,aptOwe:0.00848979):0.0119959):0.041156,(droNov:0.0667439,((casCas:0.057006,tinGut:0.161998):0.00576865,(strCam:0.051726,((cryCin:0.143192,anoDid:0.0609558):0.00822919,(eudEle:0.100106,notPer:0.107664):0.060511):0.0176598):0.0069225):0.00178212):0.00357403):0.0196392,(rheAme:0.0471476,rhePen:0.0477875):0.0601732):0.0125095);
13	0.0306667	((galGal:0.191603,(halLeu:0.0864634,nipNip:0.0844942):0.0343764):0.0192053,(((aptHaa:0.0490169,tinGut:0.160745):0.00622352,((aptOwe:0.0238168,aptRow:0.0232371):0.0286997,(rheAme:0.0471484,rhePen:0.0477882):0.0314082):0.00297072):0.0135393,(strCam:0.0528046,((casCas:0.0118174,droNov:0.0140045):0.0336613,(anoDid:0.0585493,(cryCin:0.0788288,(eudEle:0.0718124,notPer:0.0793702):0.0162124):0.061957):0.017922):0.0114521):0.0185851):0.0247637);
13	0.0193333	((galGal:0.207597,(halLeu:0.0927354,nipNip:0.0907663):0.0440983):0.00321125,(((aptHaa:0.0490169,((eudEle:0.0880247,(cryCin:0.0682419,notPer:0.0849956):0.0105869):0.0688945,(tinGut:0.125458,anoDid:0.0514582):0.0140287):0.0212587):0.00622352,((aptOwe:0.0154528,aptRow:0.0148731):0.0370638,(rheAme:0.0471484,rhePen:0.0477882):0.0314082):0.00297072):0.0150973,(strCam:0.0528046,(casCas:0.0118174,droNov:0.0140045):0.0451133):0.020143):0.0232058);
13	0.0153333	(galGal:0.210808,((halLeu:0.0986316,nipNip:0.0966625):0.0389092,((aptHaa:0.0513572,strCam:0.0539671):0.00693339,((tinGut:0.161381,(((aptOwe:0.017461,aptRow:0.0168813):0.022975,(casCas:0.027124,droNov:0.0293111):0.0198011):0.00906664,(anoDid:0.0681982,(cryCin:0.0659118,(eudEle:0.0705178,notPer:0.0780756):0.00458992):0.0845229):0.0187862):0.000397119):0.00208005,(rheAme:0.0565599,rhePen:0.0571998):0.0214599):0.00655767):0.0327487):0.00250415);
13	0.0153333	(galGal:0.210808,((halLeu:0.0759117,nipNip:0.0739425):0.061348,(aptHaa:0.0642104,(((droNov:0.0582045,(aptOwe:0.0134063,aptRow:0.0128266):0.036122):0.00082441,(rheAme:0.0471484,rhePen:0.0477882):0.0292443):0.00436123,((casCas:0.0555057,tinGut:0.160498):0.00189506,(strCam:0.052736,(anoDid:0.054137,(cryCin:0.0648252,(eudEle:0.0698928,notPer:0.0774506):0.00412827):0.0715483):0.0337178):0.000538581):0.00380232):0.00974336):0.0265477):0.00278534);
13	0.0133333	((galGal:0.2054,(halLeu:0.0845257,nipNip:0.0825566):0.0501114):0.00540784,((tinGut:0.165929,((aptHaa:0.0472602,(aptOwe:0.0193839,aptRow:0.0188042):0.0281232):0.00478949,(rheAme:0.0565599,rhePen:0.0571998):0.0217766):0.00215102):0.00283722,((casCas:0.0574775,strCam:0.0533513):0.00310797,(droNov:0.0578756,(anoDid:0.0551544,(cryCin:0.0659118,(eudEle:0.0736777,notPer:0.0812355):0.00142995):0.0714791):0.0315268):0.00489695):0.00318853):0.0365055);
0	0.0146667	((halLeu:0.128581,(nipNip:0.118535,galGal:0.191267):0.00807659):0.0114644,((aptRow:0.0514825,(((aptHaa:0.00503256,aptOwe:0.00527941):0.0342147,(cryCin:0.142039,eudEle:0.151235):0.0171734):0.0124276,((rhePen:0.0751834,(casCas:0.0211602,droNov:0.0233473):0.0338325):0.0014855,(strCam:0.0515139,(rheAme:0.0664639,anoDid:0.0779057):0.00872694):0.00083823):0.00193257):0.000140501):0.00509353,(tinGut:0.0909719,notPer:0.115963):0.0776651):0.0366346);
0	0.0146667	((halLeu:0.10416,(nipNip:0.0997776,galGal:0.17251):0.00241314):0.0358851,(((aptHaa:0.0071995,aptOwe:0.00744635):0.0452398,(cryCin:0.171323,(rhePen:0.077224,eudEle:0.179458):0.0010604):0.00108153):0.00713508,(aptRow:0.0585057,(strCam:0.0533514,((rheAme:0.0663688,(anoDid:0.0761195,(casCas:0.0311677,droNov:0.0333548):0.0139592):0.0016912):0.00233669,(tinGut:0.0714936,notPer:0.0964843):0.0826533):0.00832279):0.00809705):0.000735825):0.0339691);
