No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	optM
6	89	-936.15442	-816.96521	-822.38825	119.18921	5.4230424	1
6	90	-1110.2798	-1039.0671	-1016.4005	71.212719	-22.666632	2
6	91	-872.33287	-816.63023	-817.53493	55.702636	0.90469735	1
6	92	-925.3801	-883.54646	-884.0578	41.833641	0.51133505	1
6	93	-790.50599	-731.11792	-731.79597	59.38807	0.67805428	1
6	94	-864.66943	-798.40959	-802.46141	66.259841	4.0518216	1
6	95	-1272.5649	-1145.592	-1136.9034	126.97285	-8.6886028	2
6	96	-625.51965	-589.44635	-596.3266	36.073299	6.8802469	1
6	97	-1112.2398	-969.94697	-973.1402	142.29285	3.1932377	1
6	98	-859.07638	-803.46328	-808.26957	55.6131	4.80629	1
6	99	-1024.3041	-948.37107	-946.5402	75.933039	-1.8308689	2
