No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	optM
6	0	-906.47852	-878.10362	-881.89515	28.374895	3.7915277	1
6	1	-499.27962	-484.69684	-488.57217	14.582771	3.8753282	1
6	2	-707.28291	-699.92151	-704.42742	7.3613971	4.5059093	1
6	3	-732.907	-714.23744	-717.45961	18.669568	3.2221711	1
6	4	-826.37764	-819.83912	-825.91639	6.5385175	6.0772693	1
6	5	-939.08007	-923.37301	-927.60583	15.707053	4.2328155	1
6	6	-715.71854	-702.04662	-707.25663	13.671919	5.2100136	1
6	7	-1005.6737	-977.71492	-981.6083	27.95882	3.8933826	1
6	8	-790.27184	-762.07707	-765.83714	28.194777	3.7600787	1
6	9	-694.34517	-671.06238	-683.27495	23.282788	12.212568	1
6	10	-695.72683	-665.01743	-675.80967	30.709407	10.792247	1
6	11	-744.85383	-724.39276	-729.95293	20.46107	5.5601745	1
6	12	-780.88859	-768.52163	-774.99518	12.366959	6.4735449	1
6	13	-862.72836	-905.42998	-922.94908	-42.701619	17.519103	0
6	14	-824.36955	-795.3816	-800.5077	28.987949	5.1261039	1
6	15	-986.98907	-983.76779	-982.95303	3.2212806	-0.81476337	2
6	16	-943.34571	-916.66736	-921.36675	26.678349	4.6993828	1
6	17	-1018.8746	-980.07982	-976.95586	38.794773	-3.1239608	2
6	18	-735.99541	-723.82341	-732.26831	12.172001	8.4449001	1
6	19	-810.84044	-780.48551	-783.05125	30.354928	2.5657356	1
6	20	-780.55799	-761.16427	-767.36097	19.39372	6.1967004	1
6	21	-659.90842	-645.13632	-654.40259	14.772105	9.2662701	1
6	22	-782.95121	-770.01926	-795.30414	12.931952	25.284885	1
6	23	-686.7123	-668.69039	-671.54857	18.021905	2.8581748	1
6	24	-857.88954	-868.55345	-868.48492	-10.663911	-0.068532166	0
6	25	-655.94765	-634.91124	-643.3455	21.036407	8.4342633	1
6	26	-685.01463	-668.47033	-668.64103	16.544305	0.17070101	1
6	27	-754.97683	-733.63304	-744.5037	21.343796	10.870659	1
6	28	-825.73784	-787.6839	-788.48761	38.053942	0.80370748	1
6	29	-643.32835	-615.24812	-621.1635	28.080234	5.9153852	1
6	30	-780.1633	-757.11604	-769.45418	23.047262	12.338141	1
6	31	-736.97879	-722.43045	-755.50334	14.548337	33.072887	1
6	32	-802.65507	-769.34386	-778.82561	33.311214	9.4817556	1
6	33	-637.25641	-615.2069	-630.50756	22.049507	15.300662	1
6	34	-620.30094	-585.93634	-592.96522	34.364597	7.0288774	1
6	35	-705.26622	-688.19797	-692.52024	17.068249	4.3222734	1
6	36	-657.17107	-633.72227	-639.52067	23.448798	5.7983991	1
6	37	-752.89984	-727.29918	-737.53476	25.600657	10.235577	1
6	38	-611.76947	-611.30077	-602.66635	0.46869113	-8.6344285	2
6	39	-811.15699	-785.95776	-793.86752	25.199229	7.9097568	1
6	40	-669.23697	-647.64234	-649.3977	21.59463	1.7553592	1
6	41	-892.02353	-833.77446	-841.66834	58.249068	7.8938742	1
6	42	-664.2356	-650.52183	-660.11006	13.713771	9.5882364	1
6	43	-608.57457	-601.53446	-606.08975	7.0401115	4.5552912	1
6	44	-731.29305	-719.08225	-726.18888	12.210795	7.1066245	1
6	45	-1005.4628	-967.64798	-977.72043	37.814781	10.07245	1
6	46	-605.3631	-601.63763	-607.92748	3.7254694	6.2898508	1
6	47	-789.08078	-770.17966	-766.77215	18.901127	-3.4075047	2
6	48	-921.94573	-908.9279	-915.57393	13.017824	6.6460247	1
6	49	-863.59448	-861.72017	-855.97189	1.8743115	-5.7482777	2
6	50	-794.10145	-746.23427	-756.90148	47.867178	10.667211	1
6	51	-557.38735	-552.48672	-544.45257	4.9006307	-8.0341513	2
6	52	-694.83169	-675.86744	-682.68552	18.964251	6.8180796	1
6	53	-886.02912	-854.47842	-859.81827	31.5507	5.3398493	1
6	54	-871.45443	-831.56996	-839.07446	39.884465	7.5044966	1
6	55	-890.4543	-878.81001	-867.45836	11.64429	-11.351649	2
6	56	-878.74656	-843.07938	-847.99477	35.667179	4.9153912	1
6	57	-678.07907	-661.60435	-671.70731	16.474721	10.102963	1
6	58	-870.01307	-854.40495	-856.40028	15.608119	1.9953309	1
6	59	-850.4881	-840.94194	-847.29915	9.5461567	6.3572098	1
6	60	-957.90471	-911.41887	-917.30618	46.485841	5.8873076	1
6	61	-849.70922	-826.82286	-829.33195	22.886356	2.5090831	1
