No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
61	61	-615.31267	-605.69036	-601.45899	9.6223101	-4.2313722	-606.72197	-595.73892	-587.39315
62	62	-404.16499	-390.51323	-395.90961	13.651762	5.3963871	-391.46771	-386.52012	-386.51694
63	63	-262.27474	-253.08917	-258.10699	9.185565	5.0178192	-251.05047	-248.87645	-248.87291
64	64	-506.26029	-498.61584	-502.46273	7.6444531	3.8468886	-498.27295	-491.18428	-490.75052
65	65	-346.9461	-336.20795	-340.08798	10.73815	3.880023	-335.24344	-332.04848	-330.321
66	66	-313.99688	-303.65639	-308.77704	10.340497	5.1206545	-301.77429	-299.59933	-299.59674
67	67	-342.11001	-325.06417	-330.10872	17.045842	5.0445577	-329.92845	-321.28564	-321.29055
68	68	-443.77135	-414.7997	-420.10112	28.971649	5.3014235	-431.01473	-411.23453	-411.23508
69	69	-390.49686	-372.11804	-377.05015	18.378822	4.932109	-378.04528	-365.37372	-363.82954
70	70	-433.79762	-417.57482	-422.56555	16.222799	4.9907329	-421.27314	-411.70475	-410.27238
71	71	-547.26624	-503.96941	-510.37092	43.29683	6.4015096	-534.14934	-494.68729	-494.68358
72	72	-404.53905	-392.31578	-395.09584	12.223271	2.7800626	-390.90523	-383.84293	-381.42195
73	73	-467.78772	-448.69645	-453.65957	19.091269	4.96312	-454.1471	-444.42788	-443.37282
74	74	-415.68034	-399.5533	-403.56021	16.127038	4.0069036	-404.8204	-395.05896	-392.99173
75	75	-555.65651	-525.37199	-531.13763	30.284519	5.7656472	-542.8699	-517.49702	-516.42556
76	76	-416.98081	-398.41329	-403.5911	18.567524	5.1778139	-404.98993	-394.95775	-394.96471
77	77	-339.85026	-328.06589	-332.75844	11.784366	4.6925531	-327.597	-321.93997	-321.92784
78	78	-688.20914	-664.61627	-666.53146	23.592869	1.9151877	-677.09144	-653.40882	-654.46507
79	79	-363.855	-346.16292	-351.30038	17.692083	5.1374606	-351.76642	-339.51876	-337.4787
80	80	-319.76982	-305.12332	-309.16147	14.646497	4.0381509	-306.76959	-300.61265	-300.61386
81	81	-463.6916	-427.40867	-429.96697	36.282937	2.558309	-450.63188	-420.2624	-415.63985
82	82	-487.91233	-467.34113	-473.16117	20.571201	5.8200485	-475.28959	-458.72304	-458.72345
83	83	-456.75826	-423.28985	-430.11684	33.468415	6.8269919	-444.21255	-415.31423	-415.31441
84	84	-433.21164	-413.72404	-419.03363	19.487597	5.3095845	-417.54358	-409.42985	-409.41839
85	85	-514.12052	-510.55261	-509.60682	3.567904	-0.94578928	-502.20779	-500.48535	-498.27903
86	86	-394.96951	-384.9332	-389.3417	10.036303	4.4084935	-382.93654	-380.75305	-378.48001
87	87	-329.34377	-311.21455	-316.7834	18.129218	5.568851	-316.3708	-308.01901	-308.02007
88	88	-319.68111	-313.02024	-316.73916	6.6608756	3.7189174	-312.07037	-306.09889	-306.09686
89	89	-374.22204	-370.78446	-369.95424	3.4375801	-0.83022543	-363.79609	-364.56649	-357.71008
90	90	-432.17571	-420.0792	-423.40183	12.096507	3.3226274	-420.14274	-413.70414	-409.01862
91	91	-337.40144	-324.61722	-329.64655	12.784216	5.0293228	-324.86444	-320.44847	-320.45205
92	92	-431.11099	-421.79221	-425.11049	9.3187795	3.3182801	-419.40391	-415.42624	-412.37466
93	93	-417.40774	-413.13917	-415.45239	4.2685751	2.3132201	-405.76355	-405.15345	-404.74369
94	94	-359.54643	-346.75476	-352.55304	12.791675	5.7982856	-348.01425	-338.77432	-338.78297
95	95	-444.17695	-427.34373	-432.78861	16.83322	5.4448785	-431.58701	-420.7912	-419.90856
96	96	-703.76361	-632.44247	-633.14552	71.321137	0.70304712	-692.25391	-627.78608	-620.71561
97	97	-369.02573	-355.38055	-360.94249	13.645175	5.5619384	-356.81031	-351.14322	-351.17263
98	98	-522.03632	-495.31477	-501.11639	26.721553	5.8016244	-509.11278	-486.1332	-485.3325
99	99	-372.4773	-361.04052	-365.26101	11.436786	4.2204923	-360.96067	-356.1862	-355.16716
