No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa
42	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1
43	1	1	1	2	2	2	0	0	2	2	1	1	1	1	0	0	1	1	2	1	0	0	1	0	1	1	1	0	0	0	0
44	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	1	1	2	1	1	0	1	0	1	1	1	0	0	0	0
45	1	1	1	2	2	2	0	0	2	2	1	1	1	1	0	0	1	1	2	1	0	0	1	0	1	1	1	0	0	0	0
46	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0
47	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	0	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0
48	0	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	0	0	2	2	1	1	1	1	1	1	1	1	1	1	0
49	0	1	1	2	2	2	2	2	2	2	1	2	1	1	2	0	0	0	2	2	1	1	1	1	1	1	1	1	1	0	0
50	1	1	1	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1
51	1	1	1	2	2	1	2	2	2	2	1	1	1	1	0	0	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0
52	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
53	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	0	0	2	1	2	1	2	1	1	1	1	1	1	1	0
54	1	1	1	2	1	2	2	2	2	2	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1
55	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	0	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0
56	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	0	1	1	2	1	1	1	2	1	1	1	1	1	1	0	0
57	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	1	1	1	1	1	1	0
58	1	1	1	2	2	2	2	2	2	2	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
