chr	No.	triMan1_3	lepWed1_3	odoRosDiv1_3	orcOrc1_3	turTru2_3	odoRosDiv1.lepWed1_3	turTru2.orcOrc1_3
1	124	0	0	1	0.00166667	0.000333333	0	0
1	125	0.133	0.403333	1	0.406667	0.160333	0.377333	0.00716667
1	126	0	0	1	0.145	0.0136667	0	0
1	128	0.000166667	0.00333333	0.00233333	0.0783333	1	0.000333333	0.0145
1	129	0.2325	0.222167	0.124333	0.852667	0.928333	0.028	0.783167
1	130	0	0.0178333	0.0025	1	1	0	1
1	131	0	0.00966667	0.000833333	1	1	0	1
1	132	0	0	0	1	0.0025	0	0
1	133	0.364333	0	0	1	0.927667	0	0
1	134	0	0.031	0.0251667	1	1	0	1
1	135	0.853167	0.841833	0.618	1	1	0.302167	1
1	136	0.000166667	0.00416667	0.007	1	0.455333	0	0.4145
1	137	0.006	0.0561667	0.0458333	1	1	0.000666667	1
1	138	0	0	0	1	0.003	0	0
1	139	0.160667	0.984333	0.625833	0.617167	0.613333	0.562667	0.503
1	142	0.0908333	0.0271667	0.063	0.1735	0.997167	5e-04	0.145167
1	143	0.551833	0.538667	0.5245	0.953667	0.999667	0.221167	0.943167
1	144	0.1065	0.144	0.417	0.9005	0.997833	0.0508333	0.809333
1	146	0.9955	0.5655	0.467833	0.972667	0.972833	0.141167	0.9645
1	147	0.0701667	0.467	0.524833	0.999333	0.999333	0.211833	0.999
1	150	0	0.00166667	1	0.928167	0.0618333	5e-04	0
1	151	0	0	1	0.00133333	0	0	0
1	152	0	0	1	0.000333333	0.00216667	0	0
1	156	0	0.0411667	0.982333	0.109667	0.0976667	0.0293333	0.00216667
1	157	0.999667	0.01	0.708333	0.165	0.987167	0.000333333	0.000333333
2	0	0.0915	0.340333	0.100333	1	1	0.0291667	1
2	2	0	0.00333333	1	0.0313333	0.124833	0.00316667	0
2	3	0	0.000166667	0.00183333	0.0191667	1	0	0
2	7	0.540333	0.522333	0.673167	0.974333	0.998333	0.2655	0.9645
2	10	0.00133333	0.0473333	0.7575	0.137	0.129	0.0196667	0.00216667
2	12	0.766333	0.3365	0.943833	0.9875	0.997833	0.0598333	0.9685
2	14	0.0223333	0.583833	0.0738333	0.404833	0.2385	0.0413333	0.1585
2	15	0.000333333	0.449167	1	0.123833	0.107667	0.424333	0.00966667
2	16	0.0111667	0.034	0.03	1	1	0.00166667	1
2	17	0.835167	0.940833	0.9015	0.988667	0.961833	0.696	0.919667
2	18	0.0511667	0.4335	0.8735	0.957333	0.969833	0.329833	0.899833
2	20	0.251167	0.7005	0.24	0.871333	0.621667	0.1455	0.474833
2	22	0.0428333	0.860667	0.140667	0.224667	0.366333	0.1045	0.0563333
2	23	0.958667	0.901	0.966167	0.9335	0.934167	0.751833	0.8775
2	24	0.244667	0.293	0.852167	0.9545	0.9525	0.1755	0.946167
2	26	0	0.0578333	0.00716667	1	1	0.000166667	1
2	27	0.9285	0.7915	0.444167	0.642	0.633333	0.292667	0.456333
2	30	1	0.668333	0.140167	0.919333	0.9005	0.0308333	0.876333
2	31	0.999833	0.0328333	0.0983333	1	1	0	1
2	33	1	0.0208333	0.013	0.613	0.835833	0	0.254333
2	35	0.991833	0.0303333	0.255667	0.9625	0.946667	0.000833333	0.939167
2	36	1	0.1865	0.348333	0.923333	0.922167	0.0126667	0.909667
2	37	1	0.673833	0.0248333	0.129333	0.1125	0.00133333	0.00366667
2	38	0.1535	0.000833333	0.003	0.162167	0.999167	0	0.00266667
2	39	1	0.001	0.000333333	0.0488333	0.230833	0	0
2	40	1	0.0455	0.00833333	0.140667	0.1255	0.000166667	0.0165
2	41	0.999	0.314	0.131	0.8905	0.8905	0.031	0.864333
2	44	0.0638333	0.999833	0.9995	0.608167	0.601167	0.999167	0.495667
2	48	0.0223333	0.946	0.996167	0.986333	0.979833	0.941	0.9755
2	50	0.137333	0.4705	0.346667	1	1	0.146	1
2	51	0	0	0	0.417333	1	0	0
2	52	0.8535	0.4305	0.145	0.339333	0.531833	0.0565	0.0996667
2	53	0.6375	0.283333	0.4915	0.965667	0.999333	0.109	0.955667
2	54	0.998667	0.544833	0.603833	0.983	0.9195	0.153333	0.8875
2	56	0.9385	0.503167	0.635667	0.9705	0.931167	0.210833	0.623167
2	57	0.0355	0.0685	0.0186667	0.999667	0.951833	0.001	0.948833
2	58	0.668833	0.414333	0.397167	0.999	0.999	0.127333	0.998333
2	60	0	0	0	0.753667	1	0	0.00283333
2	64	0.662167	0.465333	0.992833	0.6805	0.562333	0.399167	0.218667
2	66	1	0.470667	0.034	0.337167	0.716667	0.00733333	0.161667
2	67	0.999333	0.2745	0.585333	0.903	0.963	0.175167	0.872
2	68	1	0.131333	0.506167	0.305667	0.297	0.077	0.1015
2	69	0.999833	0.561833	0.435	0.3825	0.370167	0.385833	0.1075
2	72	0	0	0	0.0318333	1	0	0
2	74	0.00183333	0.0103333	0.00916667	0.968	0.999833	0.0015	0.455833
2	76	0	0.867	0.943833	1	1	0.825	0.999833
2	77	1	0.00133333	0.000666667	0.0675	0.269833	0	0.000166667
2	79	0.403667	0.912333	0.334	0.945833	0.947	0.236833	0.937667
2	80	0.380667	0.512833	0.4975	0.993833	0.9975	0.222667	0.986667
2	81	0.00316667	0.0391667	0.1145	1	1	0.0146667	1
2	82	0.732667	0.229	0.299	1	0.999833	0.0373333	0.999833
2	84	0.0338333	0.174833	0.986	0.3995	0.630167	0.12	0.055
2	85	0.373833	0.299167	0.793833	0.905833	0.974667	0.172833	0.823833
2	86	0.987167	0.9945	0.5015	0.624833	0.380333	0.406167	0.0328333
2	87	0.349667	0.0488333	0.0426667	0.9945	0.840667	0.00533333	0.119667
2	88	0.0158333	0.0116667	0.0085	0.1945	1	0.000166667	0.150667
2	90	0	0	0	0.0183333	1	0	0
2	91	0	0	0	0	1	0	0
2	94	0	0	0	1	0	0	0
2	95	0.999333	0.901333	0.929333	0.509	0.4795	0.646167	0.109833
2	96	0.0995	0.861833	0.966667	0.902167	0.9895	0.772667	0.855167
2	98	0.9985	0.952833	0.940833	0.507333	0.493	0.7635	0.111833
2	103	0	0.0588333	1	0.287	0.101167	0.0551667	0.00833333
2	104	0.133167	0.880833	0.441	0.956667	0.327	0.2775	0.184
2	105	0.00166667	0.000833333	0.000666667	0.0705	0.983667	0	0.0125
2	107	0	0.0205	0.000333333	0.0195	1	0	0.000333333
2	110	0	0	0	0	1	0	0
2	112	0	0	0	0.0491667	1	0	0
2	113	0.993	0.492833	0.695833	0.781833	0.775	0.226833	0.695
2	114	0.0333333	0.176333	0.0491667	0.681167	0.752167	0.01	0.4825
2	115	0	0	0	0.00116667	1	0	0
2	116	0.993667	0.336667	0.4375	0.981667	0.967	0.119667	0.954333
2	119	0.00416667	0.0588333	0.045	0.999167	0.999833	0.000666667	0.999
2	120	0	0	0	5e-04	1	0	0
2	122	0.0441667	0.831667	0.286333	0.810667	0.871333	0.185667	0.6195
2	123	0.996333	0.9795	0.905167	0.456333	0.453333	0.843833	0.0315
2	124	0	0	0	1	0	0	0
2	125	0.714333	0.195833	0.293833	1	1	0.0085	1
2	126	0.000666667	1	1	0.240833	0.975	1	0
2	128	0	0	0	0.0278333	1	0	0
2	131	0.00116667	0.0255	0.0095	0.532333	0.0698333	0.000833333	0.00266667
2	132	0.999833	0.0278333	0.0578333	0.155	0.1485	0.00216667	0.00483333
2	133	0.345167	0.0265	0.262333	1	1	0.00616667	1
2	134	0.0393333	0.1085	0.216333	0.978	0.9795	0.0226667	0.975833
2	136	0.838	0.985667	0.966667	0.992167	0.992167	0.862667	0.987667
2	137	0.154667	0.970167	0.322667	1	1	0.168833	1
2	138	0.0876667	0.4605	0.384667	0.954167	0.705	0.3535	0.518167
2	139	0.256833	0.974333	0.991	0.916667	0.703667	0.967667	0.594667
2	142	0	0.000833333	0	0.0396667	1	0	0
2	143	0	0.002	0.00516667	1	1	0	1
2	145	0.000166667	0.014	0.00716667	1	1	0	1
2	147	0.000333333	0.0153333	0.0105	1	1	0	1
2	148	0	5e-04	0	1	0.0353333	0	0
2	149	0	0.00266667	0	1	0.0728333	0	0
2	150	0	0	0	1	0	0	0
2	152	0.0105	0.0378333	0.0321667	1	1	0.002	1
2	156	0.00416667	0.0503333	0.0485	0.995833	0.9985	0.0116667	0.995
2	158	0.999833	0.0493333	0.195667	0.5735	0.578333	0.00533333	0.382167
2	160	0.109333	0.925333	0.962333	0.576833	0.3125	0.802667	0.0256667
2	161	0.337333	0.009	0.00433333	1	1	0	1
2	162	0	0.00666667	0.0341667	0.04	1	0.002	0.0238333
2	163	0.06	0.998167	0.390333	0.212	0.212167	0.356167	0.0211667
2	164	0.0178333	0.100167	0.8905	0.869833	0.9465	0.0258333	0.812
2	165	0.417167	0.714667	0.124	0.399333	0.995833	0.0723333	0.233
2	166	0.0706667	0.623667	0.341167	0.982667	0.976333	0.135333	0.954833
2	167	0.00233333	0.0515	0.626333	1	0.999667	0.016	0.998667
2	168	0.152	0.469667	0.982667	0.6075	0.3345	0.416	0.1545
2	169	0.00416667	0.0231667	0.0366667	0.999833	0.998833	0.000833333	0.994667
2	170	0.0143333	0.0158333	0.238333	0.8495	0.7965	0.000166667	0.788167
2	172	0.298833	0.045	0.0383333	0.793333	0.549333	0.001	0.492833
3	0	0.982333	0.5205	0.290167	0.975833	0.9575	0.109667	0.940833
3	2	0.000333333	0.0085	1	0.0831667	0.0731667	0.00666667	0.00166667
3	3	0.0336667	0.0155	0.00916667	0.7295	0.9545	0.000166667	0.723167
3	4	0.000333333	0.0216667	0.017	1	1	0	1
3	6	0.0201667	0.0666667	0.062	0.766667	0.763167	0.0193333	0.707
3	7	0	0.970833	0.191167	1	1	0.00366667	1
3	8	0	0	0	0.00533333	1	0	0
3	9	0.982833	0.220333	0.660667	0.972333	0.971333	0.0595	0.965
3	11	0.882167	0.776	0.7665	0.996833	0.895167	0.533333	0.8675
3	12	0.985667	1	0.9975	0.508833	0.481833	0.980667	0.0376667
3	13	0	0	0	1	0.000333333	0	0
3	15	0	1	0.956833	0.153333	0.1315	0.264	0.000833333
3	16	0.992833	0.0981667	0.113667	0.483833	0.483833	0.0153333	0.0901667
3	17	1	0.482833	0.0853333	0.6435	0.323167	0.0238333	0.121833
3	19	0.0765	0.6685	0.927333	0.351333	0.484333	0.523833	0.103667
3	20	0	0	0	0.000166667	1	0	0
3	22	0.997333	0.522167	0.702833	0.994833	0.993333	0.372667	0.9795
3	23	0.117667	0.013	0.00316667	0.1275	1	0	0.1155
3	24	0	0.00583333	0.00983333	0.992167	0.604667	0	0.369833
3	25	0.947	0.289833	0.2745	0.976167	0.9865	0.0815	0.966667
3	27	0.003	0.999667	0.02	0.1175	0.294833	0.0136667	0.0015
3	28	0.402333	0.149667	0.285167	0.909	0.963	0.033	0.8965
3	29	0.541333	0.7785	0.694667	0.8765	0.966333	0.456167	0.687333
3	30	0.316333	0.908333	0.606	0.8205	0.775167	0.457	0.663
3	32	0.046	0.0516667	0.0456667	0.824	0.796833	0.006	0.662167
3	33	0.419667	0.353833	0.398833	0.998833	0.712167	0.300667	0.686833
3	34	0.000166667	0.0321667	0.0786667	1	1	0.004	1
3	35	1	0.203833	0.029	0.2085	0.1955	0.00566667	0.0905
3	36	0.0948333	0.0171667	0.0015	0.019	0.0508333	0	0.00116667
3	37	0.917	0.541	0.606667	0.993667	0.990667	0.365833	0.988
3	39	0.038	0.276167	0.1045	1	1	0.0686667	1
3	40	0.17	0.496	0.138833	0.999333	0.9995	0.0941667	0.999167
3	41	0.272167	0.0436667	0.0593333	0.819167	0.291333	0.00583333	0.245
3	43	0.001	0.0831667	0.151167	1	1	0.00283333	1
3	44	0.0675	0.363167	0.853333	1	1	0.1145	1
3	45	0.163833	0.9805	0.640333	1	1	0.580167	1
3	46	0.000166667	0.00183333	0.00633333	1	0.145333	0	0.042
3	47	5e-04	0.5195	0.047	1	1	0.0045	1
